age_group,subject,topic,difficulty_level,example_type,input,output,solution_steps
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,practical,How can computers help in shops?,Computers help count money and make bills.,"Explain that computers can show prices and totals.,  Show that shopkeepers use them to print receipts.,  Conclude that they make work faster and accurate."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,Can computers help us learn?,"Yes, they help us learn letters, numbers, and stories.","Show learning games on a computer.,  Explain they teach counting or reading.,  Conclude that computers are great for learning."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,How does a computer make life easier?,It helps people finish work quickly and share ideas easily.,"Discuss how computers do hard tasks fast.,  Explain that we can talk or send pictures online.,  Conclude that computers make life more convenient."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,descriptive,What can we see on a computer screen?,"We can see pictures, words, and videos on a screen.","Describe the computer screen as a window to information.,  Show how clicking opens pictures or movies.,  Explain that the screen shows what the computer is doing."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,practical,What happens when you turn on a computer?,The computer starts and shows the desktop screen.,"Press the power button.,  Wait for it to start showing icons.,  Explain that now it’s ready to use."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,analytical,Why are computers important today?,They help people in almost every job and home.,"Explain how computers are used in schools,  hospitals,  and shops.,  Show examples of people using them.,  Conclude they are part of daily life."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,What do we use computers for at school?,"We use them to type, draw, and play learning games.","Show computer activities in school.,  Explain that students learn letters and math using them.,  Conclude that computers make school fun."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Can computers think like people?,"No, computers only follow instructions from people.","Ask if a computer can decide by itself.,  Explain it works by programs we write.,  Conclude it cannot think or feel like humans."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,descriptive,How can a computer help teachers?,Teachers use computers to show lessons and pictures.,"Explain teachers can use slides and videos.,  Show that it helps explain topics better.,  Conclude that computers help in teaching."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,What does a computer look like?,"A computer has a screen, a keyboard, and a mouse.","Show pictures of a computer.,  Identify the screen,  keyboard,  and mouse.,  Explain that these parts help us use the computer."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,analytical,How does a computer help you learn new things?,It shows videos and games that teach letters and numbers.,"Explain that computers can display learning content.,  Give examples of alphabet or math games.,  Conclude that computers make learning fun and easy."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,practical,Can we listen to music on a computer?,"Yes, we can listen to songs and rhymes on a computer.","Show how music can be played using software.,  Let children hear a song on the computer.,  Explain that it’s one way to enjoy using computers."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,descriptive,Where can we find computers?,"We can find computers in homes, schools, and offices.","Ask children where they’ve seen computers.,  List different places that use them.,  Conclude that computers are everywhere."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why is a computer faster than people at solving problems?,Because it can do many calculations quickly without mistakes.,"Explain that computers use electricity to think fast.,  Show how they can add numbers instantly.,  Conclude that computers work faster than humans in some tasks."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,What can we type on a computer?,"We can type letters, words, and numbers.","Show how to press keys to type letters.,  Let children type their names.,  Explain that typing helps us write on computers."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,practical,How do computers help at the bank?,They help count and keep people’s money safe.,"Explain that computers record money amounts.,  Show that they print receipts for people.,  Conclude that computers help bankers keep track of money."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why can’t a computer work by itself?,Because it needs people to tell it what to do.,"Ask who gives instructions to the computer.,  Explain that people use programs to control it.,  Conclude that humans guide computers’ work."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,descriptive,What kinds of work can computers do?,"They can write, draw, count, and show videos.","List examples of computer tasks.,  Explain how each task helps people.,  Conclude that computers are used for many things."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,practical,Can computers help us talk to friends?,"Yes, we can see and talk to friends using the internet.","Explain that video calls use computers and the internet.,  Show how people can see each other on screens.,  Conclude that computers connect people far away."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,How do computers help people save time?,"They do jobs faster, like writing and adding numbers.","Explain that computers finish tasks quickly.,  Compare doing it by hand versus using a computer.,  Conclude that computers save time and effort."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,Is a computer smart?,It seems smart because it follows instructions very well.,"Ask what ‘smart’ means.,  Explain that computers can do hard things but don’t think.,  Conclude that they are helpful machines."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,practical,How can computers help in hospitals?,They help doctors look at reports and take care of patients.,"Explain that computers store medical information.,  Show that doctors can check reports quickly.,  Conclude that computers help save lives."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,Can a computer help make pictures?,"Yes, you can draw and color using paint programs.","Show how drawing tools work.,  Let students color a picture on-screen.,  Explain that computers help make art easily."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,What happens when a computer makes a mistake?,It’s not really the computer’s fault; people gave it wrong instructions.,"Explain that computers follow orders exactly.,  Show how wrong input gives wrong results.,  Conclude that humans must check instructions carefully."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,descriptive,Can a computer help make stories?,"Yes, we can type stories and print them out.","Show how typing software works.,  Let students write their own stories.,  Explain that computers help writers share their ideas."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,practical,Can a computer show us pictures of animals?,"Yes, we can see animal photos and learn about them.","Search for safe educational animal pictures.,  Show how to click and view them.,  Explain that computers can help us explore the world."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,analytical,How can a computer help people share ideas?,"It lets people send messages, pictures, and videos to each other.","Explain that computers connect to the internet.,  Show examples like email or chatting apps.,  Conclude that computers help people communicate."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Can computers help scientists?,"Yes, they help scientists do experiments and find answers faster.","Explain that scientists use computers for research.,  Show examples like space or weather studies.,  Conclude that computers make science easier and faster."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,What do you see when you open a computer?,"You see pictures, folders, and icons on the screen.","Turn on a computer together.,  Describe what the desktop looks like.,  Explain that each icon opens something fun or useful."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,Can a computer help you count numbers?,"Yes, it can help you count and solve sums.","Show a counting game on the computer.,  Explain how the computer checks answers.,  Conclude that it helps us learn math easily."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,analytical,How can a computer help people work together?,It lets people share and edit work from different places.,"Explain that computers can connect people online.,  Show examples of sharing pictures or stories.,  Conclude that computers help teamwork even from far away."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,practical,Can you play learning games on a computer?,"Yes, there are games that teach math and reading.","Show an educational game.,  Explain how games teach letters or numbers.,  Encourage playing games that help you learn."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,descriptive,How does a computer help your teacher?,It helps your teacher show lessons and videos.,"Show how teachers use projectors or screens.,  Explain that computers store lesson materials.,  Conclude that teachers use computers to teach better."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why is it important to use computers carefully?,Because computers can break if we are rough with them.,"Explain how computers are delicate machines.,  Discuss gentle handling and safety.,  Conclude that careful use keeps computers working longer."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,practical,How do computers help people make art?,"They let people draw, paint, and make colorful designs.","Open a paint program.,  Show how to use tools like brush and fill.,  Explain that artists can create pictures on computers."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,Can a computer help you write your name?,"Yes, you can type your name using the keyboard.","Show the keyboard letters.,  Help the child find the letters in their name.,  Explain that typing is writing on a computer."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,analytical,Why do people call a computer a smart machine?,Because it can do many things when told what to do.,"Discuss that computers follow instructions.,  Show examples like games,  writing,  or music.,  Conclude that computers seem smart because they do many jobs."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,practical,Can you watch cartoons on a computer?,"Yes, you can watch fun and learning cartoons online.","Open a child-safe video website.,  Show how to click on a cartoon.,  Explain that computers can show moving stories."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,How does a computer help people remember information?,It saves data so we can find it again later.,"Explain what data means in simple terms.,  Show saving and opening a file.,  Conclude that computers help us remember things easily."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,descriptive,Can you read stories on a computer?,"Yes, computers can show books and stories to read.","Open a children’s e-book or website.,  Show how pages turn on-screen.,  Explain that computers can be used for reading."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,Is a tablet a kind of computer?,"Yes, it’s a small computer you can touch to use.","Show a tablet device.,  Explain that it works like a computer without a keyboard.,  Conclude that tablets are portable computers."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,practical,How does a computer help in a library?,It helps find books and check them in or out.,"Explain how librarians use computers to search book lists.,  Show that they can print receipts or track books.,  Conclude that computers keep the library organized."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why do computers need electricity?,Because they run on power to do their work.,"Ask what happens when there’s no power.,  Explain that computers use energy to turn on and think.,  Conclude that electricity makes computers work."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,Can you use a computer to draw shapes?,"Yes, you can draw circles, squares, and stars.","Open a drawing program.,  Use shape tools to make pictures.,  Explain that computers can help make perfect shapes."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,analytical,How can a computer help save paper?,We can read and write on computers instead of printing.,"Explain that digital files don’t need paper.,  Show how to read or write using the screen.,  Conclude that computers help protect trees."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why do people say computers make work easier?,Because computers can do hard jobs quickly and correctly.,"Discuss how people use computers for many tasks.,  Compare doing work with and without a computer.,  Conclude that computers help save time and effort."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,practical,Can computers help you make music?,"Yes, you can use programs to play and record sounds.","Show a music-making app or program.,  Let students click to make simple tunes.,  Explain that computers can be used for music creation."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,practical,Can computers show us weather information?,"Yes, they can tell us if it will be sunny or rainy.","Open a child-safe weather website.,  Show icons for sun,  rain,  and clouds.,  Explain that computers help us plan our day."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,How can a computer help the police?,It helps police find information and keep people safe.,"Explain that police use computers for reports and cameras.,  Give a simple example like finding lost items.,  Conclude that computers help protect the community."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,What is a computer?,"A computer is a machine that helps people work, play, and learn.","Explain that computers are machines made by people.,  Show that they can do many tasks like writing or playing games."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,practical,Name one thing you can do on a computer.,You can draw pictures on a computer.,"Ask the student to think about things they do on computers.,  Guide them to see drawing as one computer use."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,descriptive,How does a computer help at school?,Computers help us learn by showing videos and helping us type words.,"Discuss ways computers are used in school activities.,  Mention examples like videos and typing practice."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why do people say computers make work easier?,Because computers can do tasks quickly and without getting tired.,"Explain that computers can process information faster than people.,  Show that this helps finish work in less time."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,Where can we see computers?,"We can see computers in homes, schools, and offices.","Ask the child to think of places they have seen computers.,  List common examples like classrooms and shops."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,practical,How can a computer help you learn letters?,You can use a computer game to practice letters and sounds.,"Explain that learning games teach letters.,  Show how typing or matching letters helps learning."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why do computers need electricity?,Because electricity makes the computer parts work together.,"Explain that computers are machines powered by electricity.,  Show that without power,  the computer cannot turn on."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,practical,Can a computer help you listen to music?,"Yes, computers can play songs and music videos.","Show how music can be played on a computer.,  Explain that it uses speakers or headphones to make sound."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,descriptive,What kind of work do adults do with computers?,"Adults use computers to write letters, make reports, and talk online.","List jobs that use computers like teachers or shopkeepers.,  Explain that computers help them do work faster."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why is a computer called a smart machine?,Because it can follow instructions and solve problems quickly.,"Explain that computers follow commands we give.,  Show that they can solve problems faster than people sometimes."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,Can a computer show pictures?,"Yes, a computer can show and save many pictures.","Explain that computers have screens for showing images.,  Show how we can see or draw pictures on it."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,practical,How do you use a computer to talk to your friend?,You can use a computer to video call or send a message.,"Explain what chatting or video calling means.,  Show that computers help people stay connected."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why is it important to learn about computers early?,"Because computers help us learn, play, and prepare for the future.","Show how computers are part of daily life.,  Explain that learning early helps us use them safely and smartly."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,practical,Can a computer help you watch cartoons?,"Yes, computers can play videos and cartoons online.","Show how computers can play videos.,  Explain that they connect to the internet for cartoons."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,descriptive,How is a computer used at home?,"At home, we use computers for games, movies, and homework.","List activities done at home using computers.,  Explain that computers can be fun and useful."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why can computers do many different things?,Because computers can run different programs for each task.,"Explain that programs tell computers what to do.,  Show that different programs help do different things."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,What does a computer look like?,"A computer has a screen, keyboard, and a box called a CPU.","Show a picture of a computer.,  Name the main parts that can be seen."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,practical,How do doctors use computers?,Doctors use computers to see patient reports and x-rays.,"Explain that computers help store and show health information.,  Give an example of viewing an x-ray on a screen."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why can’t people do all the things computers do?,Because computers can work faster and remember more than people.,"Explain that computers can store lots of data.,  Show that humans need help to do big or fast tasks."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,Is a tablet a type of computer?,"Yes, a tablet is a small computer you can touch to use.","Show a tablet and explain it works like a computer.,  Explain touch as another way to use computers."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,Can a computer tell the time?,"Yes, computers can show the time on the screen.","Show the child where the clock appears on the computer screen.,  Explain that the computer keeps track of time just like a watch."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,practical,How do people use computers in banks?,People in banks use computers to check money and make payments.,"Discuss that computers help record and count money safely.,  Show that they make banking faster and more accurate."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why do computers need updates?,Updates help computers work better and fix problems.,"Explain that updates are like new instructions for computers.,  Show that they help make programs run smoothly and safely."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,practical,Can you draw shapes on a computer?,"Yes, you can draw circles, squares, and stars using a drawing program.","Open a drawing app and pick a shape tool.,  Show how to click and drag to make a shape appear."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,descriptive,How do computers help teachers?,"Teachers use computers to show lessons, videos, and games.","Explain that computers help teachers make lessons fun.,  Give an example like showing pictures on a big screen."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why can computers do math so quickly?,Because they can follow math instructions much faster than people.,"Explain that computers use numbers and logic to solve problems.,  Show that they can calculate without making mistakes."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,Can you use a computer to play games?,"Yes, computers have many fun and learning games.","Show a child-safe learning game on the computer.,  Explain that games can teach shapes,  letters,  or numbers."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,practical,How do computers help in shops?,Computers help in shops by keeping a record of what people buy.,"Explain that computers help count and store items.,  Show that they print bills when people shop."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why can’t a computer think like a person?,Because computers only follow what people tell them to do.,"Explain that computers follow instructions called programs.,  Show that people create the programs computers use."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,practical,Can a computer help you learn to count?,"Yes, computers have counting games and number songs.","Open a number game on the computer.,  Help the child count along with the activity."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,descriptive,What do scientists use computers for?,"Scientists use computers to study space, weather, and animals.","Explain that computers help collect and study data.,  Give an example like predicting weather with a computer."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why are computers connected to the Internet?,So they can share and get information from other computers.,"Explain that the Internet is a big network of computers.,  Show that it helps people talk and learn from far away."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,Can a computer read stories?,"Yes, computers can read stories with sound or show pictures.","Open a story app and play a short story.,  Explain that computers can read using speakers."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,practical,How does a farmer use a computer?,Farmers use computers to check weather and plan crops.,"Explain that computers show weather reports.,  Show how that helps farmers know when to plant seeds."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why do we call a computer a machine?,Because it is made of parts that work together to do jobs.,"Explain that a machine has parts like a car or fan.,  Show that a computer’s parts work together to follow commands."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,What happens when we press keys on a computer?,Letters or numbers appear on the screen.,"Press a few keys and show what happens on screen.,  Explain that the keyboard helps us tell the computer what to do."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,practical,How can computers help artists?,"Artists use computers to draw, paint, and make designs.","Show a drawing or coloring program.,  Explain that computers help make pictures using colors and tools."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why do computers use programs?,Programs tell the computer what job to do.,"Explain that programs are sets of instructions.,  Show how one program helps draw and another plays music."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,practical,Can you write your name on a computer?,"Yes, you can type your name using the keyboard.","Find the letters of your name on the keyboard.,  Type slowly and see your name appear on the screen."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,descriptive,How do computers help people travel?,Computers help people find maps and book tickets.,"Explain that computers show routes and travel plans.,  Show that tickets can be bought online using computers."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why can computers do the same thing again and again?,Because they follow instructions the same way every time.,"Explain that computers repeat tasks without forgetting.,  Show that they don’t get tired like people."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,What can you see on a computer screen?,"You can see pictures, words, and videos on a computer screen.","Ask the child to look at the screen and name what they see.,  Explain that the screen shows what the computer is doing."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,practical,How do police officers use computers?,Police use computers to find information and keep records.,"Explain that computers help store photos and reports.,  Show that they make police work faster and more organized."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why do computers use memory?,Computers use memory to remember information and programs.,"Explain that memory helps computers save data.,  Show that it allows the computer to open files and games again."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,practical,Can you listen to songs on a computer?,"Yes, computers can play songs and music from the Internet or files.","Open a safe music website or app.,  Play a simple children’s song as an example."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,descriptive,How do computers help nurses in hospitals?,Nurses use computers to check patients' health records and medicines.,"Explain that computers help keep track of patient details.,  Show that this helps doctors and nurses give the right care."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why do computers need both hardware and software?,Because hardware does the work and software tells it what to do.,"Explain that hardware is the parts we can touch.,  Show that software gives the computer instructions to follow."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,What color is your computer screen when it’s off?,"When it’s off, the computer screen is usually black.","Ask the student to observe the computer when turned off.,  Explain that it lights up only when powered on."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,practical,How can a computer help you draw a birthday card?,You can use a paint program to draw and write on a birthday card.,"Open a drawing program like Paint.,  Use colors and text tools to make the card special."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why can a computer do many things at once?,Because it can run several programs together using its processor.,"Explain that the processor helps the computer do tasks fast.,  Show that it can play music and open a game at the same time."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,practical,Can you color pictures on a computer?,"Yes, you can use a mouse to fill colors in a picture.","Open a drawing page with a shape outline.,  Use the fill tool to color different parts of the image."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,descriptive,How do computers help us learn faster?,"Computers help by showing videos, games, and fun lessons.","Explain that learning becomes interesting with pictures and sound.,  Show an example of an educational game or story."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why do computers use binary numbers?,Because computers understand only 0s and 1s to do their work.,"Explain that computers use signals for on and off.,  Show that these are written as 1 and 0 to make all data."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,Can a computer take pictures?,"Yes, if it has a camera, it can take and save pictures.","Show a webcam or tablet camera on the computer.,  Take a simple photo as an example."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,practical,How can you use a computer to learn spelling?,You can play spelling games or type words on the computer.,"Open a typing game or spelling activity.,  Practice spelling words slowly and correctly."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why is a computer not alive?,Because it cannot think or feel; it only follows commands.,"Compare living things like people with machines like computers.,  Explain that computers don’t have feelings or thoughts."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,practical,Can you use a computer to see animals?,"Yes, you can see pictures and videos of animals on a computer.","Open a safe educational website about animals.,  Show how to search for pictures or clips."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,descriptive,How do computers help people in offices?,"Computers help people write letters, send emails, and keep records.","Explain that offices use computers for communication and work.,  Give examples like writing or data saving."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why can’t computers work without people?,Because they need people to tell them what to do.,"Explain that people create programs for computers.,  Show that computers can’t start tasks alone."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,Is a laptop a kind of computer?,"Yes, a laptop is a small computer you can carry anywhere.","Show the difference between a desktop and a laptop.,  Explain that both can do the same kind of work."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,practical,How do computers help you watch a story?,Computers can play story videos with sound and pictures.,"Open a short story video on a trusted site.,  Explain that stories look like cartoons on the computer."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why do computers need programs to start working?,Because programs give computers instructions to follow.,"Explain that without programs,  computers wouldn’t know what to do.,  Show an example of opening a paint or typing program."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,Can you play games on a computer?,"Yes, computers can be used to play fun and learning games.","Explain that computers can run games using software.,  Show a safe,  age-appropriate game for learning letters or numbers."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,practical,How can a teacher use a computer in class?,"A teacher can use a computer to show pictures, videos, or lessons.","Explain that teachers use projectors or screens connected to computers.,  Give an example of a teacher showing a science video."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why do computers make our work faster?,Because computers can do many calculations and tasks quickly.,"Compare how long it takes people to do math versus computers.,  Explain that computers don’t get tired and can repeat tasks easily."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,What shape is a computer monitor?,A computer monitor is usually a rectangle shape.,"Ask students to look at a monitor and name the shape.,  Explain that most screens are rectangles so pictures fit better."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,practical,How can a computer help you count numbers?,You can use counting games or a calculator on the computer.,"Open a basic calculator app or number game.,  Show how to add and count using the computer screen."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why do computers need electricity to work?,Because electricity gives power to all computer parts.,"Explain that electricity makes the screen light up and run programs.,  Show that computers turn off when power is gone."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,practical,Can you write your name on a computer?,"Yes, you can use the keyboard to type your name on the screen.","Open a typing program like Word or Notepad.,  Help the student type each letter of their name slowly."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,descriptive,How do people use computers to shop?,"People use computers to buy clothes, toys, or books online.","Explain that shopping websites show pictures of items.,  Show how clicking adds items to a virtual cart (without buying)."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why are computers better at remembering things than people?,Because computers can store and recall lots of data instantly.,"Explain that computers save files on memory drives.,  Compare with how people sometimes forget but computers don’t."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,What do you use to move things on the computer?,You use a mouse to move and click on things on the screen.,"Show the child how moving the mouse moves the pointer.,  Let them try clicking simple icons or pictures."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,practical,How can a doctor use a computer?,Doctors use computers to see patient reports and x-rays.,"Explain that computers store patient health information.,  Show that doctors can use screens to read reports quickly."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,Why can a computer show pictures and play sounds together?,Because it can process images and audio at the same time.,"Explain that the computer’s processor handles both types of data.,  Give an example of watching a cartoon with music on a computer."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,practical,Can you watch a movie on a computer?,"Yes, you can use a computer to watch short movies or cartoons.","Open a safe children’s video or animation.,  Explain that computers can play moving pictures with sound."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,descriptive,How do computers help people at airports?,Computers help print tickets and track flights at airports.,"Explain that computers show flight times and passenger lists.,  Show a pretend example of printing a ticket."
