age_year,domain,parent_learning_goal,skill_name,why_it_matters,how_to_teach,parent_dos,parent_donts,parent_tip
5-6,advanced language & communication,Help the child explain ideas clearly to others.,Encouraging explanation of ideas,Explaining ideas strengthens clarity and structured thinking.,Ask the child to explain how something works or why they chose it.,"['Ask clarifying questions', 'Listen patiently']","['Finish sentences for the child', 'Rush explanations']",Clarity improves when children explain aloud.
5-6,advanced language & communication,Improve conversational turn-taking.,Practicing conversation turn-taking,Turn-taking supports respectful communication and listening skills.,"Model waiting, listening, and responding during conversations.","['Pause before responding', 'Model listening']","['Interrupt frequently', 'Dominate conversations']",Conversation is a shared exchange.
5-6,advanced language & communication,Strengthen descriptive language skills.,Using detailed descriptions,Descriptive language improves expression and comprehension.,"Encourage describing objects using size, color, texture, and function.","['Prompt with questions', 'Use rich language']","['Accept vague answers only', 'Overcorrect wording']",Details bring language to life.
5-6,advanced language & communication,Support listening comprehension.,Checking understanding after listening,Listening comprehension is essential for classroom learning.,Ask the child to repeat or summarize what they heard.,"['Ask simple recall questions', 'Encourage summarizing']","['Assume understanding', 'Overload with questions']",Understanding grows when children retell.
5-6,advanced language & communication,Encourage asking meaningful questions.,Supporting curiosity-driven questioning,Asking questions strengthens curiosity and thinking.,Respond positively when the child asks questions and invite more.,"['Welcome questions', 'Explore answers together']","['Dismiss questions', 'Rush responses']",Curiosity is the start of learning.
5-6,advanced language & communication,Improve clarity when giving information.,Organizing spoken information,Organized speech supports clear communication.,Guide the child to speak in order using simple structure prompts.,"['Prompt sequence gently', 'Encourage pauses']","['Correct harshly', 'Interrupt flow']",Structure makes speech easier to follow.
5-6,advanced language & communication,Build confidence in speaking with adults.,Encouraging respectful adult conversations,Confidence with adults supports school and social interactions.,"Encourage greeting, answering, and asking simple questions politely.","['Model polite speech', 'Encourage eye contact']","['Speak on the child’s behalf', 'Force interaction']",Confidence grows with gentle practice.
5-6,advanced language & communication,Support understanding of new words from context.,Teaching meaning through context,Context-based learning strengthens vocabulary retention.,Explain new words using situations instead of definitions only.,"['Use examples', 'Connect to experiences']","['Overuse dictionary meanings', 'Overwhelm explanations']",Context helps words stick.
5-6,advanced language & communication,Encourage expressive opinions.,Supporting opinion sharing,Sharing opinions builds confidence and reasoning.,Ask what the child likes or prefers and why.,"['Respect opinions', 'Encourage reasoning']","['Dismiss choices', 'Impose answers']",Opinions deserve respect.
5-6,advanced language & communication,Strengthen verbal memory skills.,Recalling spoken information,Verbal memory supports learning and instructions.,Play games that involve repeating short spoken information.,"['Keep it playful', 'Increase difficulty gradually']","['Pressure performance', 'Expect perfection']",Memory improves through play.
5-6,early academic skills (pre-literacy & pre-math),Support recognition of alphabet letters confidently.,Reinforcing letter recognition,Letter recognition is the foundation for reading readiness.,"Use everyday objects, books, and signs to point out letters casually.","['Point out letters daily', 'Keep learning playful']","['Force memorization', 'Compare with other children']",Frequent exposure works better than drills.
5-6,early academic skills (pre-literacy & pre-math),Help the child understand letter sounds.,Introducing basic phonics sounds,Phonics links letters to reading and spelling.,"Practice letter sounds through songs, rhymes, and simple words.","['Use songs', 'Repeat sounds naturally']","['Teach all sounds at once', 'Correct harshly']",Sounds come before spelling.
5-6,early academic skills (pre-literacy & pre-math),Encourage early writing readiness.,Supporting correct pencil grip,Proper grip reduces fatigue and supports writing control.,Demonstrate grip gently and offer thick pencils or crayons.,"['Model grip', 'Allow practice time']","['Force grip correction', 'Rush writing']",Comfort comes before perfection.
5-6,early academic skills (pre-literacy & pre-math),Build number recognition skills.,Identifying numbers visually,Number recognition supports counting and math understanding.,Point out numbers during daily routines like shopping or travel.,"['Use real-life examples', 'Repeat casually']","['Rely only on worksheets', 'Expect instant mastery']",Numbers are everywhere.
5-6,early academic skills (pre-literacy & pre-math),Strengthen counting accuracy.,Practicing counting with objects,Object-based counting builds true number understanding.,"Count toys, snacks, or steps together aloud.","['Count slowly', 'Match one-to-one']","['Skip objects', 'Rush counting']",Touching objects makes counting real.
5-6,early academic skills (pre-literacy & pre-math),Introduce simple addition concepts.,Adding using real objects,Concrete addition builds early math confidence.,Combine small groups of objects and count the total together.,"['Use familiar objects', 'Celebrate attempts']","['Use abstract numbers only', 'Correct quickly']",Hands-on math feels easier.
5-6,early academic skills (pre-literacy & pre-math),Support understanding of subtraction basics.,Exploring subtraction through removal,Subtraction builds logical thinking.,Remove items from a group and count what remains.,"['Use simple language', 'Practice slowly']","['Introduce symbols early', 'Overcomplicate']",Taking away is easier when seen.
5-6,early academic skills (pre-literacy & pre-math),Improve awareness of size and comparison.,Comparing size and quantity,Comparison supports math and reasoning skills.,"Compare objects using words like bigger, smaller, more, less.","['Use comparison words', 'Encourage observation']","['Correct too fast', 'Use abstract terms only']",Comparison grows through observation.
5-6,early academic skills (pre-literacy & pre-math),Develop awareness of time concepts.,Understanding daily time routines,Time awareness supports routine and planning.,"Talk about morning, afternoon, and evening activities.","['Link time to routine', 'Repeat daily']","['Teach clock reading too early', 'Use vague terms']",Routine builds time understanding.
5-6,early academic skills (pre-literacy & pre-math),Encourage enjoyment of learning activities.,Making academics playful,Positive learning experiences build long-term motivation.,"Use games, stories, and play-based learning methods.","['Keep sessions short', 'Follow child interest']","['Apply pressure', 'Focus on results only']",Fun fuels learning.
5-6,early academic skills (pre-literacy & pre-math),Strengthen awareness of rhyming sounds.,Identifying rhyming words,Rhyming builds phonemic awareness needed for reading.,Play word games that match rhyming words during reading or play.,"['Use rhymes often', 'Make it playful']","['Correct harshly', 'Expect perfection']",Rhymes train the ear for language.
5-6,early academic skills (pre-literacy & pre-math),Improve letter formation skills.,Practicing letter writing shapes,Proper letter formation supports writing fluency.,Guide tracing and freehand practice using large movements first.,"['Start big then small', 'Encourage practice']","['Force neatness', 'Rush writing']",Big movements lead to control.
5-6,early academic skills (pre-literacy & pre-math),Build counting confidence beyond basics.,Skip counting with patterns,Skip counting supports number patterns and early multiplication.,Practice skip counting using songs or movement games.,"['Use rhythm', 'Keep practice short']","['Push memorization', 'Compare progress']",Patterns make numbers easier.
5-6,early academic skills (pre-literacy & pre-math),Support understanding of number order.,Recognizing number sequences,Number order helps with counting and math operations.,Arrange number cards or objects in order during play.,"['Practice sequencing', 'Use visuals']","['Skip steps', 'Overexplain']",Seeing order builds number sense.
5-6,early academic skills (pre-literacy & pre-math),Develop understanding of measurement basics.,Comparing length and weight,Measurement skills support problem-solving and logic.,"Compare objects using words like longer, shorter, heavier, lighter.","['Use real objects', 'Encourage guessing']","['Introduce units early', 'Correct instantly']",Estimation comes before accuracy.
5-6,early academic skills (pre-literacy & pre-math),Build awareness of basic shapes.,Identifying and naming shapes,Shape recognition supports geometry and visual skills.,Point out shapes in household items and outdoors.,"['Name shapes often', 'Encourage discovery']","['Limit to books only', 'Rush learning']",Shapes exist everywhere.
5-6,early academic skills (pre-literacy & pre-math),Strengthen sound-to-letter connections.,Matching sounds to letters,Sound-letter matching is essential for early reading.,Play games where the child matches beginning sounds to letters.,"['Keep it playful', 'Repeat sounds']","['Teach spelling early', 'Overcorrect']",Sounds come before words.
5-6,early academic skills (pre-literacy & pre-math),Encourage awareness of basic time measurement.,Introducing clock basics,Clock awareness builds routine understanding.,"Use clocks to show morning, afternoon, and evening times.","['Relate time to activities', 'Use simple language']","['Teach exact time reading', 'Overload details']",Time is learned gradually.
5-6,early academic skills (pre-literacy & pre-math),Build confidence in early math problem-solving.,Solving simple word problems,Word problems connect language with math reasoning.,Use everyday situations to ask simple math questions.,"['Use real-life examples', 'Encourage thinking']","['Rush answers', 'Focus only on correctness']",Thinking matters more than speed.
5-6,early academic skills (pre-literacy & pre-math),Promote persistence in learning tasks.,Encouraging effort over results,Persistence supports long-term academic success.,Praise effort and strategies rather than outcomes.,"['Praise effort', 'Encourage retrying']","['Label as smart or weak', 'Emphasize scores']",Effort builds resilience.
5-6,early academic skills (pre-literacy & pre-math),Strengthen understanding of number quantity.,Connecting numbers to quantities,Understanding quantity prevents rote counting without meaning.,Ask the child to show the correct number of objects for a given number.,"['Use real objects', 'Check understanding']","['Focus only on reciting numbers', 'Rush counting']",Numbers must represent something real.
5-6,early academic skills (pre-literacy & pre-math),Encourage early spelling awareness.,Recognizing letters in simple words,Word recognition supports reading readiness.,Point out familiar words like the child’s name or common objects.,"['Start with familiar words', 'Celebrate recognition']","['Expect correct spelling', 'Push memorization']",Familiar words build confidence.
5-6,early academic skills (pre-literacy & pre-math),Build awareness of word structure.,Identifying beginning and ending sounds,Sound awareness supports decoding skills.,Ask what sound a word starts or ends with during play.,"['Use simple words', 'Make it a game']","['Overcorrect mistakes', 'Teach complex phonics']",Sound play strengthens reading foundations.
5-6,early academic skills (pre-literacy & pre-math),Improve understanding of equal groups.,Exploring equal sharing,Equal sharing prepares for division concepts.,Share snacks or toys equally and count together.,"['Use daily situations', 'Encourage fairness']","['Use worksheets only', 'Explain abstractly']",Sharing teaches math naturally.
5-6,early academic skills (pre-literacy & pre-math),Support understanding of patterns.,Creating and extending patterns,Pattern recognition supports logic and math thinking.,"Create simple patterns using colors, shapes, or movements.","['Start simple', 'Encourage prediction']","['Complicate patterns', 'Rush completion']",Patterns train logical thinking.
5-6,early academic skills (pre-literacy & pre-math),Strengthen listening for academic instructions.,Following learning-related instructions,Listening skills support classroom success.,Give short academic tasks with two or three steps.,"['Speak clearly', 'Repeat calmly']","['Give long instructions', 'Assume understanding']",Clear steps improve success.
5-6,early academic skills (pre-literacy & pre-math),Encourage confidence in attempting new learning tasks.,Trying unfamiliar academic tasks,Confidence reduces learning anxiety.,Encourage trying without focusing on right or wrong.,"['Praise effort', 'Normalize mistakes']","['Criticize errors', 'Pressure performance']",Trying matters more than getting it right.
5-6,early academic skills (pre-literacy & pre-math),Improve understanding of comparison symbols conceptually.,Understanding more and less,Comparison supports number sense.,Ask which group has more or less using objects.,"['Use visuals', 'Encourage explanation']","['Introduce symbols early', 'Skip reasoning']",Concepts come before symbols.
5-6,early academic skills (pre-literacy & pre-math),Support reading readiness through routine exposure.,Daily short reading practice,Regular exposure builds familiarity with print.,Read short texts daily without pressure to perform.,"['Read consistently', 'Keep sessions short']","['Force reading', 'Test constantly']",Consistency beats duration.
5-6,early academic skills (pre-literacy & pre-math),Build curiosity toward learning challenges.,Asking curiosity-based academic questions,Curiosity drives deeper learning.,Ask open-ended questions during learning activities.,"['Encourage questions', 'Explore answers together']","['Shut down questions', 'Rush explanations']",Curiosity fuels understanding.
5-6,emotional intelligence & self-regulation,Help the child recognize and name basic emotions.,Identifying common emotions,Naming emotions helps children manage feelings appropriately.,Use daily situations and stories to label emotions aloud.,"['Name emotions', 'Normalize feelings']","['Dismiss feelings', 'Label emotions as bad']","What children can name, they can manage."
5-6,emotional intelligence & self-regulation,Support expression of emotions using words.,Using words instead of actions,Verbal expression reduces aggressive behavior.,Prompt the child to say how they feel before reacting.,"['Encourage speaking', 'Model calm language']","['Ignore emotional cues', 'React angrily']",Words are safer than actions.
5-6,emotional intelligence & self-regulation,Teach calming strategies for strong emotions.,Practicing calming techniques,Calming skills help children regain control.,Teach deep breathing or quiet time during calm moments.,"['Practice when calm', 'Guide gently']","['Teach only during meltdowns', 'Force compliance']",Calm skills must be learned before stress.
5-6,emotional intelligence & self-regulation,Build patience and waiting skills.,Practicing waiting calmly,Waiting supports impulse control and classroom behavior.,Use short waiting activities with positive reinforcement.,"['Start small', 'Praise waiting']","['Expect long waits', 'Punish impatience']",Patience grows gradually.
5-6,emotional intelligence & self-regulation,Support healthy frustration tolerance.,Managing frustration during challenges,Handling frustration builds resilience.,Encourage breaks and verbalizing feelings during difficult tasks.,"['Acknowledge effort', 'Encourage retrying']","['Solve problems immediately', 'Criticize emotions']",Struggle builds strength.
5-6,emotional intelligence & self-regulation,Build self-confidence in emotional situations.,Encouraging emotional confidence,Confidence helps children handle social and academic stress.,"Praise emotional effort, not just behavior.","['Praise coping efforts', 'Offer reassurance']","['Overprotect', 'Minimize emotions']",Confidence grows through support.
5-6,emotional intelligence & self-regulation,Help the child recover from emotional setbacks.,Bouncing back after disappointment,Recovery skills support resilience and persistence.,Talk about what can be tried differently next time.,"['Focus on solutions', 'Offer empathy']","['Blame the child', 'Dwell on failure']",Resilience comes from reflection.
5-6,emotional intelligence & self-regulation,Teach awareness of emotional triggers.,Recognizing emotional triggers,Trigger awareness helps prevent emotional overload.,Discuss situations that commonly cause big feelings.,"['Talk calmly', 'Identify patterns']","['Ignore triggers', 'Blame reactions']",Awareness prevents escalation.
5-6,emotional intelligence & self-regulation,Support emotional regulation during transitions.,Handling emotional transitions,Transitions can trigger emotional reactions.,Give warnings and describe what comes next.,"['Give advance notice', 'Use routines']","['Switch suddenly', 'Ignore resistance']",Predictability brings calm.
5-6,emotional intelligence & self-regulation,Encourage reflection on emotions after events.,Reflecting on emotional experiences,Reflection builds emotional understanding.,Talk about what was felt and why after events.,"['Listen without judgment', 'Ask gentle questions']","['Lecture', 'Rush reflection']",Reflection deepens emotional learning.
5-6,emotional intelligence & self-regulation,Help the child understand mixed emotions.,Recognizing mixed feelings,Understanding mixed emotions builds emotional maturity.,Discuss situations where more than one feeling can exist together.,"['Normalize mixed emotions', 'Use examples']","['Oversimplify feelings', 'Dismiss confusion']",More than one feeling can be true.
5-6,emotional intelligence & self-regulation,Support emotion control during peer conflict.,Staying calm during disagreements,Calm responses reduce conflict escalation.,Role-play disagreements and practice calm responses.,"['Practice role-play', 'Model calm behavior']","['React emotionally', 'Take sides immediately']",Calm is contagious.
5-6,emotional intelligence & self-regulation,Encourage self-soothing strategies.,Using self-soothing techniques,Self-soothing helps children regulate independently.,Teach quiet activities like hugging a pillow or drawing.,"['Encourage independence', 'Offer choices']","['Rush to fix emotions', 'Remove coping opportunities']",Independence grows with practice.
5-6,emotional intelligence & self-regulation,Teach appropriate emotional responses.,Matching reactions to situations,Appropriate responses support social acceptance.,Talk about different reactions and which fit the situation.,"['Discuss options', 'Guide gently']","['Shame reactions', 'Expect perfection']",Learning reactions takes time.
5-6,emotional intelligence & self-regulation,Support emotional control in public settings.,Managing emotions in public,Public self-regulation supports social confidence.,Prepare the child for public situations in advance.,"['Prepare ahead', 'Offer reassurance']","['Threaten consequences', 'Ignore stress signs']",Preparation prevents overwhelm.
5-6,emotional intelligence & self-regulation,Encourage empathy toward others.,Understanding others’ feelings,Empathy supports friendships and cooperation.,Ask how another person might feel in situations.,"['Ask perspective questions', 'Model empathy']","['Ignore others’ feelings', 'Force apologies']",Empathy is learned through discussion.
5-6,emotional intelligence & self-regulation,Teach coping with boredom.,Handling boredom constructively,Boredom tolerance supports creativity and patience.,Encourage finding activities independently when bored.,"['Offer choices', 'Encourage creativity']","['Provide constant entertainment', 'Dismiss boredom']",Boredom sparks imagination.
5-6,emotional intelligence & self-regulation,Support emotional honesty.,Expressing true feelings safely,Honesty builds trust and emotional health.,Create a safe space for sharing feelings without judgment.,"['Listen openly', 'Validate feelings']","['React negatively', 'Dismiss emotions']",Safety encourages honesty.
5-6,emotional intelligence & self-regulation,Encourage responsibility for emotional behavior.,Taking responsibility for reactions,Responsibility supports emotional growth.,Discuss how actions affect others after emotional events.,"['Guide reflection', 'Encourage repair']","['Blame excessively', 'Ignore impact']",Responsibility leads to growth.
5-6,emotional intelligence & self-regulation,Build long-term emotional resilience.,Practicing resilience-building habits,Resilience supports lifelong emotional health.,"Encourage persistence, reflection, and self-belief daily.","['Encourage persistence', 'Celebrate effort']","['Overprotect', 'Focus only on success']",Resilience grows through everyday practice.
5-6,"behavior, manners & rules",Teach the child basic polite expressions.,Using polite words consistently,Polite language supports respectful social interactions.,"Model and remind the child to say please, thank you, and sorry.","['Model politeness', 'Praise polite behavior']","['Ignore rude language', 'Overcorrect tone']",Children copy everyday language.
5-6,"behavior, manners & rules",Support good table behavior.,Practicing table manners,Table manners promote social acceptance and self-control.,Practice eating together and gently remind expectations.,"['Eat together', 'Model good manners']","['Shame mistakes', 'Expect perfection']",Meals are learning moments.
5-6,"behavior, manners & rules",Help the child respect personal boundaries.,Understanding personal space,Respecting boundaries supports positive relationships.,Discuss and demonstrate appropriate physical boundaries.,"['Explain clearly', 'Model respect']","['Ignore boundary issues', 'Assume understanding']",Boundaries must be taught.
5-6,"behavior, manners & rules",Improve ability to follow instructions.,Following multi-step instructions,Instruction-following supports classroom readiness.,Give two- to three-step directions and check understanding.,"['Speak clearly', 'Repeat calmly']","['Give long instructions', 'Rush compliance']",Clear steps improve success.
5-6,"behavior, manners & rules",Encourage responsibility for belongings.,Putting away personal items,Responsibility supports independence and organization.,Assign simple routines for putting toys and items away.,"['Create routines', 'Praise completion']","['Do it for the child', 'Nag repeatedly']",Habits form through consistency.
5-6,"behavior, manners & rules",Teach understanding of consequences.,Linking actions to consequences,Understanding consequences builds accountability.,Discuss natural consequences after actions occur.,"['Stay calm', 'Explain simply']","['Threaten punishment', 'Lecture']",Natural consequences teach best.
5-6,"behavior, manners & rules",Support respectful listening.,Listening without interrupting,Listening skills support learning and relationships.,Practice taking turns speaking during conversations.,"['Model listening', 'Acknowledge waiting']","['Interrupt the child', 'Ignore interruptions']",Listening is learned behavior.
5-6,"behavior, manners & rules",Encourage cleanup habits.,Cleaning up after activities,Cleanup routines build responsibility.,Make cleanup part of the activity routine.,"['Use routines', 'Make it fun']","['Delay cleanup', 'Do it alone']",Cleanup is part of play.
5-6,"behavior, manners & rules",Support rule understanding at home and school.,Understanding household and school rules,Rule awareness supports consistent behavior.,Explain rules and reasons clearly and consistently.,"['Be consistent', 'Explain reasons']","['Change rules often', 'Enforce unpredictably']",Consistency builds trust.
5-6,"behavior, manners & rules",Encourage respectful responses to correction.,Accepting correction calmly,Handling correction supports learning and self-control.,Respond calmly and guide the child to correct behavior.,"['Stay calm', 'Guide improvement']","['Shame', 'Yell']",Correction works best when calm.
5-6,"behavior, manners & rules",Encourage independent completion of routines.,Following daily routines independently,Routine independence supports school readiness.,Use visual or verbal reminders to guide routine completion.,"['Use consistent routines', 'Praise independence']","['Remind repeatedly', 'Rush the child']",Consistency builds independence.
5-6,"behavior, manners & rules",Support respectful behavior toward adults.,Speaking respectfully to adults,Respectful communication builds social confidence.,Model respectful language and tone in daily interactions.,"['Model respect', 'Correct gently']","['Ignore disrespect', 'Respond harshly']",Respect is learned by example.
5-6,"behavior, manners & rules",Encourage cooperative behavior.,Cooperating during shared tasks,Cooperation supports teamwork and learning.,Assign shared tasks and guide turn-taking.,"['Encourage teamwork', 'Praise cooperation']","['Create competition', 'Rush completion']",Cooperation grows with practice.
5-6,"behavior, manners & rules",Teach appropriate volume control.,Using appropriate voice levels,Voice control supports classroom behavior.,Discuss and practice indoor and outdoor voice levels.,"['Model volume levels', 'Give reminders']","['Yell back', 'Ignore loud behavior']",Children mirror volume.
5-6,"behavior, manners & rules",Build awareness of rule-following reasons.,Understanding why rules exist,Understanding reasons increases rule compliance.,Explain safety or fairness reasons behind rules.,"['Explain calmly', 'Invite questions']","[""Use 'because I said so'"", 'Overexplain']",Understanding encourages cooperation.
5-6,"behavior, manners & rules",Encourage taking responsibility for mistakes.,Owning up to mistakes,Accountability builds integrity.,Guide the child to admit mistakes and make amends.,"['Stay supportive', 'Encourage repair']","['Shame', 'Punish harshly']",Mistakes are learning opportunities.
5-6,"behavior, manners & rules",Support calm behavior in group settings.,Following rules in group environments,Group rule-following supports school success.,Prepare expectations before group activities.,"['Prepare in advance', 'Reinforce rules']","['Assume understanding', 'React emotionally']",Preparation prevents issues.
5-6,"behavior, manners & rules",Encourage fairness in interactions.,Playing fairly with others,Fair play supports friendships.,Discuss fairness during games and playtime.,"['Model fairness', 'Discuss outcomes']","['Ignore unfair play', 'Take sides immediately']",Fairness must be practiced.
5-6,"behavior, manners & rules",Support emotional control during discipline.,Responding calmly to discipline,Calm responses support learning from correction.,Model calm reactions during corrections.,"['Stay calm', 'Explain expectations']","['Yell', 'Shame']",Calm discipline teaches best.
5-6,"behavior, manners & rules",Build internal motivation for good behavior.,Developing intrinsic motivation,Internal motivation supports long-term behavior.,Focus on values and reasons rather than rewards.,"['Praise effort', 'Discuss values']","['Overuse rewards', 'Threaten punishment']",Values last longer than rewards.
5-6,independence & life skills,Encourage independent dressing skills.,Dressing independently,Self-dressing builds confidence and autonomy.,Allow extra time for the child to dress without rushing.,"['Offer guidance when needed', 'Praise effort']","['Do it for the child', 'Rush completion']",Time and patience build independence.
5-6,independence & life skills,Support independent tooth brushing.,Brushing teeth independently,Dental hygiene habits support lifelong health.,Demonstrate proper brushing and supervise without taking over.,"['Model brushing', 'Use reminders']","['Skip supervision', 'Criticize technique']",Guidance is better than control.
5-6,independence & life skills,Build responsibility for school items.,Packing school bag,Packing builds organization and responsibility.,Create a simple checklist for daily packing.,"['Use checklists', 'Encourage routine']","['Pack for the child', 'Rush mornings']",Preparation prevents stress.
5-6,independence & life skills,Encourage correct shoe management.,Wearing shoes correctly,Proper shoe use supports independence and safety.,Teach left-right cues using simple markers or stories.,"['Use visual cues', 'Practice daily']","['Correct harshly', 'Do it for them']",Practice builds accuracy.
5-6,independence & life skills,Support safe pouring skills.,Pouring water independently,Pouring builds coordination and self-care skills.,Start with small containers and water.,"['Start small', 'Allow spills']","['React negatively to spills', 'Rush']",Spills are part of learning.
5-6,independence & life skills,Encourage participation in household tasks.,Helping with simple chores,Chores build responsibility and belonging.,Assign age-appropriate chores like watering plants.,"['Make tasks manageable', 'Praise contribution']","['Expect perfection', 'Redo tasks immediately']",Contribution builds confidence.
5-6,independence & life skills,Develop organization habits.,Organizing toys and materials,Organization supports focus and responsibility.,Use labeled storage and cleanup routines.,"['Use labels', 'Set routines']","['Clean up alone', 'Delay organization']",Order supports independence.
5-6,independence & life skills,Support table-setting skills.,Setting the table,Table setting builds responsibility and coordination.,Show where items go and practice regularly.,"['Demonstrate placement', 'Encourage participation']","['Expect perfection', 'Criticize mistakes']",Routine builds mastery.
5-6,independence & life skills,Encourage safe self-care choices.,Managing personal belongings,Personal responsibility supports independence.,Teach the child to keep track of personal items.,"['Assign storage spots', 'Give reminders']","['Blame for loss', 'Take over responsibility']",Ownership builds care.
5-6,independence & life skills,Build confidence in daily self-help tasks.,Completing self-help tasks independently,Self-help skills prepare children for school routines.,Encourage trying tasks independently before offering help.,"['Wait patiently', 'Offer help only if needed']","['Step in immediately', 'Rush tasks']",Independence grows with trust.
5-6,independence & life skills,Support independence in clothing management.,Buttoning and zipping clothes,Managing fasteners builds fine motor control and independence.,Practice with jackets and clothes during calm moments.,"['Demonstrate slowly', 'Encourage practice']","['Rush the child', 'Do it for them']",Fasteners take time to master.
5-6,independence & life skills,Encourage early shoe-tying practice.,Learning to tie shoelaces,Shoe-tying supports independence and coordination.,Introduce simple tying steps using practice shoes.,"['Be patient', 'Practice often']","['Expect mastery quickly', 'Create pressure']",Mastery comes with repetition.
5-6,independence & life skills,Build awareness of personal hygiene routines.,Following hygiene routines,Hygiene routines support health and social comfort.,"Use routine charts for brushing, washing, and grooming.","['Use visual routines', 'Offer reminders']","['Nag repeatedly', 'Skip supervision']",Routine builds habit.
5-6,independence & life skills,Encourage independence during meals.,Serving food independently,Self-serving builds confidence and motor skills.,Allow serving small portions using child-safe utensils.,"['Allow spills', 'Supervise safely']","['Control every step', 'React negatively']",Mess is part of learning.
5-6,independence & life skills,Support responsibility for personal space.,Maintaining personal space,Personal space management builds responsibility.,Guide the child to keep their room or area tidy.,"['Set clear expectations', 'Review regularly']","['Clean up secretly', 'Criticize harshly']",Ownership builds care.
5-6,independence & life skills,Build awareness of safety during chores.,Using tools safely during chores,Safe tool use prevents injuries.,Teach safe handling of simple tools like brooms.,"['Demonstrate safety', 'Supervise initially']","['Allow unsafe use', 'Overestimate ability']",Safety comes before speed.
5-6,independence & life skills,Encourage time awareness for self-care.,Managing time for daily tasks,Time awareness supports routine management.,Use timers to guide task completion.,"['Use timers', 'Keep expectations realistic']","['Rush constantly', 'Ignore time limits']",Time awareness grows gradually.
5-6,independence & life skills,Support independence in bathroom routines.,Managing bathroom routines independently,Bathroom independence supports school readiness.,Review steps for toileting and handwashing regularly.,"['Review steps', 'Respect privacy']","['Hover excessively', 'Shame accidents']",Independence grows with trust.
5-6,independence & life skills,Encourage care for shared household items.,Caring for shared belongings,Shared responsibility builds respect.,Explain how shared items should be handled.,"['Model care', 'Explain value']","['Ignore misuse', 'Overreact']",Respect is learned through example.
5-6,independence & life skills,Build confidence in problem-solving daily challenges.,Solving simple daily problems,Problem-solving supports independence.,Encourage thinking through solutions before helping.,"['Ask guiding questions', 'Encourage thinking']","['Provide immediate solutions', 'Rush decisions']",Thinking builds independence.
5-6,motor skills (fine & gross),Strengthen fine motor control for writing.,Practicing controlled pencil movements,Controlled movements support legible handwriting.,"Encourage tracing, drawing shapes, and free drawing.","['Provide practice time', 'Use varied tools']","['Force writing', 'Rush practice']",Control develops through play.
5-6,motor skills (fine & gross),Build hand strength and coordination.,Using scissors safely,Scissor skills support hand strength and precision.,Practice cutting paper and simple shapes under supervision.,"['Use child-safe scissors', 'Supervise closely']","['Allow unsafe use', 'Rush skill development']",Safety comes first.
