age_range,stage,domain,activity,goal,difficulty_level
2-3,Pre-School / Early Pre-K,art and music,Finger painting with primary colors,Develop fine motor skills and color recognition,easy
2-3,Pre-School / Early Pre-K,art and music,Clapping games following a simple rhythm,Enhance hand-eye coordination and rhythm awareness,easy
2-3,Pre-School / Early Pre-K,art and music,Sing simple nursery songs with gestures,Develop auditory skills and memory,easy
2-3,Pre-School / Early Pre-K,art and music,Draw simple shapes with crayons,Enhance fine motor control and shape recognition,easy
2-3,Pre-School / Early Pre-K,art and music,Use playdough to make basic shapes,Develop tactile skills and creativity,easy
2-3,Pre-School / Early Pre-K,art and music,Stamping with shapes and colors,Introduce cause-effect and pattern creation,easy
2-3,Pre-School / Early Pre-K,art and music,Draw lines and curves with crayons,Practice pre-writing motor skills,easy
2-3,Pre-School / Early Pre-K,art and music,Color simple pictures with guidance,Learn color recognition and control,easy
2-3,Pre-School / Early Pre-K,art and music,Listen and move to music,Enhance auditory and gross motor skills,easy
2-3,Pre-School / Early Pre-K,art and music,Sing along with simple hand gestures,Develop coordination and memory,easy
2-3,Pre-School / Early Pre-K,art and music,Decorate paper with stickers,Enhance creativity and fine motor skills,easy
2-3,Pre-School / Early Pre-K,art and music,Play simple percussion instruments,Introduce rhythm and auditory discrimination,easy
2-3,Pre-School / Early Pre-K,art and music,Draw circles and squares with crayons,Practice basic shape formation,easy
2-3,Pre-School / Early Pre-K,art and music,Match colors in art activity,Enhance visual discrimination,easy
2-3,Pre-School / Early Pre-K,art and music,Create simple patterns using blocks,Introduce pattern recognition,medium
2-3,Pre-School / Early Pre-K,art and music,Draw and color using large crayons,Improve grip and fine motor control,medium
2-3,Pre-School / Early Pre-K,art and music,Create artwork with cotton swabs,Develop precision and creativity,medium
2-3,Pre-School / Early Pre-K,art and music,Play call-and-response songs,Enhance listening and memory,medium
2-3,Pre-School / Early Pre-K,art and music,Create textured art using fabric scraps,Develop tactile exploration,medium
2-3,Pre-School / Early Pre-K,art and music,Decorate a simple cardboard cutout,Enhance creativity and coordination,medium
2-3,Pre-School / Early Pre-K,art and music,Trace basic shapes in sand or salt tray,Practice pre-writing skills,medium
2-3,Pre-School / Early Pre-K,art and music,Create simple musical patterns with instruments,Learn rhythm and sequencing,medium
2-3,Pre-School / Early Pre-K,art and music,Paint with sponge brushes,Introduce different textures and creativity,medium
2-3,Pre-School / Early Pre-K,art and music,Participate in group singing circle,Enhance social participation and rhythm skills,medium
2-3,Pre-School / Early Pre-K,art and music,Use stamps to create patterns,Develop creativity and pattern recognition,medium
2-3,Pre-School / Early Pre-K,art and music,Create simple collages with paper pieces,Develop creativity and fine motor skills,medium
2-3,Pre-School / Early Pre-K,art and music,Play rhythm games with clapping and stomping,Enhance listening and coordination,medium
2-3,Pre-School / Early Pre-K,art and music,Draw simple people using circles and lines,Introduce basic figure drawing,medium
2-3,Pre-School / Early Pre-K,art and music,Color inside large shapes with guidance,Improve focus and hand control,medium
2-3,Pre-School / Early Pre-K,art and music,"Create art with different textures (sand, cotton, fabric)",Enhance sensory exploration,medium
2-3,Pre-School / Early Pre-K,art and music,Sing simple songs and match hand motions,Coordinate auditory and motor skills,medium
2-3,Pre-School / Early Pre-K,art and music,Paint using brushes with different sizes,Explore control and brush techniques,medium
2-3,Pre-School / Early Pre-K,art and music,Create patterns using stamps or shapes,Introduce patterning and sequencing,medium
2-3,Pre-School / Early Pre-K,art and music,Play instruments to follow simple rhythms,Enhance musical understanding and coordination,medium
2-3,Pre-School / Early Pre-K,art and music,Draw basic objects from imagination,Encourage creativity and self-expression,medium
2-3,Pre-School / Early Pre-K,art and music,Create simple handprint art,Develop sensory awareness and creativity,medium
2-3,Pre-School / Early Pre-K,art and music,Paint with fingers to create patterns,Encourage tactile exploration and creativity,medium
2-3,Pre-School / Early Pre-K,art and music,Use sponge stamps for painting,Enhance fine motor skills and patterns,medium
2-3,Pre-School / Early Pre-K,art and music,Draw and color large shapes independently,Encourage focus and fine motor development,medium
2-3,Pre-School / Early Pre-K,art and music,Sing songs with varying tempo,Develop auditory attention and rhythm,medium
2-3,Pre-School / Early Pre-K,art and music,Create artwork using stickers and glue,Enhance creativity and hand-eye coordination,medium
2-3,Pre-School / Early Pre-K,art and music,Perform simple musical call-and-response,"Encourage listening, memory, and participation",medium
2-3,Pre-School / Early Pre-K,art and music,Create abstract shapes with chalk on paper,Encourage self-expression and creativity,medium
2-3,Pre-School / Early Pre-K,art and music,Mix primary colors to explore new colors,Introduce color blending and experimentation,medium
2-3,Pre-School / Early Pre-K,art and music,Participate in group music circle,Enhance social interaction and rhythm skills,medium
2-3,Pre-School / Early Pre-K,art and music,Trace shapes using stencils,Develop fine motor precision and shape recognition,medium
2-3,Pre-School / Early Pre-K,art and music,Create simple musical sequences with instruments,Enhance pattern recognition and auditory skills,medium
2-3,Pre-School / Early Pre-K,art and music,Draw large animals using crayons,Encourage observation and creativity,medium
2-3,Pre-School / Early Pre-K,art and music,Participate in interactive dance with music,"Combine listening, movement, and rhythm skills",medium
2-3,Pre-School / Early Pre-K,art and music,Decorate paper plates with colors and textures,Develop fine motor skills and creativity,medium
2-3,Pre-School / Early Pre-K,early literacy,Recognize first letters of their name,Introduce letter recognition and personal connection,easy
2-3,Pre-School / Early Pre-K,early literacy,Attempt tracing simple shapes,Develop fine motor skills and pre-writing ability,easy
2-3,Pre-School / Early Pre-K,early literacy,Recognize familiar symbols or pictures,Build visual recognition and memory,easy
2-3,Pre-School / Early Pre-K,early literacy,Listen to short stories and recall key objects,Develop listening comprehension and memory,easy
2-3,Pre-School / Early Pre-K,early literacy,Match pictures with corresponding words,Introduce word-object association,easy
2-3,Pre-School / Early Pre-K,early literacy,Repeat simple rhymes and songs,Enhance auditory memory and vocabulary,easy
2-3,Pre-School / Early Pre-K,early literacy,Identify letters in alphabet chart with help,Familiarize with letters visually,easy
2-3,Pre-School / Early Pre-K,early literacy,Name objects in picture books,Develop vocabulary and word association,easy
2-3,Pre-School / Early Pre-K,early literacy,Trace letters with finger on sand tray,Strengthen pre-writing and sensory skills,easy
2-3,Pre-School / Early Pre-K,early literacy,Match uppercase and lowercase letters,Introduce letter pair recognition,medium
2-3,Pre-School / Early Pre-K,early literacy,Listen and identify rhyming words,Develop phonological awareness,medium
2-3,Pre-School / Early Pre-K,early literacy,Point to first letter of familiar words,Introduce letter-sound association,medium
2-3,Pre-School / Early Pre-K,early literacy,Recognize first sight words with help,Begin sight word recognition,medium
2-3,Pre-School / Early Pre-K,early literacy,Listen to repetitive story patterns,Enhance prediction and comprehension skills,medium
2-3,Pre-School / Early Pre-K,early literacy,Identify objects by their beginning sound,Develop phonemic awareness,medium
2-3,Pre-School / Early Pre-K,early literacy,Trace simple words with guidance,Practice early writing skills,medium
2-3,Pre-School / Early Pre-K,early literacy,Recognize simple labels in classroom,Link words to objects/environment,medium
2-3,Pre-School / Early Pre-K,early literacy,Participate in shared reading sessions,Enhance attention and language development,medium
2-3,Pre-School / Early Pre-K,early literacy,Identify letters in familiar signs,Introduce environmental print awareness,medium
2-3,Pre-School / Early Pre-K,early literacy,Match picture cards to spoken words,Develop word-object association and listening,medium
2-3,Pre-School / Early Pre-K,early literacy,Identify letters in their own name with help,Reinforce personal letter recognition,medium
2-3,Pre-School / Early Pre-K,early literacy,Point out letters while reading storybooks,Develop print awareness and observation,medium
2-3,Pre-School / Early Pre-K,early literacy,Repeat and recite simple words after teacher,Improve vocabulary and memory,medium
2-3,Pre-School / Early Pre-K,early literacy,Recognize initial sounds in words with help,Develop early phonemic awareness,medium
2-3,Pre-School / Early Pre-K,early literacy,Draw shapes and simple letters on paper,Combine writing and drawing skills,medium
2-3,Pre-School / Early Pre-K,early literacy,Trace letters in sand or salt tray,Develop sensory pre-writing skills,medium
2-3,Pre-School / Early Pre-K,early literacy,Identify familiar letters in storybooks,Reinforce letter recognition,medium
2-3,Pre-School / Early Pre-K,early literacy,Match first letters of words to objects,Introduce letter-object association,medium
2-3,Pre-School / Early Pre-K,early literacy,Listen and repeat simple sentences,Develop auditory memory and language skills,medium
2-3,Pre-School / Early Pre-K,early literacy,Identify letters in name cards,Reinforce personal letter recognition,medium
2-3,Pre-School / Early Pre-K,early literacy,Point out letters in classroom labels,Enhance environmental print awareness,medium
2-3,Pre-School / Early Pre-K,early literacy,Repeat rhyming words after teacher,Develop phonological awareness,medium
2-3,Pre-School / Early Pre-K,early literacy,Recognize letters by shape and color,Enhance visual letter recognition,medium
2-3,Pre-School / Early Pre-K,early literacy,Identify letters from alphabet puzzle,Combine problem-solving with letter recognition,medium
2-3,Pre-School / Early Pre-K,early literacy,Match letter cards to pictures,Introduce letter-sound association,medium
2-3,Pre-School / Early Pre-K,early literacy,Point out letters in familiar storybooks,Develop print awareness,medium
2-3,Pre-School / Early Pre-K,early literacy,Trace letters using colored pencils,Enhance fine motor skills and letter formation,medium
2-3,Pre-School / Early Pre-K,early literacy,Sing alphabet song while pointing to letters,Combine auditory and visual letter learning,medium
2-3,Pre-School / Early Pre-K,early literacy,Recognize letters in classroom charts,Reinforce recognition in environment,medium
2-3,Pre-School / Early Pre-K,early literacy,Draw letters in the air with finger,Practice letter shapes using large motor skills,medium
2-3,Pre-School / Early Pre-K,early literacy,Identify letters in name puzzles,Reinforce personal letter recognition,medium
2-3,Pre-School / Early Pre-K,early literacy,Match letter stickers to corresponding pictures,Introduce letter-object association,medium
2-3,Pre-School / Early Pre-K,early literacy,Repeat first letters of common words,Enhance phonemic awareness,medium
2-3,Pre-School / Early Pre-K,early literacy,Trace letters with playdough,Strengthen tactile and fine motor skills,medium
2-3,Pre-School / Early Pre-K,early literacy,Point out letters while teacher reads,Develop print awareness and observation,medium
2-3,Pre-School / Early Pre-K,early literacy,Recognize letters on everyday objects,Connect letters to real-life context,medium
2-3,Pre-School / Early Pre-K,early literacy,Draw letters alongside pictures,Combine drawing and letter formation,medium
2-3,Pre-School / Early Pre-K,early literacy,Listen to and repeat simple words from stories,Develop vocabulary and auditory skills,medium
2-3,Pre-School / Early Pre-K,early literacy,Identify letters in playful flashcards,Reinforce visual letter recognition,medium
2-3,Pre-School / Early Pre-K,early literacy,Match letters to familiar word objects,Develop letter-sound association,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Sort objects by color,Develop classification and comparison skills,easy
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Sort objects by shape,Enhance shape recognition and categorization,easy
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Match numbers 1–5 to quantity of objects,Understand number-quantity correspondence,easy
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Count objects 1–5 aloud,Develop basic counting skills,easy
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Compare quantities to identify 'more' or 'less',Introduce comparison concepts,easy
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,"Sort objects by size (small, medium, large)",Develop understanding of size differences,easy
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Identify patterns using colors,Introduce pattern recognition,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Match numbers to number of items,Enhance number sense,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Create simple patterns using objects,Develop sequencing and patterning skills,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Count aloud to 10 with objects,Reinforce counting skills and number order,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,"Sort toys by type (cars, blocks, animals)",Develop classification and observation skills,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Identify missing item in a sequence of objects,Introduce sequencing and logical thinking,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Match shapes to outlines,Strengthen shape recognition and spatial awareness,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Count groups of objects and say total,Develop addition skills with concrete objects,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Sort objects by multiple attributes (color & shape),Enhance categorization and observation,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Complete simple shape puzzles,Develop problem-solving and spatial reasoning,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Identify bigger and smaller objects,Understand comparative concepts,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Count and place objects in correct number boxes,Strengthen number-object correspondence,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Sort and count classroom items,Combine classification with counting skills,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Recognize numbers in the environment,Connect numbers to real-life context,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Use objects to demonstrate 'more' and 'less',Develop quantity comparison skills,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Match numbers to corresponding sets of objects,Strengthen number recognition and counting,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Identify patterns in daily objects,Enhance observation and logical thinking,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Count toys during cleanup,Combine counting practice with routine activity,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Arrange objects in ascending order by size,Develop understanding of sequence and size comparison,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Arrange objects in descending order by size,Reinforce sequencing and observation skills,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Sort objects by both shape and color,Develop multi-attribute classification skills,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Count and match objects to numeral cards,Strengthen number recognition and counting,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Identify odd and even groups using objects,Introduce basic number concepts,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Create patterns using beads or blocks,Enhance pattern recognition and sequencing skills,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Compare two groups and identify which has more,Develop comparative reasoning,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Identify missing numbers in a sequence 1–10,Introduce number sequencing and gaps,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Sort classroom objects by height,Develop measurement and observation skills,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Match number cards to sets of toys,Reinforce counting and number-object correspondence,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Use blocks to demonstrate simple addition,Introduce basic addition with concrete objects,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,"Group objects in sets of 2, 3, or 4",Develop early grouping and counting skills,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Identify and complete simple shape patterns,Enhance logical thinking and patterning,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Count objects in a line and identify total,Strengthen sequential counting skills,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Sort objects into categories by size and color,Enhance classification skills,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Recognize numbers on classroom labels,Connect numerals to environmental objects,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Arrange objects into simple addition sets,Reinforce counting and addition concepts,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Use toys to demonstrate subtraction,Introduce early subtraction with concrete objects,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Identify patterns in everyday items,Develop observation and pattern recognition,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Sort objects using multiple attributes,Strengthen classification and analytical skills,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Count and organize toys during play,Combine counting with practical application,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,"Identify bigger, smaller, and same-sized objects",Develop comparative reasoning skills,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Match number cards to everyday items,Reinforce number-object association,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Create simple addition/subtraction scenarios with toys,Develop basic arithmetic understanding,medium
3-4,Kindergarten Prep / Early Kindergarten,pre academics / math readiness,Identify and continue simple color or shape patterns,Enhance patterning and predictive thinking,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Identify letters in their name,Recognize personal name letters,easy
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Recognize simple sight words like 'mom' and 'dad',Develop basic sight word recognition,easy
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Match letters to pictures starting with that letter,Introduce letter-sound association,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Trace letters with fingers on sandpaper,Enhance tactile letter recognition and fine motor skills,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Sing alphabet song while pointing to letters,Combine auditory and visual learning of letters,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Identify letters in storybooks,Recognize letters in context,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Repeat simple words from stories,Develop vocabulary and oral language,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Match letters with letter cards,Reinforce letter recognition,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Point out letters in environmental print,Connect letters to real-world context,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Identify first letters of common words,Introduce initial sound awareness,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Trace letters using crayons on paper,Enhance letter formation and fine motor skills,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Recognize letters in flashcards,Reinforce visual letter recognition,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Point out letters in classroom charts,Develop print awareness,medium
