age_group,subject,topic,difficulty_level,example_type,input,output,solution_steps
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why should you know what makes you feel nervous?,Because knowing helps you stay calm and confident next time.,"['Notice when you feel nervous.', 'Take deep breaths and talk about it.', 'Be brave and try again.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why is it fun to draw things you like?,It helps you show what makes you happy.,"['Think of your favorite things.', 'Draw or paint them.', 'Share your art proudly.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you know what activities make you feel strong?,It helps you stay healthy and confident.,"['Try different activities.', 'Notice which make you feel energetic.', 'Do them often to stay fit.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why should you tell others what makes you uncomfortable?,So adults can help you feel safe and respected.,"['Notice when something feels wrong.', 'Tell a trusted adult.', 'Avoid what makes you uncomfortable.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you enjoy some stories more than others?,Because they match your interests or imagination.,"['Listen to different stories.', 'Notice which ones make you excited.', 'Ask for more like them.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you share your achievements with family?,It helps them feel proud and support your happiness.,"['Remember something you did well.', 'Tell your parents or teacher.', 'Celebrate together.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why should you be aware of what makes you feel angry?,So you can calm down and make kind choices.,"['Notice when you get angry.', 'Take deep breaths to calm down.', 'Talk instead of shouting.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why should you talk about your favorite activities at school?,It helps teachers plan things you enjoy.,"['Think about what you like in school.', 'Share your ideas with your teacher.', 'Join those activities happily.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why do you think people like different kinds of animals?,Because each person finds beauty in different creatures.,"['Think about your favorite animal.', 'Ask others about theirs.', 'Appreciate all animals.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why should you respect your own opinions and ideas?,Because believing in yourself builds confidence.,"['Think about your ideas.', 'Say them proudly but kindly.', 'Respect others’ opinions too.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you think you like some seasons more than others?,Because different weather makes you enjoy different things.,"['Think about your favorite season.', 'Notice what you enjoy about it.', 'Enjoy it when it comes.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you think about what makes you feel safe?,It helps you stay comfortable and protected.,"['Notice where you feel safe.', 'Stay in those places.', 'Talk to adults if something feels wrong.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you feel happy when you do something you love?,Because doing what you love brings joy and comfort.,"['Think about what makes you happy.', 'Do those activities often.', 'Enjoy the good feelings they bring.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you know what makes you feel calm?,So you can use it when you feel upset or worried.,"['Notice what helps you relax.', 'Do those things when needed.', 'Stay calm and feel better.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why should you talk to a grown-up when you don’t understand your feelings?,Because adults can help you make sense of your emotions.,"['Notice when you feel confused.', 'Talk to a parent or teacher.', 'Listen to their advice calmly.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you smile when you see your favorite things?,Because they make you feel happy and loved.,"['Notice what makes you smile.', 'Think about why you like it.', 'Enjoy those moments often.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why is it good to know what makes you feel brave?,Because bravery helps you face new challenges.,"['Remember times you felt brave.', 'Think about what helped you then.', 'Use it next time you feel scared.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why should you understand your feelings before talking about them?,It helps you express them clearly and kindly.,"['Pause and think about your feeling.', 'Find the right words to describe it.', 'Talk politely to others.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you enjoy spending time on your favorite hobbies?,Because hobbies make you feel happy and relaxed.,"['Find hobbies you like.', 'Spend time doing them.', 'Share your joy with friends.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you know what makes you laugh?,Because laughter helps you stay cheerful and kind.,"['Think about what makes you laugh.', 'Do those things often.', 'Share joy with others.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why should you not hide your feelings from trusted adults?,Because sharing helps them support and comfort you.,"['Recognize your feelings.', 'Talk to parents or teachers.', 'Let them help you feel better.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why is it good to talk about what makes you happy at home?,It helps your family know you better and share your joy.,"['Think about happy moments.', 'Share them with family.', 'Enjoy their smiles too.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why do you think it’s nice to say when you feel proud?,Because it shows confidence and encourages others.,"['Notice when you do something good.', 'Tell others happily.', 'Celebrate together kindly.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why is it important to learn from what you don’t like?,Because it helps you understand yourself better and grow.,"['Think about things you dislike.', 'Ask yourself why.', 'Find ways to handle them better.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why should you share your favorite games with friends?,Because sharing helps everyone have fun together.,"['Tell your friends about your favorite game.', 'Invite them to play.', 'Enjoy together as a team.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you think about what makes you excited?,It helps you know what brings joy and motivation.,"['Notice what makes you eager or happy.', 'Write or draw about it.', 'Do it when you need energy.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why should you be proud of your own interests?,Because they make you unique and special.,"['List things you enjoy.', 'Be proud of them.', 'Share them confidently.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why is it nice to draw your favorite food?,Because it helps you show your likes in a fun way.,"['Think of a food you love.', 'Draw it on paper.', 'Show it proudly to others.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you talk about your likes in class?,So your teacher can include fun things you enjoy learning.,"['Think about what you like learning.', 'Tell your teacher politely.', 'Join happily in class activities.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why is it important to know what makes you feel thankful?,Because it helps you appreciate the good things in life.,"['Think about what makes you grateful.', 'Say thank you for it.', 'Feel happy and blessed.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you like being with people who make you laugh?,Because they make you feel cheerful and loved.,"['Notice who makes you laugh.', 'Spend time with them.', 'Share happy moments together.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you know what makes you feel proud of others?,Because it helps you celebrate kindness and success.,"['Notice when someone does good work.', 'Tell them you’re proud.', 'Spread positivity around.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you like some sounds more than others?,"Because sounds can make you feel happy, calm, or excited.","['Listen to different sounds.', 'Notice which you enjoy most.', 'Listen to them when you want to feel good.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you know what helps you feel relaxed?,Because relaxing helps you stay healthy and peaceful.,"['Think about what makes you feel calm.', 'Do those activities when you feel tired.', 'Enjoy the peaceful time.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why is it important to understand what makes you feel jealous?,So you can learn to feel happy for others instead.,"['Notice when you feel jealous.', 'Ask why you feel that way.', 'Try to be happy for others’ success.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you enjoy some cartoons more than others?,Because they match your interests or make you laugh.,"['Watch different cartoons.', 'Notice which you like best.', 'Share your favorite with friends.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why is it good to notice what makes you feel brave?,Because it helps you face new or scary things confidently.,"['Think of times you were brave.', 'Remember what helped you then.', 'Use that courage next time.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why should you talk about your fears with someone you trust?,Because sharing helps you feel less afraid and more supported.,"['Notice what scares you.', 'Tell a trusted adult.', 'Listen to their advice and feel safe.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you feel happy when someone compliments you?,Because it feels good when others notice your good work.,"['Remember when someone praised you.', 'Smile and say thank you.', 'Feel proud of your effort.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you know what makes you feel peaceful?,So you can do those things to stay calm and kind.,"['Think about what brings you peace.', 'Spend time doing it often.', 'Stay kind and calm inside.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why is it important to understand when you need help?,Because asking for help keeps you safe and helps you learn.,"['Notice when you’re unsure or struggling.', 'Ask an adult for help.', 'Listen carefully and try again.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you enjoy playing your favorite game?,Because it makes you feel happy and active.,"['Think of the game you love.', 'Notice how you feel when playing.', 'Play it with friends happily.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you understand what makes you laugh or cry?,Because it helps you learn about your emotions.,"['Notice when you laugh or cry.', 'Think about why you felt that way.', 'Learn from your feelings.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why should you not pretend to like something you don’t?,Because honesty helps people know the real you.,"['Think about what you truly feel.', 'Be polite but honest.', 'Respect others’ choices too.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you like to talk about your favorite animals?,Because it’s fun to share what you find interesting.,"['Think about your favorite animal.', 'Tell your friends about it.', 'Listen to theirs too.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you know what makes you feel proud of yourself?,Because it helps you build confidence and self-love.,"['Remember when you did something good.', 'Think about how it made you feel.', 'Try to do your best again.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why is it important to know when to say 'no' kindly?,Because saying 'no' helps you protect your comfort and safety.,"['Listen to your feelings.', ""Say 'no' politely if something feels wrong."", 'Stay respectful but firm.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you like wearing certain clothes more than others?,Because they make you feel comfortable or happy.,"['Try different clothes.', 'Notice which you enjoy wearing.', 'Pick the ones that make you smile.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why is it good to know what makes you excited to learn?,Because excitement helps you focus and enjoy learning.,"['Think about subjects you love.', 'Ask your teacher for more activities like them.', 'Have fun learning new things.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why should you understand what makes you feel disappointed?,So you can try again and do better next time.,"['Notice when you feel sad about something.', 'Think about what didn’t go well.', 'Try again with new effort.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why should you share your favorite song with friends?,Because sharing music spreads joy and friendship.,"['Play your favorite song.', 'Invite friends to listen.', 'Enjoy it together happily.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why do you think some people enjoy reading and others like sports?,Because everyone enjoys different things that make them happy.,"['Ask others what they like.', 'Share your favorites too.', 'Respect everyone’s choices.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you like playing with some friends more than others?,Because you feel happy and comfortable with them.,"['Think about which friends make you laugh.', 'Spend time with them kindly.', 'Be friendly to everyone.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you know what kind of games make you learn new things?,Because learning games help your mind grow while having fun.,"['Try different games.', 'Notice which ones teach you something.', 'Play them more often.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why is it important to notice what makes you feel lonely?,So you can reach out to others and feel better.,"['Notice when you feel alone.', 'Talk to a friend or teacher.', 'Join others to feel happy again.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you enjoy some school subjects more than others?,Because everyone likes learning about different things.,"['Think about your favorite subject.', 'Notice why you enjoy it.', 'Try to learn more about it.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you notice what makes you feel proud at school?,Because it helps you know what you’re good at and work harder.,"['Remember when you felt proud.', 'Think about what you did right.', 'Keep trying to do better.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why is it important to respect your own thoughts and ideas?,Because your thoughts show who you are and help you grow.,"['Think about your ideas.', 'Believe in them.', 'Share them politely with others.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you feel happy when you help others?,Because kindness makes your heart feel good.,"['Help someone in need.', 'Notice how happy you feel.', 'Keep being kind often.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you learn what makes you feel confident?,Because confidence helps you do your best without fear.,"['Notice when you feel sure of yourself.', 'Do those activities more.', 'Trust yourself and keep trying.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why is it important to understand when you need a break?,Because resting helps you stay healthy and think clearly.,"['Notice when you feel tired.', 'Take a short rest.', 'Start again when you feel better.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you smile when you see your favorite teacher?,Because they make you feel cared for and happy.,"['Think about how your teacher helps you.', 'Smile and thank them.', 'Be kind and respectful back.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you talk about what makes you curious?,Because curiosity helps you learn and explore new things.,"['Notice what you’re curious about.', 'Ask questions politely.', 'Listen and learn new ideas.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why should you know what makes you feel frustrated?,So you can stay calm and try again instead of giving up.,"['Notice when you feel upset about something.', 'Take a deep breath.', 'Try again with patience.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you like listening to your favorite song many times?,Because it makes you feel happy and relaxed.,"['Listen to your favorite song.', 'Notice how it makes you feel.', 'Enjoy singing along.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you think about what makes you laugh when you’re sad?,Because it helps you feel better and forget your worries.,"['Remember funny moments.', 'Talk to someone who makes you laugh.', 'Smile and feel lighter.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why should you notice what makes you feel brave at school?,Because it helps you face new lessons and try your best.,"['Think of a time you tried something new.', 'Remember how you succeeded.', 'Be brave again next time.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you enjoy helping your parents at home?,Because helping makes you feel responsible and loved.,"['Ask how you can help.', 'Do small tasks happily.', 'Feel proud afterward.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you know what makes you excited for school?,Because it helps you look forward to learning each day.,"['Think about what you love doing at school.', 'Focus on that in the morning.', 'Start the day with joy.']"
