age_month,domain,parent_learning_goal,skill_name,why_it_matters,how_to_teach,parent_dos,parent_donts,parent_tip
25-27,toilet training & hygiene,Introduce potty use without pressure.,Encouraging sitting on the potty calmly,Low-pressure exposure builds comfort and trust.,Invite the child to sit fully clothed at first.,"['Keep it casual', 'Offer praise for trying']","['Force sitting', 'Show disappointment']",Comfort comes before success.
25-27,toilet training & hygiene,Handle potty accidents constructively.,Responding calmly to accidents,Calm responses prevent shame and resistance.,Clean up together without scolding.,"['Stay neutral', 'Reassure the child']",['Punish accidents'],Accidents are part of learning.
25-27,toilet training & hygiene,Build early oral hygiene habits.,Brushing teeth together with assistance,Early habits protect long-term dental health.,Brush together using a soft toddler toothbrush.,"['Model brushing', 'Keep it brief']",['Rush forcefully'],Routine matters more than perfection.
25-27,behavior & emotional coaching,Manage frequent toddler tantrums.,Staying present during emotional outbursts,Presence helps toddlers regulate emotions.,Stay nearby and speak softly until calm returns.,"['Stay close', 'Use calm tone']",['Leave child alone in distress'],Connection comes before correction.
25-27,behavior & emotional coaching,Help toddlers identify emotions.,Naming basic emotions in real time,Emotion naming supports self-regulation.,Label feelings like angry or sad during moments.,['Use simple words'],['Dismiss feelings'],Name it to tame it.
25-27,behavior & emotional coaching,Set limits with warmth.,Holding gentle but firm boundaries,Clear boundaries help toddlers feel secure.,State rules briefly and follow through calmly.,['Be consistent'],['Overexplain during tantrums'],Calm firmness builds trust.
25-27,behavior & emotional coaching,Encourage age-appropriate independence.,Allowing safe independence attempts,Independence builds confidence and problem-solving.,Let the child try before stepping in.,['Observe patiently'],['Rescue too quickly'],Struggle builds skill.
25-27,language development support,Support rapid vocabulary growth.,Naming objects during daily routines,Repeated naming strengthens word learning.,"Name items while dressing, eating, and playing.",['Repeat words'],['Quiz excessively'],Every routine is a language lesson.
25-27,language development support,Encourage longer speech.,Modeling two-to-three word phrases,Modeling helps toddlers combine words.,Expand single words into short phrases.,['Speak slowly'],['Correct harshly'],"Model more, correct less."
25-27,language development support,Build early love for books.,Reading simple books daily,Early reading supports language and attention.,Read short books and talk about pictures.,['Follow child interest'],['Force full stories'],Short and joyful beats long and forced.
25-27,cognitive & learning support,Encourage early problem-solving skills.,Letting the child solve simple challenges,Problem-solving builds persistence and confidence.,Pause before helping when a toy is out of reach.,['Wait patiently'],['Solve problems immediately'],Thinking time matters.
25-27,cognitive & learning support,Build early sorting concepts.,Sorting objects by color or size,Sorting supports categorization and logic.,Group toys by color or size during play.,['Use simple categories'],['Overcomplicate tasks'],Simple patterns teach best.
25-27,cognitive & learning support,Introduce basic number awareness.,Counting objects up to three,Early counting builds number sense.,Count toys aloud during play.,['Count slowly'],['Expect accuracy'],Exposure comes before mastery.
25-27,cognitive & learning support,Strengthen visual matching skills.,Matching similar objects,Matching supports memory and attention.,Pair socks or toys together.,['Use real-life items'],['Rush completion'],Everyday tasks teach best.
25-27,motor skills support,Support safe gross motor exploration.,Allowing supervised running and climbing,Movement builds strength and coordination.,Provide safe spaces for active play.,['Supervise closely'],['Restrict all movement'],Safe freedom builds skill.
25-27,motor skills support,Improve fine motor coordination.,Stacking blocks independently,Stacking strengthens hand-eye coordination.,Provide blocks and allow trial and error.,['Encourage attempts'],['Correct constantly'],Practice beats perfection.
25-27,motor skills support,Build early book-handling skills.,Turning book pages one at a time,Page turning builds coordination and focus.,Use board books during reading time.,['Offer sturdy books'],['Rush page turning'],Let little hands lead.
25-27,motor skills support,Encourage early creative expression.,Scribbling freely with crayons,Scribbling strengthens hand muscles.,Provide large crayons and paper.,['Allow free movement'],['Expect shapes'],Marks come before meaning.
25-27,social skills & peer interaction,Support early peer awareness.,Encouraging parallel play,Parallel play is the foundation of social interaction.,Allow side-by-side play without forcing sharing.,['Observe calmly'],['Force interaction'],Together is enough.
25-27,social skills & peer interaction,Introduce early sharing concepts.,Modeling simple sharing behavior,Modeling teaches social expectations.,Take turns with toys during play.,['Model patience'],['Demand sharing'],"Model first, expect later."
25-27,social skills & peer interaction,Support turn-taking skills with adults.,Practicing simple turn-taking games,Turn-taking builds early cooperation skills.,Roll a ball back and forth during play.,"[""Wait for the child's turn""]",['Rush turns'],Slow play teaches patience.
25-27,social skills & peer interaction,Increase awareness of social cues.,Responding to basic facial expressions,Recognizing cues supports early empathy.,Point out happy or sad faces in books.,['Use simple explanations'],['Overanalyze emotions'],Simple cues are enough.
25-27,safety awareness,Teach basic danger recognition.,Introducing the concept of hot surfaces,Early awareness prevents burns.,Verbally label hot items while supervising closely.,['Use clear words'],['Rely on warnings alone'],Supervision stays essential.
25-27,safety awareness,Reduce outdoor injury risks.,Providing close supervision outdoors,Toddlers explore quickly and unpredictably.,Stay within arm’s reach during outdoor play.,['Scan constantly'],['Assume safety'],Proximity prevents accidents.
25-27,safety awareness,Prevent climbing-related accidents.,Redirecting unsafe climbing attempts,Falls are common at this age.,Guide the child to safe climbing alternatives.,['Redirect calmly'],['Yell suddenly'],Redirect instead of react.
25-27,safety awareness,Introduce water safety basics.,Maintaining constant supervision near water,Drowning risks remain high for toddlers.,Stay within arm’s reach near any water source.,['Stay alert'],['Rely on flotation devices'],"Eyes on, always."
25-27,independence & responsibility,Encourage responsibility through play.,Cleaning up toys after activities,Cleanup builds responsibility and routine awareness.,"Turn cleanup into a short, guided activity.",['Make it playful'],['Do it alone'],Together builds habit.
25-27,independence & responsibility,Support early decision-making.,Offering two simple choices,Choices support autonomy and cooperation.,Offer two acceptable options verbally.,['Limit options'],['Overwhelm with choices'],Two choices are enough.
25-27,independence & responsibility,Build confidence in helping tasks.,Carrying small items safely,Helping tasks build confidence and coordination.,Ask the child to carry light objects.,['Offer praise'],['Expect perfection'],Helping feels empowering.
25-27,independence & responsibility,Strengthen daily routine participation.,Following simple daily routines,Routines provide predictability and security.,Repeat the same order for daily tasks.,['Be consistent'],['Change routines abruptly'],Predictability builds trust.
25-27,language development support,Expand toddler vocabulary naturally.,Adding one new word to the child’s speech,Word expansion accelerates expressive language growth.,Repeat the child’s word and add one more related word.,['Expand gently'],['Correct bluntly'],Build on what the child already says.
25-27,parent self-care & stress management,Manage emotional overload during frequent tantrums.,Pausing before responding during stress,Pausing prevents reactive parenting responses.,Take one deep breath before speaking.,['Pause briefly'],['React instantly'],A pause protects both parent and child.
25-27,parent self-care & stress management,Recognize early signs of burnout.,Noticing personal exhaustion signals,Early awareness prevents emotional burnout.,"Reflect on mood, sleep, and patience levels daily.",['Self-check regularly'],['Ignore fatigue'],Awareness comes before recovery.
25-27,parent self-care & stress management,Regulate frustration during repeated behaviors.,Using calming strategies when triggered,Regulation models emotional control for toddlers.,Step away briefly once the child is safe.,['Use coping tools'],['Suppress emotions completely'],Regulation is teachable.
25-27,parent self-care & stress management,Practice patience with repeated learning phases.,Reframing repetition as development,Perspective reduces frustration and guilt.,Remind yourself repetition is how toddlers learn.,['Reframe thoughts'],['Expect quick mastery'],Repetition is progress.
25-27,parent self-care & stress management,Allow rest without guilt.,Taking short recovery breaks,Rested parents respond more calmly.,Schedule brief personal downtime when possible.,['Accept help'],['Feel guilty for resting'],Rest is responsible parenting.
25-27,"parental teamwork, planning & consistency",Align responses to toddler tantrums.,Agreeing on a shared tantrum response,Consistency reduces toddler confusion.,Discuss responses during calm moments.,['Align beforehand'],['Contradict each other'],Consistency builds security.
25-27,"parental teamwork, planning & consistency",Balance supervision responsibilities.,Sharing active supervision duties,Shared responsibility reduces burnout.,Rotate supervision roles intentionally.,['Communicate clearly'],['Assume roles implicitly'],Clarity prevents resentment.
25-27,"parental teamwork, planning & consistency",Maintain predictable daily routines.,Coordinating routine expectations together,Predictability supports toddler regulation.,Agree on routine order and timing.,['Stay aligned'],['Change rules randomly'],Predictability is calming.
25-27,"parental teamwork, planning & consistency",Improve daily parenting communication.,Sharing daily parenting plans,Shared plans prevent confusion and conflict.,Briefly check plans once per day.,['Communicate briefly'],['Assume understanding'],Small check-ins matter.
25-27,"parental teamwork, planning & consistency",Strengthen emotional support between parents.,Acknowledging each other’s effort,Emotional support sustains long-term teamwork.,Verbally recognize one effort each day.,['Express appreciation'],['Focus only on problems'],Support fuels partnership.
28-30,feeding,Handle stronger food refusal without escalating conflict.,Staying neutral during meal refusal,Neutral responses reduce power struggles and anxiety around eating.,Offer the meal calmly and remove it without commentary if refused.,"['Stay calm', 'Offer regular meals']","['Force bites', 'React emotionally']",Calm neutrality protects long-term eating habits.
28-30,feeding,Set healthy expectations around food quantity.,Serving age-appropriate portions,Appropriate portions help toddlers self-regulate hunger.,Serve small portions and allow seconds if requested.,['Start small'],['Overfill plates'],Small portions reduce overwhelm.
28-30,feeding,Avoid pressure-based feeding interactions.,Stopping force-feeding attempts,Pressure damages trust and appetite awareness.,Respect hunger cues and end meals peacefully.,['Respect cues'],['Insist on finishing'],Trust the child’s appetite.
28-30,sleep,Respond effectively to nap resistance.,Recognizing signs of nap readiness,Timely naps prevent overtiredness.,"Watch for yawning, rubbing eyes, or reduced focus.",['Observe cues'],['Delay naps too long'],Timing matters more than duration.
28-30,sleep,Create calming transitions into bedtime.,Using consistent bedtime rituals,Rituals help toddlers wind down emotionally.,Repeat the same calming steps nightly.,['Keep rituals predictable'],['Introduce stimulation'],Predictability brings calm.
28-30,hygiene,Teach basic hygiene routines with support.,Guiding handwashing step by step,Early hygiene habits support health awareness.,Guide hands while naming each step.,['Demonstrate slowly'],['Rush the process'],Guidance builds habit.
28-30,hygiene,Encourage early self-care attempts.,Supporting independent dressing attempts,Dressing attempts build autonomy and coordination.,Let the child try before helping.,['Offer help only when needed'],['Take over immediately'],Effort matters more than success.
28-30,behavior,Reduce tantrum frequency proactively.,Preventing tantrums through preparation,Preparation lowers frustration triggers.,Give warnings before transitions.,['Prepare verbally'],['Change activities abruptly'],Prevention is easier than repair.
28-30,behavior,Teach waiting skills gently.,Practicing short waiting periods,Patience supports emotional regulation.,Ask the child to wait briefly with reassurance.,['Praise waiting'],['Expect long waits'],Small waits build patience.
28-30,language,Support early sentence formation.,Modeling short sentences,Sentence models help children combine words.,Expand the child’s words into short phrases.,['Speak clearly'],['Correct harshly'],Model more than you correct.
28-30,language,Encourage toddlers to respond verbally.,Answering simple questions,Responding to questions builds understanding and expression.,Ask simple what or where questions during routines.,['Pause for response'],['Answer immediately'],Waiting invites words.
28-30,cognitive,Strengthen memory through play.,Playing simple memory games,Memory games support recall and focus.,Hide a toy briefly and invite the child to find it.,['Keep it playful'],['Make it competitive'],Fun fuels learning.
28-30,cognitive,Build problem-solving persistence.,Completing simple puzzles with guidance,Puzzles develop thinking and perseverance.,Offer hints without placing pieces for the child.,['Encourage effort'],['Finish puzzles yourself'],"Support thinking, not speed."
28-30,motor,Develop early jumping skills.,Practicing two-foot jumping attempts,Jumping builds balance and leg strength.,Demonstrate small jumps on safe surfaces.,['Model movement'],['Push physical limits'],Attempts count.
28-30,motor,Improve fine motor control.,Using fingers for precise movements,Fine motor skills support later writing and self-care.,Offer activities like picking up small objects safely.,['Supervise closely'],['Rush tasks'],Precision develops slowly.
28-30,social,Encourage learning through imitation.,Imitating peer actions during play,Imitation supports social learning.,Point out and model peer behaviors.,['Model calmly'],['Force copying'],Watching comes before doing.
28-30,social,Introduce polite social language.,Using the word please,Polite language supports social acceptance.,Model please during requests.,['Model politeness'],['Demand perfection'],Modeling teaches manners.
28-30,safety,Prevent stair-related accidents.,Supervising stair use closely,Falls are a major toddler injury risk.,Hold hands and guide each step.,['Stay nearby'],['Allow unsupervised access'],Close supervision saves injuries.
28-30,safety,Maintain safety during outdoor play.,Monitoring playground activity actively,Playgrounds present unpredictable risks.,Stay within clear sight and reach.,['Scan continuously'],['Get distracted'],Active supervision matters.
28-30,independence,Build responsibility through small tasks.,Helping with simple household chores,Chores build confidence and cooperation.,Invite the child to help with easy tasks.,['Praise effort'],['Expect accuracy'],Participation builds pride.
28-30,independence,Support understanding of multi-step instructions.,Following two-step routines,Two-step routines strengthen listening and memory skills.,Give two simple steps during daily activities.,['Use clear language'],['Add extra steps'],Keep instructions short and clear.
28-30,feeding,Reduce mealtime conflict during refusal phases.,Ending meals calmly when refusal persists,Calm endings protect the child’s relationship with food.,End the meal without comments if refusal continues.,['Stay neutral'],['Argue or bargain'],Peaceful endings matter.
28-30,sleep,Handle nap resistance without power struggles.,Adjusting nap timing slightly,Small timing changes can restore sleep balance.,Shift nap time earlier or later by 15 minutes.,['Observe patterns'],['Drop naps abruptly'],Small shifts make big differences.
28-30,behavior,Respond calmly when patience breaks down.,Coaching calm-down after frustration,Guided calming builds emotional regulation.,Sit together and breathe slowly after outbursts.,['Stay present'],['Lecture during distress'],"Calm is taught, not demanded."
28-30,language,Encourage conversational turn-taking.,Pausing to allow verbal responses,Pauses invite the child to initiate speech.,Wait a few seconds after asking a question.,['Wait patiently'],['Fill silence quickly'],Silence invites words.
28-30,parent self-care & stress management,Manage stress caused by increased resistance.,Noticing personal stress triggers,Awareness prevents reactive responses.,Reflect on moments that increase frustration.,['Self-reflect'],['Ignore signals'],Awareness comes first.
28-30,parent self-care & stress management,Avoid reactive parenting patterns.,Pausing before correcting behavior,Pauses reduce emotional reactions.,Take one breath before responding.,['Pause intentionally'],['React instantly'],One breath changes outcomes.
28-30,parent self-care & stress management,Maintain emotional regulation during defiance.,Using grounding techniques when overwhelmed,Regulation models calm behavior for toddlers.,Name one thing you see or hear to ground yourself.,['Ground yourself'],['Suppress emotions'],Regulation is contagious.
28-30,"parental teamwork, planning & consistency",Align discipline approaches between caregivers.,Agreeing on shared discipline responses,Consistency reduces toddler confusion.,Discuss responses during calm moments.,['Align beforehand'],['Contradict each other'],Unity builds security.
28-30,"parental teamwork, planning & consistency",Coordinate daily caregiving responsibilities.,Sharing daily schedules clearly,Clear schedules reduce stress and miscommunication.,Review plans briefly at the start of the day.,['Communicate clearly'],['Assume understanding'],Clarity prevents conflict.
28-30,"parental teamwork, planning & consistency",Ensure routines remain consistent across caregivers.,Aligning daily routines between caregivers,Consistency across adults helps toddlers feel secure.,Agree on routine order and timing together.,['Stay consistent'],['Change routines independently'],Consistency reduces confusion.
28-30,"parental teamwork, planning & consistency",Improve clarity in parenting communication.,Communicating expectations clearly,Clear expectations prevent mixed messages.,"Use brief, direct language when planning together.",['Speak clearly'],['Assume agreement'],Clear words build alignment.
28-30,"parental teamwork, planning & consistency",Strengthen emotional support on difficult days.,Backing each other during challenging moments,Mutual support reduces burnout and conflict.,Verbally support your partner in front of the child.,['Support openly'],['Undermine each other'],Support strengthens partnership.
28-30,parent self-care & stress management,Balance discipline with empathy.,Responding firmly while staying emotionally connected,Empathy preserves trust during discipline.,Acknowledge feelings before setting limits.,['Acknowledge emotions'],['Dismiss feelings'],Empathy supports cooperation.
28-30,parent self-care & stress management,Prevent emotional exhaustion during defiance phases.,Scheduling short recovery breaks,Regular breaks protect emotional health.,Plan brief downtime after intense moments.,['Accept rest'],['Push through exhaustion'],Rest supports patience.
28-30,feeding,Maintain structure during meals despite resistance.,Keeping regular meal and snack times,Structure supports appetite regulation.,Serve meals at predictable times daily.,['Keep schedule'],['Offer constant snacks'],Structure reduces battles.
28-30,sleep,Support smoother bedtime transitions.,Reducing stimulation before sleep,Lower stimulation helps toddlers settle faster.,Dim lights and avoid active play before bed.,['Create calm'],['Encourage excitement'],Calm environments cue sleep.
28-30,hygiene,Build cooperation during hygiene routines.,Turning hygiene tasks into guided routines,Routine-based hygiene builds compliance.,Follow the same steps each time.,['Be consistent'],['Rush care tasks'],Routine builds cooperation.
28-30,social,Support respectful social behavior.,Modeling polite words during interactions,Modeling shapes social language habits.,Use polite words consistently around the child.,['Model politeness'],['Demand manners'],Modeling teaches faster.
28-30,safety,Maintain vigilance in changing environments.,Scanning for new safety hazards,Toddlers explore unpredictably in new spaces.,Quickly check environments upon arrival.,['Scan proactively'],['Assume safety'],Prevention protects exploration.
28-30,feeding,Reduce emotional reactions during repeated food refusal.,Separating emotions from mealtime outcomes,Emotional detachment prevents negative food associations.,"Remind yourself that refusal is developmental, not personal.",['Stay emotionally neutral'],['Take refusal personally'],Food acceptance changes over time.
28-30,sleep,Respond calmly when bedtime is resisted.,Repeating bedtime limits without escalation,Calm repetition builds predictable sleep boundaries.,Restate bedtime expectations using the same calm phrase.,['Repeat calmly'],['Argue or negotiate'],Consistency beats intensity.
28-30,hygiene,Encourage cooperation during self-care routines.,Offering limited choices during hygiene tasks,Choices increase cooperation without losing structure.,Offer two acceptable options during hygiene routines.,['Limit choices'],['Overwhelm with options'],Choice within limits works.
28-30,behavior,Reduce escalation during defiant moments.,Lowering voice instead of raising it,A calm voice helps regulate toddler emotions.,Intentionally soften your voice during conflict.,['Speak softly'],['Raise your voice'],Calm voices calm brains.
28-30,language,Encourage expressive communication over gestures.,Prompting words before responding to gestures,Verbal prompts support language growth.,Pause and model the word before responding.,['Model words'],['Anticipate every need'],Words grow with opportunity.
28-30,cognitive,Support attention and persistence.,Encouraging task completion before switching activities,Completion builds focus and confidence.,Invite one last try before moving on.,['Encourage finishing'],['Interrupt quickly'],Completion builds confidence.
28-30,motor,Strengthen coordination through repetition.,Repeating movement skills during play,Repetition refines balance and control.,Repeat simple movements like jumping or climbing safely.,['Encourage repetition'],['Push difficulty too fast'],Repetition builds mastery.
28-30,social,Support awareness of others’ actions.,Drawing attention to peer behaviors,Noticing others supports early social understanding.,Narrate what peers are doing during play.,['Narrate calmly'],['Force interaction'],Observation comes first.
28-30,safety,Reduce risk-taking behaviors proactively.,Setting clear safety limits in advance,Clear limits reduce unsafe testing behaviors.,State safety rules before entering new spaces.,['State rules clearly'],['Wait for danger'],Rules work best before action.
28-30,independence,Encourage follow-through on simple responsibilities.,Completing tasks started by the child,Follow-through builds responsibility and confidence.,Gently guide the child to finish tasks begun.,['Encourage completion'],['Finish tasks for the child'],Finishing builds pride.
28-30,parent self-care & stress management,Prevent emotional escalation during repeated defiance.,Noticing rising tension early,Early awareness prevents reactive parenting.,Pause and mentally label your stress before responding.,['Notice body signals'],['Ignore mounting tension'],Early awareness changes outcomes.
28-30,parent self-care & stress management,Maintain calm during prolonged resistance phases.,Normalizing defiance as developmental,Understanding development reduces frustration.,Remind yourself this phase is temporary and expected.,['Reframe behavior'],['Personalize resistance'],Perspective protects patience.
28-30,parent self-care & stress management,Reduce emotional fatigue from constant corrections.,Choosing which behaviors to address,Selective responses conserve emotional energy.,Let minor behaviors pass when safety is not involved.,['Prioritize safety'],['Correct everything'],Not every moment needs correction.
28-30,parent self-care & stress management,Sustain emotional balance during long days.,Scheduling predictable self-recovery moments,Predictable recovery prevents burnout.,Block short recharge moments into daily routines.,['Plan recovery'],['Rely on willpower alone'],Planned rest is effective rest.
28-30,parent self-care & stress management,Seek help before reaching overwhelm.,Asking for support proactively,Support reduces isolation and stress.,Name one area where help would ease pressure.,['Reach out early'],['Wait until exhaustion'],Support is strength.
28-30,"parental teamwork, planning & consistency",Maintain united responses during defiant moments.,Backing agreed rules in front of the child,Visible unity strengthens boundaries.,"Support your partner’s decision publicly, discuss later.",['Show unity'],['Correct partner publicly'],Unity builds trust.
28-30,"parental teamwork, planning & consistency",Reduce confusion from mixed messages.,Using shared language for rules,Consistent wording reinforces understanding.,Agree on simple phrases for common rules.,['Use same phrases'],['Reword rules constantly'],"Same words, same rules."
28-30,"parental teamwork, planning & consistency",Prevent routine breakdowns during busy days.,Adjusting plans together when routines slip,Joint adjustments prevent blame and stress.,Briefly reset expectations together when days derail.,['Reset together'],['Assign fault'],Flexibility works best together.
28-30,"parental teamwork, planning & consistency",Keep daily caregiving aligned.,Confirming handoff expectations,Clear handoffs reduce miscommunication.,State what has been handled and what remains.,['Confirm clearly'],['Assume awareness'],Clear handoffs reduce friction.
28-30,"parental teamwork, planning & consistency",Maintain emotional connection during tough phases.,Checking in emotionally with each other,Emotional connection sustains teamwork.,Share one challenge and one win each day.,['Check in daily'],['Communicate only logistics'],Connection sustains consistency.
28-30,independence,Encourage self-initiation of tasks.,Inviting the child to start tasks independently,Initiation builds confidence and autonomy.,Ask the child to begin before offering help.,['Invite initiative'],['Start tasks for the child'],Starting matters.
28-30,behavior,Reduce power struggles during transitions.,Offering advance transition warnings,Warnings reduce emotional resistance.,Give a brief countdown before changes.,['Warn calmly'],['Transition abruptly'],Warnings ease change.
31-33,feeding,Encourage active participation in family meals.,Including the child in shared family meals,Family meals build social skills and healthy eating habits.,Seat the child at the table with the family during meals.,"['Eat together', 'Model table behavior']",['Feed separately by default'],Shared meals encourage imitation.
31-33,feeding,Reduce excessive sugar intake.,Limiting sugary snacks consistently,Lower sugar intake supports stable energy and dental health.,Offer fruit or savory snacks instead of sweets.,['Offer alternatives'],['Use sweets as rewards'],Consistency shapes preferences.
31-33,sleep,Maintain predictable sleep expectations.,Keeping bedtime rules consistent,Consistency reduces bedtime resistance.,Follow the same bedtime rules every night.,['Stick to timing'],['Negotiate bedtime often'],Predictability supports sleep.
31-33,hygiene,Build comfort with potty routines.,Establishing regular potty sitting times,Routine exposure builds readiness without pressure.,Invite the child to sit on the potty at set times.,['Keep it routine'],['Force success'],Routine comes before results.
31-33,hygiene,Support daily oral care habits.,Brushing teeth together daily,Daily brushing protects long-term dental health.,Brush together at the same time each day.,['Model brushing'],['Skip on busy days'],Daily habits last.
31-33,behavior,Help the child manage frustration calmly.,Coaching calm responses during frustration,Guided calming supports emotional regulation.,Name feelings and guide slow breathing.,['Stay calm'],['Dismiss feelings'],Calm is learned.
31-33,behavior,Encourage positive behaviors consistently.,Using positive reinforcement intentionally,Positive reinforcement strengthens desired behaviors.,Praise specific positive actions immediately.,['Be specific'],['Focus only on mistakes'],Praise shapes behavior.
31-33,language,Encourage early storytelling skills.,Inviting the child to retell simple stories,Storytelling supports language structure and memory.,Ask the child to describe pictures in a book.,['Prompt gently'],['Correct constantly'],Stories build language.
31-33,language,Expand expressive vocabulary.,Introducing new words during daily routines,Repeated exposure accelerates vocabulary growth.,Name and explain new words in context.,['Repeat often'],['Overwhelm with many words'],Context helps words stick.
31-33,cognitive,Build shape recognition skills.,Matching basic shapes during play,Shape matching supports visual discrimination.,Use shape sorters or household objects.,['Keep it playful'],['Rush completion'],Play builds thinking.
31-33,cognitive,Introduce early number awareness.,Recognizing numbers in everyday contexts,Early exposure builds foundational number sense.,"Point out numbers on books, doors, or objects during routines.",['Keep it casual'],['Expect counting accuracy'],Exposure matters more than correctness.
31-33,motor,Develop coordination through object play.,Practicing throwing and catching softly,Throwing and catching improve hand–eye coordination.,Use a soft ball and stand close during play.,['Model gently'],['Throw hard objects'],Soft play builds confidence.
31-33,motor,Strengthen fine and gross motor integration.,Building towers with blocks,"Stacking supports balance, planning, and coordination.",Encourage stacking blocks one by one.,['Encourage attempts'],['Fix structures constantly'],Collapse is part of learning.
31-33,social,Support early cooperative play skills.,Encouraging shared play with simple roles,Cooperative play builds social understanding.,Model taking turns during simple games.,['Guide gently'],['Force cooperation'],Guided play teaches sharing.
31-33,safety,Build basic awareness of unfamiliar people.,Introducing stranger awareness calmly,Early awareness supports personal safety.,Explain who is safe and who to check with an adult.,['Use calm language'],['Create fear'],Awareness without fear works best.
31-33,independence,Encourage self-care participation.,Assisting with dressing tasks,Dressing builds independence and coordination.,Let the child pull up clothes with guidance.,['Offer help patiently'],['Rush the process'],Effort matters more than speed.
31-33,independence,Promote responsibility for personal space.,Organizing toys after play,Organization builds responsibility and routine awareness.,Clean up together using simple categories.,['Make it playful'],['Clean alone'],Shared cleanup builds habits.
31-33,parent self-care & stress management,Manage fatigue from constant supervision.,Recognizing early signs of parental exhaustion,Early awareness prevents burnout.,Check in with your energy and patience levels daily.,['Self-check regularly'],['Ignore fatigue'],Awareness protects well-being.
31-33,parent self-care & stress management,Practice calm responses under pressure.,Lowering voice during stressful moments,Calm responses help regulate both parent and child.,Intentionally soften your voice before responding.,['Pause briefly'],['React immediately'],Calm models calm.
31-33,parent self-care & stress management,Prevent frustration from building over the day.,Releasing stress in short intervals,Regular release prevents emotional overload.,Take short breathing or movement breaks.,['Take micro-breaks'],['Suppress stress'],Small breaks matter.
31-33,parent self-care & stress management,Maintain mental well-being during demanding days.,Checking emotional state before reacting,Self-awareness reduces reactive parenting.,Pause briefly to notice emotions before responding.,['Pause intentionally'],['React automatically'],Awareness creates choice.
31-33,parent self-care & stress management,Sustain energy across long caregiving days.,Taking short personal breaks,Short breaks restore patience and focus.,Schedule brief rest moments when the child is safe.,['Accept rest'],['Push through exhaustion'],Rest is productive.
31-33,"parental teamwork, planning & consistency",Balance childcare and household responsibilities.,Sharing daily tasks intentionally,Balanced workloads reduce resentment and fatigue.,Agree on task distribution at the start of the day.,['Discuss roles'],['Assume roles'],Clarity prevents overload.
31-33,"parental teamwork, planning & consistency",Maintain consistent rules across caregivers.,Applying the same rules consistently,Consistency builds security and understanding.,Agree on rules and follow them together.,['Stay aligned'],['Change rules independently'],Consistency builds trust.
31-33,"parental teamwork, planning & consistency",Plan daily routines collaboratively.,Reviewing routines together,Shared planning prevents confusion and stress.,Briefly discuss routine flow once daily.,['Plan briefly'],['Skip planning'],Planning saves energy.
31-33,"parental teamwork, planning & consistency",Reinforce shared parenting goals.,Reminding each other of long-term goals,Shared goals guide consistent decisions.,Name shared goals during calm moments.,['Reaffirm goals'],['Focus only on problems'],Shared vision guides action.
31-33,"parental teamwork, planning & consistency",Communicate adjustments calmly during changes.,Discussing plan changes without blame,Calm communication preserves teamwork.,State changes neutrally and briefly.,['Stay neutral'],['Assign blame'],Tone matters.
