age_month,stage_name,development_goal,domain,skill,activity_idea
0,Sensory Foundation Stage,"Introduce baby to light, sound, and touch; build sensory awareness.",sensory_cognitive,Briefly follows a close face side-to-side,Hold your face 8–12 inches from baby and move slowly side-to-side so they can track your eyes and mouth.
0,Sensory Foundation Stage,Support safe startle reflex and calming strategies.,sensory_cognitive,Exhibits startle (Moro) reflex to sudden loud noises,"Avoid abrupt loud sounds; if startled, soothe with gentle holding and a calm voice until baby relaxes."
0,Sensory Foundation Stage,Reinforce familiarity through scent and touch.,sensory_cognitive,Calms more quickly to familiar caregiver scent and touch,Keep a soft cloth with parent's scent near baby at sleep or cuddle times to provide reassurance.
0,Sensory Foundation Stage,Encourage response to rhythmic sound and routine.,sensory_cognitive,Responds to rhythmic lullaby or soft humming,Sing or hum a simple lullaby consistently at naptime to build association and calmness.
0,Sensory Foundation Stage,Increase brief alertness to faces and expressions.,sensory_cognitive,Shows short periods of alert gaze toward human faces,"Spend a few minutes of quiet face-to-face time after feeding, using gentle expressions and slow smiles."
0,Sensory Foundation Stage,Introduce gentle temperature/pressure awareness for comfort.,sensory_cognitive,Responds to warm touch and gentle pressure,Warm your hands before holding and gently stroke arms or back to provide comforting tactile input.
0,Sensory Foundation Stage,Develop early horizontal tracking of high-contrast objects.,sensory_cognitive,Can track a slowly moving high-contrast object horizontally,Move a black-and-white card slowly left to right about 8–12 inches from the baby’s face.
0,Sensory Foundation Stage,Use caregiver voice to soothe and focus attention.,sensory_cognitive,May stop fussing or quiet when hearing caregiver’s voice,Speak or sing softly near baby when they are fussy and note calming or head-turning responses.
0,Sensory Foundation Stage,Promote sensory consistency through repeated exposure.,sensory_cognitive,Begins to expect familiar daily sounds,Keep a consistent background sound such as soft music or a gentle fan during naps to support sensory familiarity.
0,Sensory Foundation Stage,Build association between movement and sight.,sensory_cognitive,Visually follows rocking motion or moving mobile,Hang a simple high-contrast mobile and gently move it so baby can watch while lying on their back.
0,Sensory Foundation Stage,Support orientation to vertical vs. horizontal positions.,sensory_cognitive,Shows awareness of positional changes,"Hold baby upright briefly, then lay them back slowly to help them perceive different head positions safely."
0,Sensory Foundation Stage,Encourage connection between sound and emotion.,sensory_cognitive,Responds differently to happy vs. soothing tones,"Speak with varied emotions—smile while saying hello, then whisper soothingly to calm baby after feeding."
0,Sensory Foundation Stage,Introduce soft light–dark transitions to develop visual adaptation.,sensory_cognitive,Adjusts eyes to gradual changes in lighting,Open curtains slowly in the morning to let baby experience light changes while in your arms.
0,Sensory Foundation Stage,Encourage bilateral awareness through alternating stimuli.,sensory_cognitive,Turns head both left and right to sound,"Alternate gentle rattling on each side of baby’s head, giving time to respond before switching sides."
0,Sensory Foundation Stage,Support early awareness of gentle vibration.,sensory_cognitive,Notices mild vibration or rhythmic touch,"Let baby rest hand or foot lightly on a softly humming item, like a baby-safe vibrating toy, for brief exposure."
0,Sensory Foundation Stage,Promote calm sensory engagement through repetition.,sensory_cognitive,Shows comfort with repeated visual and sound cues,Repeat a short song and a slow hand movement together each day so baby starts to anticipate the rhythm.
0,Sensory Foundation Stage,Support natural reflexive movements.,motor,Makes spontaneous arm and leg movements,Lay baby on a soft blanket and let arms and legs move freely while observing.
0,Sensory Foundation Stage,Encourage grasp reflex.,motor,Grasps finger when placed in palm,"Place your finger gently in baby’s palm and let them hold briefly, offering gentle praise."
0,Sensory Foundation Stage,Support head orientation reflex.,motor,Turns head to one side when lying down,"During tummy or back position, gently rotate baby’s head to notice natural reflexive movement."
0,Sensory Foundation Stage,Promote leg kicking for muscle activation.,motor,Kicks legs spontaneously,"Lay baby on back and gently move legs together, observing natural kicking motions."
0,Sensory Foundation Stage,Support arm waving reflex.,motor,Moves arms reflexively,Observe baby lying on back; allow free arm movement without interference.
0,Sensory Foundation Stage,Introduce gentle tummy strengthening.,motor,Lifts head briefly during tummy time,Place baby on tummy for 1–2 minutes a few times a day with close supervision.
0,Sensory Foundation Stage,Support grasp awareness.,motor,Closes hand around objects,Offer a soft rattle for brief touch and observe reflexive grasping.
0,Sensory Foundation Stage,Encourage coordinated leg and arm movement.,motor,Moves arms and legs together,"During play on blanket, observe simultaneous limb movements without forcing position."
0,Sensory Foundation Stage,Promote head turning with visual stimuli.,motor,Turns head toward moving object,Hold a high-contrast toy 8–12 inches away and move slowly to either side.
0,Sensory Foundation Stage,Develop wrist and finger awareness.,motor,Opens and closes fingers reflexively,Gently stroke palm or touch fingertips to encourage natural opening and closing.
0,Sensory Foundation Stage,Promote kicking for muscle development.,motor,Lifts and stretches legs reflexively,Lay baby on back and gently move legs up and down while observing natural kicks.
0,Sensory Foundation Stage,Encourage arm coordination.,motor,Brings hands toward face,Allow baby to explore by letting hands float near mouth and eyes during tummy or back time.
0,Sensory Foundation Stage,Support reflexive grasp strength.,motor,Holds onto soft toy briefly,Place a soft cloth or toy in hand to observe natural gripping reflex.
0,Sensory Foundation Stage,Enhance head control gradually.,motor,Raises head slightly during brief tummy positioning,Place baby on tummy for 30–60 seconds at a time under close supervision to encourage lifting head.
0,Sensory Foundation Stage,Encourage kicking coordination with visual stimuli.,motor,Kicks legs in response to visual objects,Move a high-contrast toy above legs slowly to observe reflexive leg movement.
0,Sensory Foundation Stage,Support arm stretching reflex.,motor,Stretches arms upward reflexively,"During calm alert periods, let baby’s arms naturally reach upward without interference."
0,Sensory Foundation Stage,Promote spontaneous rolling motions.,motor,Turns slightly from back to side,Place baby on back and gently guide torso slightly to observe natural roll attempts.
0,Sensory Foundation Stage,Encourage tactile-motor exploration.,motor,Touches and moves fingers over soft textures,Place soft fabrics near hands and observe natural tactile exploration.
0,Sensory Foundation Stage,Support leg reflex integration.,motor,Bends and straightens legs reflexively,Lay baby on back and gently guide legs up and down to observe reflexive motion.
0,Sensory Foundation Stage,Encourage coordinated movement with caregiver interaction.,motor,Moves arms in response to touch or voice,Gently stroke arms while speaking softly and observe reflexive movement coordination.
0,Sensory Foundation Stage,Promote spontaneous limb movement.,motor,Moves arms and legs rhythmically during alert periods,Place baby on a soft surface and let limbs move freely while talking or singing.
0,Sensory Foundation Stage,Support early tactile feedback.,motor,Touches toys or objects placed nearby,Gently place a soft toy within reach and observe natural touching or batting reflex.
0,Sensory Foundation Stage,Encourage head and arm coordination.,motor,Lifts head slightly while moving arms,"During tummy time, allow baby to lift head while arms push gently against the floor."
0,Sensory Foundation Stage,Strengthen early leg movement.,motor,Kicks legs while lying on back,Observe spontaneous leg kicks and gently mimic rhythm with hands to engage.
0,Sensory Foundation Stage,Support early grasp and release reflex.,motor,Opens and closes hands with reflexive movement,Place finger or soft object in hand and let baby grasp and release naturally.
0,Sensory Foundation Stage,Promote coordination between limbs and gaze.,motor,Moves hands toward face while looking,Observe baby reaching hands toward mouth or eyes during calm alert state.
0,Sensory Foundation Stage,Encourage reflexive stretching.,motor,Stretches arms and legs reflexively,"During alert periods, observe natural stretching without interference."
0,Sensory Foundation Stage,Support early tummy engagement.,motor,Pushes briefly against surface during tummy time,Place baby on tummy and observe natural attempts to push with arms and lift head.
0,Sensory Foundation Stage,Enhance limb awareness.,motor,Brings hands together or to mouth,Observe baby touching hands together or exploring fingers with mouth during play.
0,Sensory Foundation Stage,Promote early interaction through movement.,motor,Moves arms and legs in response to caregiver,Gently touch or sway baby’s limbs while speaking softly and observe response.
0,Sensory Foundation Stage,Encourage natural reflexive hand movements.,motor,Swipes hands outward or upward reflexively,Observe baby’s spontaneous hand swipes during alert periods without interference.
0,Sensory Foundation Stage,Support early arm lifting.,motor,Lifts arms slightly when lying on back,Place baby on back and gently observe arm lifting as part of natural reflex.
0,Sensory Foundation Stage,Promote leg coordination and strength.,motor,Bends and stretches legs alternately,Observe natural alternating leg movements while baby is on back during play.
0,Sensory Foundation Stage,Encourage grasp with visual focus.,motor,Reaches for high-contrast objects,Hold a black-and-white toy slightly above baby’s hands and observe attempts to reach.
0,Sensory Foundation Stage,Support reflexive curling and stretching.,motor,Curls arms and legs inward reflexively,Observe natural curling and stretching during calm alert periods.
0,Sensory Foundation Stage,Enhance early arm-hand coordination.,motor,Brings hands together near chest,Observe baby’s hands coming together spontaneously during calm periods.
0,Sensory Foundation Stage,Promote visual-motor exploration.,motor,Moves arms while following objects visually,"Hold a toy and slowly move it in front of baby’s eyes, observe arm movements."
0,Sensory Foundation Stage,Encourage natural kicking reflex.,motor,Kicks legs rhythmically during alert or feeding times,Observe kicking reflex while baby lies on back or during diaper changes.
0,Sensory Foundation Stage,Support early head-arm coordination.,motor,Raises head slightly while moving arms,"During tummy time, notice if baby lifts head while arms push gently against surface."
0,Sensory Foundation Stage,Promote early movement exploration.,motor,Explores body movements freely,Allow baby periods of free movement on safe flat surfaces to observe natural limb exploration.
0,Sensory Foundation Stage,Encourage early recognition of caregiver voice.,language,Responds to mother's voice,Speak softly to the baby from a short distance and notice eye or head movement.
0,Sensory Foundation Stage,Support early auditory alertness.,language,Shows quiet alertness to new sounds,Introduce gentle sounds like soft bells or rattle and observe baby’s alert posture.
0,Sensory Foundation Stage,Encourage early vocal exploration.,language,Begins to coo or make vowel-like sounds,Talk or hum near the baby and notice if they respond with cooing or soft sounds.
0,Sensory Foundation Stage,Develop response to pitch and tone.,language,Changes facial expression with tone changes,Use high vs low gentle tones and watch for baby’s expression or head tilt.
0,Sensory Foundation Stage,Build early auditory focus.,language,Pauses briefly when hearing familiar words,Say the baby’s name softly and observe if they pause or turn toward the sound.
0,Sensory Foundation Stage,Encourage communication through sounds.,language,Responds with coos when spoken to,Talk directly to the baby and see if cooing increases.
0,Sensory Foundation Stage,Develop auditory discrimination.,language,Distinguishes between different caregiver voices,Play recordings of different familiar voices softly and observe reactions.
0,Sensory Foundation Stage,Encourage early language interaction.,language,Turns head or eyes toward sound source,Move a soft rattle slowly around baby’s head and watch for orientation.
0,Sensory Foundation Stage,Support early rhythm and sound recognition.,language,Responds to gentle humming or singing,Hum softly near the baby and notice alertness or cooing response.
0,Sensory Foundation Stage,Encourage early expressive vocal patterns.,language,Experiments with soft gurgling sounds,Provide calm interaction and observe spontaneous gurgling or cooing.
0,Sensory Foundation Stage,Develop secure attachment with caregiver.,emotional_social,Feels comfort when held,Hold baby close against your chest and gently rock or sway.
0,Sensory Foundation Stage,Encourage bonding through eye contact.,emotional_social,Recognizes caregiver’s face,"Hold baby in front of your face and smile softly, observing their gaze."
0,Sensory Foundation Stage,Support early emotional regulation.,emotional_social,Calms when touched gently,Place your hand softly on the baby’s back or chest to soothe.
0,Sensory Foundation Stage,Encourage early social responsiveness.,emotional_social,Smiles reflexively in response to caregiver,Talk or hum to the baby and notice if a reflexive smile appears.
0,Sensory Foundation Stage,Promote comfort in familiar presence.,emotional_social,Relaxes when hearing familiar voices,Speak softly to baby using familiar tone and watch for calming behavior.
0,Sensory Foundation Stage,Encourage early trust formation.,emotional_social,Responds positively to gentle rocking,Rock baby gently in your arms while humming a soothing tune.
0,Sensory Foundation Stage,Develop awareness of caregiver presence.,emotional_social,Turns head toward caregiver,Call baby’s name softly and observe head or eye movement toward you.
0,Sensory Foundation Stage,Promote calm in response to touch.,emotional_social,Sucks fingers or pacifier when comforted,Offer pacifier or gently guide fingers to mouth when baby is fussy.
0,Sensory Foundation Stage,Encourage early emotional interaction.,emotional_social,Shows startle or alert response to new stimuli,Gently introduce a new toy nearby and notice facial or body reaction.
0,Sensory Foundation Stage,Support bonding during routine care.,emotional_social,Responds to soothing during diaper change,Talk softly and smile while changing baby’s diaper to build positive associations.
0,Sensory Foundation Stage,Encourage recognition of familiar sounds.,emotional_social,Calms when hearing lullabies,Sing a soft lullaby during quiet time and notice calming response.
0,Sensory Foundation Stage,Promote early emotional feedback.,emotional_social,Cries differently for discomfort vs hunger,Observe baby's cry pattern and respond appropriately to meet needs.
0,Sensory Foundation Stage,Support early social cues.,emotional_social,Looks briefly at faces during interaction,Hold baby at eye level during talking or feeding to encourage gaze.
0,Sensory Foundation Stage,Encourage trust in caregiver routines.,emotional_social,Responds to consistent bedtime routine,Follow a predictable soothing routine before naps or nighttime sleep.
0,Sensory Foundation Stage,Promote early attachment.,emotional_social,Seeks eye contact with caregiver,"During feeding or holding, maintain gentle eye contact and smile softly."
0,Sensory Foundation Stage,Develop response to comfort gestures.,emotional_social,Relaxes when swaddled gently,Swaddle baby securely and observe calming effect.
0,Sensory Foundation Stage,Encourage awareness of caregiver presence.,emotional_social,Follows caregiver’s voice with eyes or head,Move gently in front of baby while speaking softly and notice response.
0,Sensory Foundation Stage,Support emotional connection during care.,emotional_social,Shows calm after diaper or feeding routine,"Maintain gentle touch, eye contact, and soothing voice throughout routines."
0,Sensory Foundation Stage,Encourage early enjoyment of interaction.,emotional_social,Responds with coos or small sounds when smiled at,Smile or make gentle noises at baby and notice response.
0,Sensory Foundation Stage,Develop comfort with caregiver’s presence.,emotional_social,Relaxes when held upright against caregiver,Hold baby upright against chest and gently pat or sway for soothing.
0,Sensory Foundation Stage,Introduce visual contrast for sensory stimulation.,montessori_creative,Observes black-and-white patterns,Place high-contrast cards 8–10 inches from baby’s eyes for a few seconds.
0,Sensory Foundation Stage,Encourage tactile exploration.,montessori_creative,Feels soft fabrics,"Gently let baby touch cotton, silk, or soft cloth during play."
0,Sensory Foundation Stage,Stimulate auditory awareness.,montessori_creative,Responds to gentle chimes,"Shake a soft chime slowly near baby, pausing to observe response."
0,Sensory Foundation Stage,Promote rhythmic listening and comfort.,montessori_creative,Enjoys gentle lullabies,Sing or hum simple lullabies during calm time or before sleep.
0,Sensory Foundation Stage,Encourage early visual tracking.,montessori_creative,Follows moving black-and-white mobiles,Move a mobile slowly above crib while maintaining baby’s attention.
0,Sensory Foundation Stage,Support visual and tactile coordination.,montessori_creative,Touches soft textured toys,Present soft plush toys with varied textures during play.
0,Sensory Foundation Stage,Introduce sensory rhythm play.,montessori_creative,Responds to gentle tapping on rattle,Tap a soft rattle lightly and observe baby’s head or hand movement.
0,Sensory Foundation Stage,Encourage curiosity in sight and sound.,montessori_creative,Looks at reflective or shiny objects,Hold a safe mirror or metallic toy 8–10 inches from baby to watch response.
0,Sensory Foundation Stage,Stimulate auditory and visual attention.,montessori_creative,Turns head toward rhythmic humming,Hum gently on one side of baby while slowly moving hand in visual field.
0,Sensory Foundation Stage,Promote gentle exploration through play.,montessori_creative,Touches and grasps soft rattles,Place soft rattles near hands and encourage gentle grasping.
1,Awareness And Connection Stage,Encourage visual focus and recognition.,sensory_cognitive,Tracks high-contrast patterns for a few seconds,Hold a black-and-white card 8–10 inches from baby and slowly move it side to side.
1,Awareness And Connection Stage,Differentiate between familiar voices.,sensory_cognitive,Begins to recognize caregiver’s voice,"Speak softly near baby’s ear, pause, and notice if baby turns head or calms down."
1,Awareness And Connection Stage,Increase interest in new stimuli.,sensory_cognitive,Shows curiosity toward new light or sound,Gently introduce a new soft toy with a light color or sound and observe reaction.
1,Awareness And Connection Stage,Encourage auditory tracking.,sensory_cognitive,Turns head toward soft sounds,"Rattle gently near the left side, then right, giving baby time to respond."
1,Awareness And Connection Stage,Promote recognition of familiar people.,sensory_cognitive,Recognizes mother or father visually,Hold baby and let them look at caregiver’s face from 6–8 inches away.
1,Awareness And Connection Stage,Support visual engagement with objects.,sensory_cognitive,Looks at slow-moving objects,Move a small toy slowly in front of baby for eye tracking practice.
1,Awareness And Connection Stage,Introduce texture exploration.,sensory_cognitive,Touches soft fabrics or rattles,Gently place different soft materials in baby’s hand and let them explore.
1,Awareness And Connection Stage,Encourage attention span development.,sensory_cognitive,Maintains gaze briefly on familiar object,Show a small toy or card for a few seconds while speaking softly.
1,Awareness And Connection Stage,Build auditory and visual coordination.,sensory_cognitive,Responds to combination of sight and sound,Shake a soft rattle while showing a black-and-white card.
1,Awareness And Connection Stage,Support early sensory differentiation.,sensory_cognitive,Shows different reactions to gentle vs. louder sounds,"Alternate between soft humming and gentle bell, noting response."
1,Awareness And Connection Stage,Encourage recognition of contrasts.,sensory_cognitive,Focuses on high-contrast objects for a few seconds,Show a black-and-white striped card close to the baby for brief periods.
1,Awareness And Connection Stage,Stimulate auditory awareness.,sensory_cognitive,Turns head toward familiar sounds,Call baby’s name softly from different angles and observe response.
1,Awareness And Connection Stage,Develop visual tracking skills.,sensory_cognitive,Follows slow-moving toy with eyes,Move a soft rattle slowly left to right in front of baby’s face.
1,Awareness And Connection Stage,Encourage tactile exploration.,sensory_cognitive,Touches soft and textured toys,Place a soft cloth and a textured toy in baby’s hand one at a time.
1,Awareness And Connection Stage,Build sensory association.,sensory_cognitive,Associates parent’s voice with comfort,Speak gently during feeding and note calming effect on baby.
1,Awareness And Connection Stage,Support early visual curiosity.,sensory_cognitive,Looks at moving shapes or mobiles,Hang a simple mobile above crib and gently move it side to side.
1,Awareness And Connection Stage,Encourage auditory tracking and focus.,sensory_cognitive,Turns toward soft music or lullabies,Play gentle lullaby and observe if baby turns head or calms.
1,Awareness And Connection Stage,Enhance recognition of caregiver cues.,sensory_cognitive,Responds to gentle touch while observing caregiver,Stroke baby’s hand or cheek while maintaining eye contact.
1,Awareness And Connection Stage,Encourage focus on small details.,sensory_cognitive,Observes small objects or contrasting shapes,Place small black-and-white shapes near baby’s hands and eyes.
1,Awareness And Connection Stage,Promote gentle sensory stimulation.,sensory_cognitive,Reacts differently to soft humming vs. rattle sound,"Alternate soft humming and gentle rattle play, noting baby’s response."
1,Awareness And Connection Stage,Strengthen neck muscles.,motor,Lifts head briefly during tummy time,"Place baby on tummy for short periods, encouraging head lift to look around."
1,Awareness And Connection Stage,Encourage hand movement and grasping.,motor,Opens and closes hands slowly,Gently place toys or soft cloth near hands to encourage grasping motions.
1,Awareness And Connection Stage,Improve limb coordination.,motor,Moves arms and legs with more control,Observe and gently stimulate arm and leg movements during playtime.
1,Awareness And Connection Stage,Promote reflex development.,motor,Shows stepping reflex when feet touch flat surface,Place baby’s feet on a soft surface and observe natural stepping motions.
1,Awareness And Connection Stage,Encourage midline awareness.,motor,Brings hands close to mouth,Place hands gently near face and let baby explore by bringing them to mouth.
1,Awareness And Connection Stage,Support leg strength.,motor,Kicks legs rhythmically,Place baby on a soft surface and encourage kicking by moving feet gently.
1,Awareness And Connection Stage,Enhance tummy time endurance.,motor,Raises chest slightly while on tummy,Support baby’s chest with a rolled towel and encourage head lifting.
1,Awareness And Connection Stage,Improve hand-eye coordination.,motor,Reaches toward soft toys,Place soft toys within reach and observe attempts to touch or grasp them.
1,Awareness And Connection Stage,Encourage gentle body stretching.,motor,Stretches arms and legs while lying on back,Gently move baby’s arms and legs to encourage full extension and movement.
1,Awareness And Connection Stage,Promote safe reflexive movements.,motor,Exhibits startle reflex to sudden sounds,"Observe natural startle reflex; ensure baby is in a safe, cushioned environment."
1,Awareness And Connection Stage,Encourage gentle rolling motions.,motor,Turns head from side to side while on tummy,Place baby on tummy and gently move a toy to each side to encourage head turning.
1,Awareness And Connection Stage,Support hand-to-mouth coordination.,motor,Brings hands to mouth reflexively,Observe and gently guide baby’s hands to the mouth to encourage exploration.
1,Awareness And Connection Stage,Encourage stretching and flexing.,motor,Flexes and extends legs while lying on back,Gently move baby’s legs in a cycling motion to promote flexibility.
1,Awareness And Connection Stage,Promote arm lifting strength.,motor,Raises arms briefly while on tummy,Support baby under chest and encourage them to push up slightly with arms.
1,Awareness And Connection Stage,Enhance spontaneous kicking.,motor,Kicks legs alternately,Lay baby on back and watch for natural alternating leg kicks during playtime.
1,Awareness And Connection Stage,Develop gentle grasp reflex.,motor,Closes hand around finger or small object,Place your finger in baby’s palm and allow them to hold briefly.
1,Awareness And Connection Stage,Encourage head and neck control.,motor,Lifts head slightly when supported upright,Hold baby under arms and chest in a supported upright position for short periods.
1,Awareness And Connection Stage,Strengthen hand flexion and release.,motor,Opens and closes fists rhythmically,Gently tap or rub baby’s palms to encourage opening and closing of fists.
1,Awareness And Connection Stage,Promote gentle trunk movements.,motor,Rolls slightly to one side when lying down,Assist baby in rolling by guiding hips gently to one side on a soft surface.
1,Awareness And Connection Stage,Support coordinated limb movements.,motor,Moves arms and legs together in response to touch,Gently stroke or hold baby’s hands and feet to encourage coordinated movement.
1,Awareness And Connection Stage,Encourage cooing and vocal exploration.,language,Makes soft cooing sounds,Talk gently to baby and pause to listen for coos in response.
1,Awareness And Connection Stage,Promote auditory recognition.,language,Turns head toward familiar voices,Call baby’s name softly from different sides and observe head turning.
1,Awareness And Connection Stage,Stimulate early sound imitation.,language,Attempts to imitate simple vowel sounds,Make sounds like 'ah' or 'oo' and pause for baby to respond or mimic.
1,Awareness And Connection Stage,Develop sensitivity to speech tone.,language,Reacts differently to soft vs. loud voice,"Use gentle voice for lullabies and slightly louder tone for attention, observing reactions."
1,Awareness And Connection Stage,Encourage attention to rhythmic sounds.,language,Listens to rhythmic patterns in speech,Sing short nursery rhymes or chant simple rhythms while holding baby.
1,Awareness And Connection Stage,Foster early turn-taking communication.,language,Pauses and coos in response to caregiver sounds,"Speak slowly, giving baby time to vocalize back before continuing."
1,Awareness And Connection Stage,Encourage recognition of repeated words.,language,Shows calm or attentive response to repeated words,Say the baby’s name or 'mama/dada' consistently while observing attention or cooing.
1,Awareness And Connection Stage,Promote early listening skills.,language,Responds to sudden soft sounds,Gently shake a soft rattle and notice if baby quiets or looks toward it.
1,Awareness And Connection Stage,Encourage engagement through song.,language,Shows alertness during singing,"Sing short, repetitive lullabies while maintaining eye contact."
1,Awareness And Connection Stage,Support recognition of caregiver speech patterns.,language,Turns toward familiar cadence or rhythm in voice,Read or speak in a gentle rhythm repeatedly to help baby notice patterns.
1,Awareness And Connection Stage,Encourage early attention to spoken words.,language,Looks toward voice when spoken to,Call the baby’s name softly from different positions and watch for head turning.
1,Awareness And Connection Stage,Promote early vocal response.,language,Makes gentle vowel sounds when addressed,Speak in soft tones and pause to let the baby coo back.
1,Awareness And Connection Stage,Stimulate listening and recognition.,language,Pauses or quiets when familiar voice is heard,"Use familiar caregiver voice to call baby or talk softly, observing reaction."
1,Awareness And Connection Stage,Encourage sound imitation attempts.,language,Tries to copy simple sounds like 'ah' or 'ee',Repeat vowel sounds slowly and allow baby time to respond.
1,Awareness And Connection Stage,Foster sensitivity to tone changes.,language,Reacts differently to high vs. low voice tones,Speak in varying pitches and notice baby’s alertness or calming behavior.
1,Awareness And Connection Stage,Promote early rhythm recognition in speech.,language,Responds to repetitive rhythms in speech,Recite simple rhymes or repetitive words and observe baby’s reaction.
1,Awareness And Connection Stage,Support cooing during interaction.,language,Cooing increases with caregiver engagement,Talk or sing directly to baby and encourage interaction pauses.
1,Awareness And Connection Stage,Encourage attention to speech patterns.,language,Turns eyes or head to changing speech sounds,"Vary pitch and speed of words while interacting, observing responses."
1,Awareness And Connection Stage,Introduce early conversational cues.,language,Pauses or coos after caregiver pauses,Speak slowly and leave a short gap to encourage baby’s vocal response.
1,Awareness And Connection Stage,Encourage recognition of repeated sounds.,language,Shows attention when hearing repeated words or phrases,Repeat simple sounds or names in a calm voice and notice reactions.
1,Awareness And Connection Stage,Foster early bonding and attachment.,emotional_social,Smiles subtly in response to caregiver,"Hold baby close and make gentle eye contact, observing early social smiles."
1,Awareness And Connection Stage,Promote comfort through familiar touch.,emotional_social,Calms when held or rocked gently,"Cradle baby and rock softly, noting relaxation and contentment."
1,Awareness And Connection Stage,Encourage recognition of familiar faces.,emotional_social,Looks at caregiver with focused gaze,Place baby in caregiver’s arms and observe attentive eye contact.
1,Awareness And Connection Stage,Develop response to gentle vocal tones.,emotional_social,Shows calmness when hearing soft voices,Speak or hum softly and observe baby's relaxation or cooing.
1,Awareness And Connection Stage,Encourage early social engagement.,emotional_social,Briefly gazes at caregiver’s facial expressions,Smile and change expressions slowly while holding baby to notice reaction.
1,Awareness And Connection Stage,Support recognition of comforting routines.,emotional_social,Calms during familiar feeding or nap routine,"Maintain consistent routines, noting relaxation and positive responses."
1,Awareness And Connection Stage,Promote early tactile comfort.,emotional_social,Relaxes when gently stroked or held,Stroke baby’s arms or back gently during play or after feeding.
1,Awareness And Connection Stage,Encourage awareness of caregiver presence.,emotional_social,Looks around when caregiver enters room,Enter room quietly and observe baby’s attention and facial focus.
1,Awareness And Connection Stage,Foster response to soothing interaction.,emotional_social,Relaxes when parent sings or hums,Sing softly during diaper change or feeding and notice calming effects.
1,Awareness And Connection Stage,Build early social-emotional understanding.,emotional_social,Shows brief enjoyment in gentle play,Play simple peek-a-boo or gentle hand movements while observing reactions.
1,Awareness And Connection Stage,Encourage early responsiveness to caregiver.,emotional_social,Turns head toward familiar voice,Speak softly from one side and watch if baby turns their head toward you.
1,Awareness And Connection Stage,Promote early bonding through gentle touch.,emotional_social,Relaxes when hand is held,"Hold baby’s hand during feeding or play, observing calmness."
1,Awareness And Connection Stage,Foster awareness of caregiver presence.,emotional_social,Looks briefly at caregiver when approached,Move into baby’s view and observe recognition and attention.
1,Awareness And Connection Stage,Encourage comfort with familiar surroundings.,emotional_social,Stays calm when in a familiar room,Place baby in their usual sleeping or play area and note calmness.
1,Awareness And Connection Stage,Promote early emotional mirroring.,emotional_social,Responds with subtle facial expressions,Smile gently or make soft expressions and watch baby mimic or respond.
