age_month_range,domain,activity,goal,materials_needed,difficulty_level,duration_minutes,indoor_outdoor
24-26,cognitive / thinking,Sort blocks by color and shape together,Combine multiple categorization skills,['Colored shape blocks'],medium,7,indoor
24-26,cognitive / thinking,Identify the odd one out among objects,Develop critical thinking and observation,"['Blocks, toys, or cards with shapes/colors']",medium,8,indoor
24-26,cognitive / thinking,Stack 3–4 blocks to make a tower,Understand cause-effect of block stacking,['Blocks'],easy,5,indoor
24-26,cognitive / thinking,Sort fruits and vegetables by type,Learn grouping and categorization skills,['Toy or real fruits/vegetables'],medium,8,indoor
24-26,cognitive / thinking,"Match objects by texture (soft, hard, smooth)",Develop sensory discrimination and observation skills,['Textured toys or fabrics'],medium,7,indoor
24-26,cognitive / thinking,Complete 3-piece animal puzzles,Enhance problem-solving and shape recognition,['3-piece animal puzzles'],medium,8,indoor
24-26,cognitive / thinking,Identify and sort toys by function (vehicles vs animals),Develop categorization and critical thinking,['Toy cars and toy animals'],medium,7,indoor
24-26,cognitive / thinking,"Build simple shape towers (square, circle, triangle)",Learn shapes and sequencing,['Shape blocks'],medium,6,indoor
24-26,cognitive / thinking,"Sort blocks by size (small, medium, large)",Understand size differences and classification,['Blocks of different sizes'],easy,5,indoor
24-26,cognitive / thinking,Find the matching shape pairs from cards,Develop recognition and memory skills,['Shape cards'],medium,7,indoor
24-26,cognitive / thinking,Identify hidden objects under cloth,Enhance object permanence understanding,"['Small toys, cloth']",medium,6,indoor
24-26,cognitive / thinking,Sort shapes by color and type,Combine color and shape recognition,['Colored shape blocks or cards'],medium,7,indoor
24-26,cognitive / thinking,Stack rings in order from largest to smallest,Practice sequencing and fine motor skills,['Stacking rings'],easy,5,indoor
24-26,cognitive / thinking,Group toy cars by color,Learn classification and visual discrimination,['Toy cars of different colors'],easy,6,indoor
24-26,cognitive / thinking,Match objects by weight using hands,Develop tactile discrimination and logical thinking,"['Small blocks, toys of different weights']",medium,7,indoor
24-26,cognitive / thinking,Complete 4-piece puzzles,Improve problem-solving and memory skills,['4-piece puzzles'],medium,8,indoor
24-26,cognitive / thinking,Sort different toy animals by size,Learn size comparison and classification,['Toy animals of different sizes'],medium,6,indoor
24-26,cognitive / thinking,Group fruits and vegetables by color,Practice categorization and color recognition,['Toy fruits/vegetables or real ones'],medium,6,indoor
24-26,cognitive / thinking,Stack cups to make a tower and observe it fall,Learn cause-effect relationship,['Plastic cups'],easy,5,indoor
24-26,cognitive / thinking,Identify which object does not belong in a group,Enhance critical thinking and observation,"['Blocks, toys, or cards']",medium,7,indoor
24-26,cognitive / thinking,"Sort toy vehicles by type (car, truck, bike)",Develop categorization and observation skills,['Toy vehicles'],medium,6,indoor
24-26,cognitive / thinking,Complete simple pattern sequences with blocks,Learn pattern recognition and sequencing,['Colored blocks or shapes'],medium,7,indoor
24-26,cognitive / thinking,Match cards with pictures of objects to real objects,Develop memory and recognition skills,"['Picture cards, small toys']",medium,8,indoor
24-26,cognitive / thinking,Stack 5 small blocks in order,Improve fine motor skills and sequencing,['Small blocks'],medium,6,indoor
24-26,cognitive / thinking,Sort large and small toy blocks into separate piles,Practice size differentiation and categorization,['Toy blocks of different sizes'],medium,6,indoor
24-26,cognitive / thinking,Match animal figurines with their shadows on cards,Develop visual discrimination and recognition,"['Animal figurines, shadow cards']",medium,7,indoor
24-26,cognitive / thinking,Identify which object is missing from a small group,Enhance memory and observation skills,['Small toys or blocks'],medium,7,indoor
24-26,cognitive / thinking,Stack toy rings in alternating colors,Practice sequencing and color recognition,['Stacking rings'],medium,6,indoor
24-26,cognitive / thinking,"Group small objects by texture (smooth, rough)",Enhance sensory exploration and classification,['Various textured toys or fabrics'],medium,7,indoor
24-26,cognitive / thinking,Sort colored blocks into matching colored trays,Develop color recognition and categorization skills,"['Colored blocks, colored trays']",easy,5,indoor
24-26,cognitive / thinking,Match pictures of objects to real toys,Build memory and recognition skills,"['Picture cards, small toys']",medium,7,indoor
24-26,cognitive / thinking,Stack 3–4 toy blocks of different shapes,Practice sequencing and shape recognition,['Blocks of different shapes'],medium,6,indoor
24-26,cognitive / thinking,"Sort everyday objects by size (small, medium, large)",Learn comparison and categorization skills,['Household items of different sizes'],medium,7,indoor
24-26,cognitive / thinking,Match colored cups to corresponding colored plates,Enhance color recognition and matching skills,['Colored cups and plates'],easy,5,indoor
24-26,cognitive / thinking,"Sort toy food items by type (fruits, vegetables, grains)",Develop categorization and observation skills,['Toy food items'],medium,6,indoor
24-26,language / communication,Use 2–3 word sentences to describe daily activities,Develop sentence formation and verbal expression,['None – everyday situations'],easy,10,both
24-26,language / communication,Name common objects in the room,Expand vocabulary and object recognition,['Household objects'],easy,8,indoor
24-26,language / communication,Ask simple 'what' questions about toys,Encourage curiosity and question formation,['Toys'],easy,7,indoor
24-26,language / communication,Sing simple rhymes together,"Enhance vocabulary, rhythm, and memory",['Nursery rhymes or songs'],easy,5,both
24-26,language / communication,Point and name colors in toys,Learn color recognition and naming,['Colored toys'],easy,6,indoor
24-26,language / communication,Repeat simple words after an adult,Practice pronunciation and word repetition,['None'],easy,7,both
24-26,language / communication,Name animals from picture cards,Increase vocabulary and animal recognition,['Animal picture cards'],medium,8,indoor
24-26,language / communication,Answer simple 'where' questions,Develop understanding of location words,['Toys or objects around the child'],medium,7,indoor
24-26,language / communication,Listen and respond to short stories,Improve listening comprehension and response,['Picture books or short stories'],medium,10,indoor
24-26,language / communication,"Use action words in sentences (run, jump, eat)",Develop verbs and sentence building,['None – during play activities'],medium,8,both
24-26,language / communication,Repeat short rhymes with gestures,"Combine memory, rhythm, and body language",['Nursery rhymes'],medium,6,both
24-26,language / communication,Name parts of the body,Learn body parts vocabulary,['None – during play or songs'],easy,5,both
24-26,language / communication,Point to familiar objects when asked 'what is this?',Practice object recognition and word association,['Common household objects'],easy,6,indoor
24-26,language / communication,Ask for favorite toys using 2–3 words,Encourage sentence formation and preference expression,['Child’s toys'],medium,7,indoor
24-26,language / communication,Match picture cards to spoken words,Develop listening skills and word association,['Picture cards'],medium,8,indoor
24-26,language / communication,Repeat simple questions and give short answers,Practice conversation and comprehension,['None'],medium,7,both
24-26,language / communication,Sing familiar songs and encourage clapping,"Develop rhythm, memory, and speech",['Nursery rhymes or songs'],easy,6,both
24-26,language / communication,Use 2–3 word sentences to describe pictures,Enhance vocabulary and descriptive skills,['Picture books or flashcards'],medium,8,indoor
24-26,language / communication,Ask simple 'where' questions during play,Develop location awareness and question usage,['Toys or household objects'],medium,7,indoor
24-26,language / communication,Name favorite food items,Increase vocabulary and expressive skills,['Toy food items or real food'],medium,6,indoor
24-26,language / communication,Describe favorite toy using 2–3 words,Enhance vocabulary and sentence formation,['Child’s toys'],medium,7,indoor
24-26,language / communication,Repeat short phrases from storybooks,"Improve memory, comprehension, and pronunciation",['Storybooks with simple sentences'],medium,8,indoor
24-26,language / communication,Ask 'what is this?' about toys and objects,Encourage curiosity and word usage,['Toys and household objects'],easy,7,indoor
24-26,language / communication,Listen and point to objects named by adult,Develop listening comprehension and object recognition,['Household objects or toys'],easy,6,indoor
24-26,language / communication,Name actions in picture books,Learn verbs and action words,['Picture books showing actions'],medium,8,indoor
24-26,language / communication,Repeat simple rhyming words,Develop phonemic awareness and memory,['Nursery rhymes or rhyming cards'],medium,7,both
24-26,language / communication,Use short sentences to describe daily routine,Encourage self-expression and sentence building,['Daily routine items'],medium,10,both
24-26,language / communication,Identify and name familiar animals,Increase vocabulary and animal recognition,['Animal toys or cards'],medium,8,indoor
24-26,language / communication,Answer 'where is…?' questions during play,Practice location words and comprehension,['Toys or household items'],medium,7,indoor
24-26,language / communication,Ask for help using short phrases,Encourage communication for needs,['Toys or objects needing assistance'],medium,6,both
24-26,language / communication,Name colors of common objects,Enhance color recognition and vocabulary,['Colored toys or household objects'],easy,6,indoor
24-26,language / communication,Repeat simple action words demonstrated by adult,Develop verb vocabulary and comprehension,['None – during play'],medium,7,both
24-26,language / communication,Describe feelings using 2–3 words,Encourage emotional expression through language,['Emotions flashcards or toys'],medium,6,both
24-26,language / communication,Repeat short questions and give one-word answers,Practice comprehension and responsive language,['None'],easy,6,both
24-26,language / communication,Name objects in a group when asked 'which one?',Develop recognition and vocabulary,['Toys or household objects'],medium,7,indoor
24-26,language / communication,Answer simple yes/no questions,Practice comprehension and decision-making,['None'],easy,5,both
24-26,language / communication,Sing action rhymes and mimic gestures,"Enhance language, memory, and motor coordination",['Nursery rhymes'],medium,6,both
24-26,language / communication,Ask 'what is this?' for new objects in environment,Encourage curiosity and language use,['Household objects or toys'],medium,7,indoor
24-26,language / communication,Describe a toy's color and size in short sentence,Develop descriptive language and observation skills,['Toys of different colors and sizes'],medium,8,indoor
24-26,language / communication,Repeat short phrases after listening to a story,"Practice memory, comprehension, and speech",['Short storybooks or picture books'],medium,8,indoor
24-26,language / communication,Name favorite toys in 2–3 word sentences,Encourage vocabulary growth and sentence formation,['Child’s toys'],medium,7,indoor
24-26,language / communication,Ask 'what is this?' for familiar objects,Practice question formation and curiosity,['Household objects'],easy,6,indoor
24-26,language / communication,Repeat short rhyming words with adult,Develop phonemic awareness and memory,['Nursery rhymes or rhyming cards'],medium,6,both
24-26,language / communication,Answer 'where is…?' questions during play,Enhance understanding of location words,['Toys or household items'],medium,7,indoor
24-26,language / communication,Use short sentences to describe pictures,Practice descriptive language and vocabulary,['Picture books or flashcards'],medium,8,indoor
24-26,language / communication,Repeat simple words demonstrated by adult,Improve pronunciation and word recognition,['None'],medium,6,both
24-26,language / communication,Ask for favorite foods using short phrases,Encourage sentence formation and preference expression,['Toy or real food items'],medium,6,indoor
24-26,language / communication,Name body parts when pointed at,Increase vocabulary for body awareness,['None'],easy,5,both
24-26,language / communication,Answer simple yes/no questions,Develop comprehension and decision-making,['None'],easy,5,both
24-26,language / communication,Sing simple songs and perform gestures,"Enhance memory, rhythm, and expressive language",['Nursery rhymes or songs'],medium,6,both
24-26,language / communication,Describe actions in short sentences during play,Encourage expressive language and observation skills,['Toys or play scenarios'],medium,7,indoor
24-26,social and emotional,Comfort a friend or family member when upset,Develop empathy and caring behavior,['None'],medium,5,both
24-26,social and emotional,Participate in parallel play with other children,Encourage social awareness and cooperation,['Toys for individual play'],medium,10,both
24-26,social and emotional,Express feelings using simple words or gestures,Enhance emotional expression and communication,['Emotion flashcards or toys'],medium,6,both
24-26,social and emotional,Show excitement or joy during play,Recognize and express positive emotions,['Favorite toys or activities'],easy,5,both
24-26,social and emotional,Observe others’ reactions and copy appropriate responses,Develop social awareness and learning by imitation,['Peers or family members'],medium,8,both
24-26,social and emotional,Show frustration when unable to complete a task,Understand and express emotions appropriately,['Simple puzzles or tasks'],medium,6,both
24-26,social and emotional,Take turns during simple games with guidance,Develop early sharing and cooperation skills,['Toys or simple turn-taking games'],medium,8,both
24-26,social and emotional,Show pride after completing a task,Encourage self-confidence and achievement recognition,"['Puzzles, blocks, or drawing activities']",medium,7,both
24-26,social and emotional,Mimic facial expressions of others,Develop emotional recognition and empathy,['Mirror or observing peers/adults'],easy,5,both
24-26,social and emotional,Offer favorite toy to a friend or sibling,Practice sharing and social interaction,['Child’s favorite toy'],medium,6,both
24-26,social and emotional,Express discomfort when something is unwanted,Communicate feelings and preferences,['Any situation where child can refuse politely'],medium,5,both
24-26,social and emotional,Show interest in other children’s activities,Encourage observational learning and social engagement,['Peers playing nearby'],medium,8,both
24-26,social and emotional,Laugh or smile in response to playful actions,Recognize and respond to positive social cues,['Playful interaction with adults or peers'],easy,5,both
24-26,social and emotional,Show concern when someone is hurt,Develop empathy and caring behavior,['Simulated minor situations or role-play'],medium,6,both
24-26,social and emotional,"Follow simple social routines (greeting, waving)",Learn social etiquette and interaction norms,['Family members or peers'],medium,5,both
24-26,social and emotional,React appropriately to praise,Understand positive reinforcement and self-esteem,['Adult guidance and encouragement'],medium,5,both
24-26,social and emotional,Engage in simple cooperative play (building blocks together),Practice teamwork and social cooperation,['Blocks or building toys'],medium,10,both
24-26,social and emotional,Show excitement when invited to join activities,Encourage social participation and responsiveness,['Games or group play activities'],easy,6,both
24-26,social and emotional,Express preferences for toys or activities,Communicate choices and independence,['Toys or activity options'],medium,6,both
24-26,social and emotional,Identify own emotions using simple words,Develop emotional intelligence and self-awareness,['Emotion flashcards or mirrors'],medium,7,both
24-26,social and emotional,Take turns with a sibling or friend during simple play,Practice sharing and patience,['Toys suitable for turn-taking'],medium,8,both
24-26,social and emotional,React with empathy when someone is sad,Develop understanding and empathy,['Role-play scenarios or storytelling'],medium,6,both
24-26,social and emotional,Invite another child to play together,Encourage social interaction and cooperation,['Toys for joint play'],medium,8,both
24-26,social and emotional,Express happiness by clapping or smiling,Recognize and express positive emotions,['Favorite activities or toys'],easy,5,both
24-26,social and emotional,Comfort dolls or stuffed animals,Practice empathy and caring behavior,['Dolls or stuffed animals'],medium,6,indoor
24-26,social and emotional,Follow simple social cues from adults,Learn appropriate social behavior,['Adults or older children demonstrating cues'],medium,7,both
24-26,social and emotional,Share toys spontaneously with friends or siblings,Reinforce social sharing skills,['Toys for sharing'],medium,8,both
24-26,social and emotional,Express frustration verbally or through gestures,Develop emotional expression and coping skills,['Tasks or toys that require effort'],medium,6,both
24-26,social and emotional,Notice and comment on others’ emotions,Increase empathy and social awareness,['Peers or adults showing expressions'],medium,7,both
24-26,social and emotional,Smile or wave to familiar people,Practice social greetings and engagement,['Family members or peers'],easy,5,both
24-26,social and emotional,Ask for help politely,Develop communication and social manners,['Tasks needing assistance'],medium,6,both
24-26,social and emotional,Join group activities when invited,Encourage participation and social integration,['Group games or play activities'],medium,8,both
24-26,social and emotional,Help tidy up toys after play,Promote responsibility and cooperative behavior,['Toys and storage space'],medium,6,both
24-26,social and emotional,Offer comfort verbally or with hug,Reinforce empathy and caring behavior,"['Peers, family members, or dolls']",medium,6,both
24-26,social and emotional,Express preference for activities or toys,Encourage independence and decision-making,['Toys or play options'],medium,6,both
24-26,social and emotional,React to praise with smile or nod,Reinforce self-esteem and recognition,['Adult guidance and encouragement'],medium,5,both
24-26,social and emotional,Express feelings of excitement during play,Recognize and express positive emotions,['Toys or games'],easy,5,both
24-26,social and emotional,Engage in cooperative building activities,Practice teamwork and social cooperation,['Blocks or building sets'],medium,10,both
24-26,social and emotional,Observe and mimic simple gestures of others,Develop social learning and imitation skills,['Peers or adults demonstrating gestures'],medium,7,both
24-26,social and emotional,Express pride after completing a task,Encourage confidence and self-recognition,['Simple puzzles or drawing activities'],medium,7,both
24-26,social and emotional,Use polite words like 'please' and 'thank you',Reinforce manners and social etiquette,['Role-play conversations or meal times'],medium,6,both
24-26,social and emotional,Recognize familiar faces in photos or mirrors,Strengthen memory and social recognition,['Photo album or mirror'],easy,5,indoor
24-26,social and emotional,Participate in simple group songs or dances,Promote social participation and rhythm,['Music or children’s songs'],medium,8,both
24-26,social and emotional,Hug a parent or friend voluntarily,Encourage affection and emotional bonding,['Family or peers'],easy,5,both
24-26,social and emotional,Respond to another child’s laughter or sadness,Improve emotional understanding and response,['Playmates or siblings'],medium,7,both
24-26,social and emotional,Participate in group clean-up after play,Promote responsibility and teamwork,['Toys and storage area'],medium,7,both
24-26,social and emotional,Take simple instructions from peers,Foster peer communication and cooperation,['Group play setting'],medium,8,both
24-26,social and emotional,Show excitement when familiar people arrive,Encourage positive recognition and bonding,['Family members or caregivers'],easy,5,both
24-26,social and emotional,Pretend to comfort a crying doll or toy,Develop emotional imagination and empathy,['Doll or stuffed toy'],medium,6,indoor
24-26,social and emotional,Show understanding of simple group rules,Introduce discipline and social order awareness,['Small group play setting'],medium,8,both
24-26,gross motor,"Run across an open, soft play area",Improve coordination and confidence in movement,['Soft play mat or grassy area'],easy,5,outdoor
24-26,gross motor,Kick a large soft ball forward,Develop leg strength and coordination,['Large soft ball'],easy,7,both
24-26,gross motor,"Climb low, toddler-safe stairs or platform",Enhance balance and climbing confidence,['Low steps or foam platform'],medium,8,both
24-26,gross motor,Balance briefly on one foot with support,Develop early balance and body control,['Adult for support or low rail'],medium,3,both
24-26,gross motor,Throw a soft ball overhand to an adult or wall,Improve hand-eye coordination and arm strength,['Soft foam ball'],medium,6,both
24-26,gross motor,Walk on a taped line or narrow path,Encourage balance and concentration,"[""Painter's tape or narrow balance beam""]",medium,5,indoor
24-26,gross motor,Jump with both feet in place,Strengthen leg muscles and motor coordination,['Soft mat or carpet'],medium,4,both
24-26,gross motor,Push or pull a sturdy toy cart,Build strength and walking endurance,['Push-cart or wagon'],medium,8,both
24-26,gross motor,Dance to simple songs and move around,"Encourage rhythm, coordination, and free movement",['Music player or toddler songs'],easy,6,indoor
24-26,gross motor,Step over small soft obstacles on the floor,Enhance leg coordination and spatial awareness,['Soft cushions or foam blocks'],medium,6,indoor
24-26,gross motor,Climb on and off a low sturdy chair safely,Increase independence and coordination,['Sturdy child-sized chair or ottoman'],medium,5,indoor
24-26,gross motor,Ride a push-along toy (no pedals),Develop leg movement and steering control,['Ride-on toy or balance bike without pedals'],medium,10,outdoor
24-26,gross motor,Catch a slowly rolling ball,Enhance reaction time and coordination,['Medium-sized soft ball'],medium,7,both
24-26,gross motor,Walk up and down a small slope or ramp,Strengthen leg muscles and balance,['Playground ramp or gentle incline'],medium,8,outdoor
24-26,gross motor,Jump off a low step with supervised landing,Develop controlled landing and confidence,['Low foam step or sturdy block'],medium,4,indoor
24-26,gross motor,Crawl through a short play tunnel,Promote coordination and spatial awareness,['Play tunnel or large cardboard box'],easy,6,indoor
24-26,gross motor,Throw small beanbags into a basket,Improve aiming and gross motor precision,['Beanbags and basket'],medium,7,both
24-26,gross motor,March to a drumbeat or steady rhythm,"Build rhythm, coordination, and attention",['Drum or rhythm instrument'],easy,5,both
24-26,gross motor,Play follow-the-leader doing big movements,"Encourage imitation, memory, and motor control",['Open play area and leader'],medium,8,both
24-26,gross motor,Spin slowly in a circle and stop,Develop vestibular awareness and body control,['Soft mat or carpeted area'],easy,3,indoor
24-26,gross motor,Walk sideways while holding a caregiver's hand,Practice lateral movement and balance,['Adult support and clear space'],medium,5,both
24-26,gross motor,Climb a small playground ladder with supervision,Develop leg and arm strength and coordination,['Toddler-safe climbing structure'],medium,8,outdoor
24-26,gross motor,Step in and out of small hoops placed on the floor,Encourage agility and coordination,['Hoops or rings'],medium,6,indoor
24-26,gross motor,Walk backward a few steps with supervision,Enhance spatial awareness and control,"['Clear, obstacle-free area']",medium,4,indoor
24-26,gross motor,Hop with both feet together while holding a hand,Introduce hopping and balance skills,['Adult support and soft flooring'],medium,3,indoor
24-26,gross motor,Climb on and off low furniture (couch or bed),"Practice stepping, balance, and confidence","['Low, stable furniture with supervision']",medium,6,indoor
24-26,gross motor,Run around soft cones in a zigzag pattern,Improve directional control and agility,['Soft cones or cushions'],medium,7,outdoor
24-26,gross motor,Jump over a soft rope or low line (with help),Develop coordination and confidence in jumping,['Soft rope or floor tape'],medium,4,indoor
24-26,gross motor,Play simple chase games with caregiver,Build stamina and quick movement skills,['Open safe space'],medium,10,outdoor
24-26,gross motor,Crawl under tables or low obstacles,Strengthen core and spatial navigation skills,['Low tables or tunnel props'],easy,6,indoor
24-26,gross motor,Walk while balancing a light beanbag on the head,Develop posture and balance control,['Light beanbag or small cushion'],medium,4,indoor
24-26,gross motor,Pull a favorite toy on a string,Enhance coordination and planning while walking,['Pull-along toy with string'],easy,8,both
24-26,gross motor,Step onto and off soft blocks or low steps,Practice stepping control and leg strength,['Soft blocks or low steps'],medium,6,indoor
24-26,gross motor,Roll and chase a large soft ball with a partner,Promote cooperation and bilateral coordination,['Large soft ball'],easy,7,both
24-26,gross motor,Run to touch named objects around the room,Combine listening skills with gross motor response,['Named toys or cues placed around room'],medium,6,indoor
24-26,gross motor,Climb into and out of a large cardboard box,Encourage whole-body coordination and exploration,['Large cardboard box'],medium,6,indoor
24-26,gross motor,Spin a hoop on the floor and chase it as it rolls,"Boost speed, tracking, and movement awareness",['Plastic hoop or ring'],medium,7,outdoor
24-26,gross motor,Play gentle catch with a large foam ball using arms,Refine catching timing and arm control,['Large foam ball'],medium,7,both
24-26,gross motor,Walk across uneven but safe surfaces (sand/grass),Improve balance and adaptability to textures,"['Sand, grass, or foam tiles']",medium,8,outdoor
24-26,gross motor,Try gentle swinging on a toddler-safe swing with support,Strengthen core and vestibular sense,['Toddler-safe swing (supervised)'],easy,5,outdoor
24-26,gross motor,Walk while holding hands up high like an airplane,Encourage shoulder mobility and balance,['Open space'],easy,4,indoor
24-26,gross motor,"Complete a short, soft obstacle course with supervision","Combine climbing, crawling, stepping and balance skills","['Cushions, tunnels, low steps']",medium,10,indoor
24-26,gross motor,Play gentle tug-of-war with a soft rope (supervised),Develop bilateral coordination and strength,['Soft rope or cloth strip'],medium,5,both
24-26,gross motor,"Balance on a wide, low beam or taped line (assisted)",Improve balance and lower body control,['Low balance beam or tape line'],medium,6,indoor
24-26,gross motor,Play a game of 'stop and go' running to music,Build impulse control and gross motor control,['Music player'],medium,8,both
24-26,gross motor,Step over small obstacles,Enhance coordination and balance while walking,"['Soft pillows', 'Low hurdles']",medium,10,both
24-26,gross motor,Climb onto low furniture safely,Build confidence and physical strength through climbing,"['Soft couch', 'Foam climbing blocks']",medium,8,indoor
24-26,gross motor,Jump with two feet together,Improve leg strength and coordination,['Soft mat'],medium,6,both
24-26,gross motor,Run short distances to fetch an object,Develop stamina and speed control,"['Soft toy', 'Open play space']",medium,7,both
24-26,gross motor,Kick a rolling ball back and forth,Enhance foot-eye coordination and cooperative play,['Soft ball'],easy,10,both
24-26,gross motor,Balance on one foot with support,Improve balance and core stability,"['Parent’s hand for support', 'Soft floor mat']",hard,5,indoor
24-26,fine motor,String large wooden beads,Enhance hand-eye coordination and finger strength,"['Large wooden beads', 'Thick string']",medium,10,indoor
24-26,fine motor,Stack up to six blocks,Improve grip strength and coordination,['Wooden blocks or stacking cups'],easy,8,indoor
24-26,fine motor,Open and close different sized lids,Develop wrist rotation and precision control,['Containers with screw and snap lids'],medium,7,indoor
24-26,fine motor,Tear paper into small pieces,Strengthen finger muscles and improve coordination,"['Old magazines', 'Colored paper']",easy,6,indoor
24-26,fine motor,Use spoon to transfer small objects,Build control in hand movements,"['Bowls', 'Pom-poms or beans', 'Spoon']",medium,8,indoor
24-26,fine motor,Push buttons on toys or remotes,Encourage finger isolation and pressing motion,"['Toy with buttons', 'Remote control']",easy,5,indoor
24-26,fine motor,Scoop and pour sand or rice,Improve wrist control and grip precision,"['Sand tray', 'Small cups', 'Spoon']",medium,10,both
24-26,fine motor,Fit shapes into a sorter,Develop spatial awareness and precision,['Shape sorter toy'],medium,8,indoor
24-26,fine motor,Use crayons to scribble freely,Encourage early writing control,"['Thick crayons', 'Paper']",easy,10,indoor
24-26,fine motor,Peel stickers and place on paper,Refine pincer grasp and control,"['Stickers', 'Paper sheet']",medium,7,indoor
24-26,fine motor,Press and release playdough cutters,Strengthen hand and finger control,"['Playdough', 'Plastic cutters']",medium,10,indoor
24-26,fine motor,Pick up small objects with tweezers,Enhance fine motor grip and coordination,"['Child-safe tweezers', 'Pom-poms']",hard,6,indoor
24-26,fine motor,Turn pages in a picture book,Improve hand precision and bilateral coordination,['Thick-paged picture book'],easy,5,indoor
24-26,fine motor,Button and unbutton large buttons,Develop self-care and hand dexterity,"['Button board', 'Cloth with big buttons']",hard,8,indoor
24-26,fine motor,Thread pipe cleaners through holes,Encourage accuracy and steady hand movement,"['Pipe cleaners', 'Colander or cardboard with holes']",medium,7,indoor
24-26,fine motor,Stack and unstack plastic cups,Build coordination and muscle control,['Plastic cups'],easy,8,both
24-26,fine motor,Stick straws into playdough,Improve finger control and hand strength,"['Playdough', 'Plastic straws']",easy,6,indoor
24-26,fine motor,Use clothespins to clip paper,Strengthen hand muscles and coordination,"['Clothespins', 'Paper']",medium,7,indoor
24-26,fine motor,Press dough into molds,Enhance strength and control of hand muscles,"['Playdough', 'Plastic molds']",easy,8,indoor
24-26,fine motor,Place pegs in a pegboard,Improve precision and visual-motor integration,['Pegboard toy'],medium,10,indoor
24-26,fine motor,Stack ring tower in correct order,Encourage problem-solving and coordination,['Ring stacking toy'],medium,8,indoor
24-26,fine motor,Place coins in a slot container,Enhance precision and hand control,"['Container with slit', 'Large plastic coins']",medium,6,indoor
24-26,fine motor,Roll and flatten playdough,Strengthen wrist and hand coordination,"['Playdough', 'Rolling pin']",easy,9,indoor
24-26,fine motor,Peel and stick washi tape lines,Encourage concentration and pincer control,"['Washi tape', 'Table surface']",medium,7,indoor
24-26,fine motor,Fit bottle caps onto matching bottles,Develop matching and twisting motion,"['Plastic bottles', 'Matching caps']",medium,7,indoor
24-26,fine motor,Pull apart large interlocking blocks,Improve hand strength and problem-solving skills,['Large interlocking blocks'],medium,8,indoor
24-26,fine motor,Place buttons into slits on cardboard,Develop precision and hand-eye coordination,"['Cardboard with slits', 'Large buttons']",medium,7,indoor
24-26,fine motor,Roll small balls of playdough,Strengthen fingers and dexterity,['Playdough'],easy,6,indoor
24-26,fine motor,Use finger paint to make simple designs,Encourage creativity and hand control,"['Finger paint', 'Paper']",easy,10,indoor
24-26,fine motor,Stack soft foam shapes,Develop coordination and visual-spatial skills,['Foam blocks or shapes'],easy,7,indoor
24-26,fine motor,Thread large buttons onto sticks,Refine precision and coordination,"['Large buttons', 'Wooden sticks']",medium,8,indoor
24-26,fine motor,Twist and turn toy knobs,Develop wrist rotation and finger strength,['Toy with knobs or dials'],medium,6,indoor
24-26,fine motor,Insert sticks into holes on a toy board,Encourage accuracy and fine motor planning,"['Toy board with holes', 'Sticks or rods']",medium,7,indoor
24-26,fine motor,Use a small roller to flatten dough,Strengthen hands and develop wrist control,"['Playdough', 'Child-safe rolling pin']",medium,8,indoor
