age_group,environment,topic,scenario,safety_category,response_guidance,learning_goal,emotional_tone,message_style,trusted_action,complexity_level,reviewed_by
4–5,Home,Household Safety,You spill milk on the kitchen floor and slip a little.,Slip hazard,Call for help and clean it up with an adult.,Recognize that wet floors can be dangerous.,Gentle,Story,Use a towel carefully with adult help.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,Your little brother is crying and you want to pick him up.,Lifting hazard,Do not try to lift others by yourself.,Know that lifting can cause falls or hurt both of you.,Gentle,Story,Ask a parent to help with your brother.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You notice your toy’s battery cover is loose.,Battery hazard,Do not touch the battery or remove it.,Learn that batteries can be dangerous if opened.,Gentle,Story,Give the toy to an adult to fix safely.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see your parent ironing clothes and the iron looks shiny.,Burn hazard,Do not touch the iron or ironing board.,Understand that irons are hot and can burn skin.,Gentle,Story,Stay away until your parent says it’s safe.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You find a coin stuck in the sofa.,Choking hazard,Do not put it in your mouth or play with it.,Know that small items should be handled by adults.,Gentle,Story,Give the coin to an adult.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You climb on the bed and jump high for fun.,Fall hazard,Do not jump on furniture.,Learn that jumping can cause falls and hurt you.,Gentle,Story,Play jumping games on soft ground with adults nearby.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You want to turn on the fan by yourself.,Electrical safety,Ask an adult to help with switches.,Learn that electrical switches should be used safely.,Gentle,Rule chart,Wait for a parent to turn it on for you.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You find a small marble under the sofa.,Choking hazard,Do not put marbles or beads in your mouth.,Understand that round toys can cause choking.,Gentle,Story,Give it to an adult for safe storage.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You want to help your parent carry a hot cup of tea.,Burn hazard,Never carry hot drinks.,Understand that hot liquids can spill and burn.,Gentle,Story,Let adults handle hot drinks only.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see your cat playing with a string and want to pull it.,Animal safety,Be gentle and do not pull toys from pets.,Learn that sudden movements can scare animals.,Gentle,Story,Ask an adult to help play safely with pets.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You want to watch cartoons and try to use the remote by yourself.,Screen time safety,Ask an adult before turning on the TV.,Know that adults decide what is safe to watch.,Gentle,Rule chart,Give the remote to a parent first.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a drawer full of shiny kitchen knives.,Sharp object hazard,Do not touch knives or tools.,Recognize that knives can cut and should be used by adults only.,Gentle,Story,Call a parent if you need to reach something near them.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You want to help cook by stirring the soup.,Burn hazard,Stay back from pots and stoves.,Know that hot food and steam can cause burns.,Gentle,Story,Help with safe jobs like setting the table instead.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You spill soap bubbles on the bathroom floor.,Slip hazard,Tell an adult and do not run.,Learn that soap makes the floor slippery.,Gentle,Story,Ask an adult to wipe it safely.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You find a nail or screw on the floor.,Sharp object hazard,Do not pick it up or play with it.,Understand that small metal items can hurt your skin.,Gentle,Rule chart,Tell an adult to pick it up safely.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see the washing machine door open and want to climb in.,Entrapment hazard,Never climb inside appliances.,Know that washing machines and dryers are not for play.,Gentle,Story,Close the door and tell an adult.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You want to touch the fish tank water.,Hygiene safety,Do not touch pet water or fish tanks.,Learn to keep hands away from pet tanks and cages.,Gentle,Story,Ask a parent before helping with pets.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see wires under the table and think to pull them.,Electrical safety,Do not touch or pull wires.,Understand that pulling wires can break things or shock you.,Gentle,Rule chart,Tell an adult about loose wires.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You want to sit on a window ledge to look outside.,Fall hazard,Never sit or lean on windows.,Learn that windows are not safe to sit near.,Gentle,Story,Ask an adult to open windows safely.,2,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a glass of water near a computer or phone.,Electrical safety,Keep liquids away from electronics.,Know that water and electricity should not mix.,Gentle,Rule chart,Move the glass or tell an adult.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You want to taste toothpaste like candy.,Poison risk,Use only a small bit of toothpaste with adult help.,Learn that toothpaste is not for eating.,Gentle,Story,Brush teeth only when a parent says it’s time.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You drop a glass cup and it breaks.,Broken glass hazard,Do not try to pick up broken pieces.,Understand that broken glass can cut your skin.,Calm,Story,Stay back and call an adult to clean it up.,2,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You feel upset and want to hide under the bed.,Emotional safety,It’s okay to feel sad; find an adult to talk to.,Learn that talking helps you feel safe and calm.,Comforting,Story,Find a parent or family member to share your feelings.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You notice someone knocking on the window and you don’t know them.,Stranger safety,Do not open or talk through windows to strangers.,Know that strangers should only be handled by adults.,Calm,Story,Tell a parent or trusted adult immediately.,2,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see your toys scattered on the floor.,Trip hazard,Put toys back after playing.,Learn to keep floors clear to avoid falls.,Gentle,Rule chart,Clean up with a grown-up’s help.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You are brushing teeth and notice the tap running too long.,Water safety,Turn off taps after using them.,Learn to save water and prevent spills.,Gentle,Rule chart,Remind others to turn off taps too.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a medicine bottle on the bedside table.,Poison risk,Never touch or taste medicine without a grown-up.,Understand that only adults give medicine safely.,Gentle,Story,Tell a parent if you find any medicine.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a small candle on a birthday cake and want to touch the flame.,Fire hazard,Do not touch the flame; stay back.,Understand that fire can hurt and must be handled by adults.,Gentle,Story,Let an adult blow out or handle the candle.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You want to press buttons on the microwave while it is cooking.,Electrical and heat hazard,Do not touch buttons or open the microwave while hot.,Learn that hot food and electricity can be dangerous.,Gentle,Story,Ask an adult to help when using kitchen appliances.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You notice a backpack lying near the stairs and want to step on it.,Trip hazard,Do not step on objects on stairs.,Understand that items on stairs can cause falls.,Gentle,Rule chart,Ask an adult to move it safely.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a plastic container of detergent in the laundry room.,Poison hazard,Do not touch or taste detergents.,Learn that cleaning products are not safe for children.,Gentle,Story,Ask a parent to handle detergents.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a chair near the window and want to climb it to look outside.,Fall hazard,Do not climb furniture near windows.,Understand the danger of climbing near open windows.,Gentle,Story,Ask an adult to help you see outside safely.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You find a leftover nail or screw on the floor in the garage.,Sharp object hazard,Do not touch it.,Learn that sharp metal objects can hurt you.,Gentle,Rule chart,Tell an adult to pick it up safely.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You want to open the front door when someone rings the bell.,Stranger safety,Do not open the door by yourself.,Learn that adults check who is at the door.,Gentle,Story,Call a parent or trusted adult to open it.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a bowl of soup left on the coffee table and want to touch it.,Burn hazard,Do not touch hot food or drinks.,Recognize that hot liquids can burn skin.,Gentle,Story,Ask an adult for help if you want some.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a plastic bag on the floor and think it’s fun to play with.,Suffocation hazard,Do not put the bag over your head.,Understand that plastic bags can block breathing.,Gentle,Story,Give it to an adult to store safely.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You try to climb onto the countertop to reach cookies.,Fall hazard,Do not climb on counters.,Learn that counters are not safe to climb.,Gentle,Story,Ask an adult to give you the cookies safely.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You notice a plug point in the bathroom and want to touch it.,Electrical safety,Never touch plugs with wet hands.,Learn that water and electricity are dangerous together.,Gentle,Rule chart,Ask a parent if you need to use electricity.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see your sibling crying and want to lift them by yourself.,Lifting/fall hazard,Do not lift other children alone.,Understand lifting can cause injury.,Gentle,Story,Ask an adult to help with your sibling.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a spilled drink on the floor near the sofa.,Slip hazard,Do not run over spills; tell an adult.,Know that wet floors can cause falls.,Gentle,Story,Ask an adult to wipe it safely.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a jar of medicine on a high shelf and try to reach it with a chair.,Poison and fall hazard,Do not climb to reach medicine.,Learn that medicines are handled only by adults.,Gentle,Story,Ask a parent to get it safely.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a pet food bowl and want to taste it.,Hygiene hazard,Do not eat pet food.,Understand pet food is not for humans.,Gentle,Story,Ask an adult if unsure.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a broom or mop handle lying on the floor and want to swing it.,Trip/fall hazard,Do not swing or run with household tools.,Learn that handles can hit or trip someone.,Gentle,Rule chart,Ask an adult to store tools safely.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a small heater plugged in and feel curious to touch it.,Burn hazard,Do not touch heaters or hot surfaces.,Learn that heaters can burn your skin.,Calm,Story,Ask a parent to turn it on or off safely.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You want to play with a drawer full of sharp utensils.,Sharp object hazard,"Do not touch knives, forks, or scissors.",Understand that sharp utensils can cut.,Gentle,Rule chart,Tell an adult if you need something from the drawer.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You notice the bathroom floor is wet and want to run across.,Slip hazard,Do not run on wet floors.,Learn that wet floors can make you fall.,Comforting,Story,Walk carefully and ask an adult to clean it.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a jar of jam on the counter and climb to reach it.,Fall hazard,Do not climb counters or furniture.,Understand that climbing can cause falls.,Gentle,Story,Ask an adult to help you reach items safely.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You notice a plastic bottle of cleaning spray on a low shelf.,Poison hazard,Do not touch or spray chemicals.,Learn that cleaning products are dangerous for children.,Gentle,Story,Ask a parent to store cleaning items safely.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see the window slightly open and want to lean out to see the garden.,Fall hazard,Do not lean out of windows.,Understand that windows can be dangerous.,Calm,Story,Ask a parent to open windows safely if needed.,2,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You notice your pet food bowl and want to taste it.,Hygiene hazard,Do not eat pet food.,Learn that pets eat different food than humans.,Gentle,Story,Ask a parent if unsure about pet food.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You want to play near the stove while your parent is cooking.,Burn hazard,Stay away from hot stoves and ovens.,Learn that cooking areas can be dangerous.,Gentle,Rule chart,Ask an adult to move you to a safe area.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You notice a chair near the stairs and think to climb on it.,Fall hazard,Do not climb on chairs near stairs.,Learn that stairs are dangerous to climb on furniture.,Comforting,Story,Ask an adult to pick up the chair or supervise play.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a plug with no safety cover and want to touch it.,Electrical hazard,Do not touch open plugs.,Understand electricity can hurt you.,Calm,Story,Tell an adult to cover the plug.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You find a small marble and want to put it in your mouth.,Choking hazard,Do not put small objects in your mouth.,Learn that small toys can block breathing.,Gentle,Story,Show it to an adult immediately.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a candle on a table and want to blow it out yourself.,Fire hazard,Do not touch or blow out candles without an adult.,Understand that fire can burn and needs adult supervision.,Gentle,Story,Ask a parent to help with candles.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You try to pull on the curtains to climb the window sill.,Fall hazard,Do not climb using curtains or blinds.,Learn that windows are dangerous to climb.,Calm,Rule chart,Ask a parent to open windows safely.,2,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a bottle of mouthwash and want to taste it.,Poison hazard,Do not drink mouthwash.,Learn that adult liquids are not for children.,Gentle,Story,Ask a parent if you are curious.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You want to swing a broom or mop around while cleaning.,Trip/fall hazard,Do not swing or run with cleaning tools.,Learn that tools can hurt someone if swung.,Comforting,Story,Ask an adult to show safe ways to help with cleaning.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a glass of juice on the edge of the table and want to grab it.,Spill/fall hazard,Do not reach for drinks on the table edge.,Learn that objects can fall and spill hot or cold liquids.,Gentle,Story,Ask an adult to move the drink closer safely.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You notice a small stool near the window and think to climb it.,Fall hazard,Do not climb near windows.,Understand that climbing can be dangerous near heights.,Calm,Story,Ask an adult to help you see outside safely.,2,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,"You want to play with a drawer full of scissors, knives, and other sharp tools.",Sharp object hazard,Do not touch sharp objects.,Learn that sharp objects can cut and are for adults only.,Gentle,Rule chart,Ask an adult to give you safe tools for play.,2,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a small plug exposed on the wall and want to touch it.,Electrical hazard,Do not touch plugs or electrical outlets.,Understand electricity can hurt or shock you.,Comforting,Story,Tell an adult immediately about exposed plugs.,2,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You notice a pile of toys near the doorway and think to run across.,Trip hazard,Do not run through cluttered areas.,Learn that toys on the floor can make you fall.,Gentle,Story,Ask an adult to help clear the path.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a candle burning on the table and want to blow it out yourself.,Fire hazard,Do not touch or blow out candles without an adult.,Understand that fire can burn and needs supervision.,Calm,Story,Ask a parent to help with candles.,2,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You try to climb on a kitchen counter to reach a cookie jar.,Fall hazard,Do not climb counters.,Learn that counters are unsafe to climb.,Gentle,Rule chart,Ask an adult to get cookies for you safely.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a bottle of mouthwash and want to taste it.,Poison hazard,Do not drink mouthwash.,Learn that adult liquids are not safe for children.,Gentle,Story,Ask a parent if curious.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see your pet bowl and want to taste the pet food.,Hygiene hazard,Do not eat pet food.,Learn that pets eat different food than humans.,Gentle,Story,Ask a parent if unsure.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You notice a wet floor in the bathroom and want to run across.,Slip hazard,Do not run on wet floors.,Learn that wet floors can make you fall.,Comforting,Story,Walk carefully and tell an adult.,2,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You want to climb on a chair to reach a high shelf.,Fall hazard,Do not climb on chairs or furniture.,Understand that climbing can cause falls.,Calm,Rule chart,Ask an adult to reach it safely.,2,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a small pill on the floor and want to pick it up.,Poison hazard,Do not touch medicines.,Learn that medicines are for adults only.,Gentle,Story,Tell a parent immediately.,2,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a broom handle on the floor and want to swing it.,Trip/fall hazard,Do not swing cleaning tools.,Learn that swinging tools can hurt yourself or others.,Comforting,Story,Ask an adult to show safe ways to help with cleaning.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You notice a jar of hot soup left on the counter.,Burn hazard,Do not touch hot food.,Learn that hot items can burn.,Gentle,Story,Ask an adult before touching any hot food.,2,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a power cord lying across the floor and think to step over it.,Trip/electrical hazard,Do not step on cords or wires.,Learn that wires can be dangerous and cause trips or shocks.,Calm,Rule chart,Tell an adult to move the cord safely.,2,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a drawer of matches and want to play with them.,Fire hazard,Do not touch matches or lighters.,Learn that fire-starting objects are dangerous for children.,Gentle,Story,Tell an adult immediately.,3,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You notice a stack of books on the floor and think to climb over them.,Trip/fall hazard,Do not climb over piles of books or objects.,Understand that obstacles can cause falls.,Gentle,Story,Ask an adult to clear the books safely.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a glass bottle on the counter and want to grab it.,Breakage hazard,Do not touch glass bottles alone.,Learn that glass can break and hurt you.,Calm,Story,Ask an adult to handle glass items.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You notice the washing machine lid is open and want to put your hand inside.,Mechanical hazard,Do not put hands inside machines.,Learn that machines can hurt hands.,Gentle,Story,Ask an adult to help with laundry.,2,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You want to climb on a table to reach a toy.,Fall hazard,Do not climb on tables.,Learn that climbing on furniture can cause injuries.,Comforting,Story,Ask an adult to reach the toy safely.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a cord hanging from the blinds and want to pull it.,Strangulation hazard,Do not pull or play with cords.,Learn that hanging cords can be dangerous.,Gentle,Rule chart,Tell an adult about the cord.,2,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You notice a pile of laundry on the floor and want to jump on it.,Trip/fall hazard,Do not jump on piles of laundry.,Learn that slippery or uneven surfaces can cause falls.,Comforting,Story,Ask an adult to help pick up laundry.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a jar of peanut butter on a high shelf and want to climb to reach it.,Fall hazard,Do not climb to reach food items.,Understand that high places can be unsafe to climb.,Calm,Story,Ask an adult to get the item for you.,2,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a small bottle of hand sanitizer and want to drink it.,Poison hazard,Do not drink sanitizers.,Learn that sanitizers are not safe to consume.,Gentle,Story,Tell an adult if you are curious.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You want to open the front door when the doorbell rings.,Stranger safety,Do not open doors without an adult.,Learn that only adults should answer the door.,Calm,Story,Call a parent or trusted adult to open the door.,2,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a small coin on the floor and want to put it in your mouth.,Choking hazard,Do not put small objects in your mouth.,Learn that small items can block breathing.,Gentle,Story,Give it to an adult immediately.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You notice a hot iron on the table and want to touch it.,Burn hazard,Do not touch hot appliances.,Learn that irons can burn and should be handled by adults.,Comforting,Story,Ask an adult to move the iron safely.,2,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a spoon in the soup and want to grab it quickly.,Burn hazard,Do not grab utensils in hot food.,Learn that hot food and utensils can burn skin.,Gentle,Rule chart,Ask an adult to help serve food safely.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a hot kettle on the stove and a chair nearby that you want to climb to reach it.,Burn + Fall hazard,Do not climb or touch the kettle.,Understand that hot objects and climbing furniture are dangerous together.,Gentle,Story,Ask an adult to handle the kettle safely.,3,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a power strip with multiple plugs and a small toy on the floor near it.,Electrical + Trip hazard,Do not touch the power strip or step on toys near cords.,Learn that cords and toys together can cause shocks or trips.,Calm,Rule chart,Tell an adult to organize the cords safely.,3,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a candle on the table and a cat nearby that might knock it over.,Fire + Pet hazard,Do not touch the candle or play near it.,Understand that pets and fire can be dangerous together.,Comforting,Story,Ask an adult to move the candle or pet safely.,3,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a wet bathroom floor and a plugged-in hairdryer nearby.,Electrical + Slip hazard,Do not touch the hairdryer or run on wet floors.,Learn that water and electricity together are dangerous.,Calm,Story,Ask an adult to move electrical items safely.,3,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You notice a cupboard with cleaning liquids and a small chair near it.,Poison + Fall hazard,Do not climb to reach cleaning liquids.,Understand that chemicals and climbing furniture together are dangerous.,Gentle,Story,Ask an adult to get items safely.,3,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a toaster plugged in and crumbs on the counter that you want to pick up.,Electrical + Burn hazard,Do not touch the toaster or hot surfaces.,Learn that electricity and heat can be dangerous together.,Calm,Story,Ask an adult to clean and handle the toaster safely.,3,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a small object on the stairs and a ball rolling nearby.,Trip + Fall hazard,Do not run or pick up objects alone on stairs.,Understand that multiple obstacles increase risk of falling.,Gentle,Rule chart,Ask an adult to clear the stairs safely.,3,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You notice a window slightly open with a chair near it and toys on the floor.,Fall + Trip hazard,Do not climb or lean near the window.,Learn that obstacles near windows can be dangerous.,Calm,Story,Ask an adult to make the area safe.,3,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a candle and a bottle of alcohol nearby.,Fire + Poison hazard,Do not touch either item.,Learn that fire and chemicals together are very dangerous.,Gentle,Story,Ask an adult to handle both safely.,3,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You notice a small chair near a plugged-in fan and toys around it.,Electrical + Fall hazard,Do not climb on the chair near the fan.,Understand that furniture and electrical items together increase danger.,Calm,Rule chart,Ask an adult to organize the area safely.,3,"['Child safety educator', 'Early childhood expert']"
