age_group,subject,topic,difficulty_level,example_type,input,output,solution_steps
5-7,Social Studies,"About self, family, and neighbourhood",hard,reasoning,Why should we be honest with our family members?,Honesty builds trust and keeps the family happy.,"['Lying can hurt feelings.', 'Being honest helps everyone trust you.', 'Families stay closer when they trust each other.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,Who keeps our home clean?,Everyone in the family helps keep it clean.,"['Cleaning is part of caring for the home.', 'Each person can do small chores to help.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,How can you show kindness to your neighbours?,By saying hello and helping them when needed.,"['Kindness makes people happy.', 'Even small acts like smiling or sharing count.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,reasoning,What happens when everyone in a neighbourhood works together?,"The place becomes cleaner, safer, and happier.","['Working together means cooperation.', 'Everyone helps with tasks like cleaning or safety.', 'Togetherness builds a strong community.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,What is your favourite thing about your neighbourhood?,I like the park and my friends nearby.,"['Think about what you enjoy most around your home.', 'It could be a place or people you like.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,Why should we keep noise low in our neighbourhood?,So that everyone can rest and feel comfortable.,"['Loud noise can disturb others.', 'Quietness helps people relax and sleep.', 'Being calm shows respect for neighbours.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,reasoning,How can celebrating festivals together help a community?,It brings people closer and spreads happiness.,"['Festivals are times for joy and sharing.', 'Everyone feels included when celebrating together.', 'It builds unity and understanding.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,What can children do to help in their family?,They can keep toys in place and help parents.,"['Helping shows responsibility.', 'Doing small tasks makes home life easier.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,reasoning,Why should we thank people who help us in our community?,It shows respect and appreciation for their work.,"['Helpers make life easier and safer.', 'Thanking them makes them feel valued.', 'Respect keeps the community strong.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,Who lives with you in your home?,My family lives with me.,"['Think about the people you see every day at home.', 'They are your family members.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,How can you make your family members happy?,By helping them and being kind.,"['Doing kind things makes others happy.', 'Helping shows that you care for them.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,reasoning,Why is listening to your parents important?,Because they guide and protect you.,"['Parents know what is safe and right.', 'Listening helps you learn and stay safe.', 'It shows respect and trust.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,What do you call your mother’s sister?,She is my aunt.,"['Your mother’s sister is your aunt.', 'She is part of your extended family.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,Why should you help your grandparents?,Because they are older and need support.,"['Elders may find tasks harder to do.', 'Helping them shows love and respect.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,reasoning,How can helping your family make your home a happy place?,It makes everyone feel cared for and loved.,"['Helping reduces work for others.', 'Everyone feels appreciated.', 'A happy family works together.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,What do families do together for fun?,"They play games, go out, or watch movies.","['Think about what your family enjoys together.', 'Fun time helps families feel close.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,Why should we follow rules in our home?,Rules help everyone live happily and safely.,"['Rules tell us what’s right and fair.', 'Following them avoids fights or danger.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,reasoning,What might happen if no one in the family does their chores?,The home would get messy and cause arguments.,"['Chores keep the home clean and organized.', 'If ignored, everyone feels upset.', 'Working together keeps peace and order.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,What is the name of your country?,I live in India.,"['Think about the country where you live.', 'Say its name proudly—it is your homeland.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,How can you show good manners in your neighbourhood?,"By saying please, thank you, and being polite.","['Good manners show respect.', 'Use kind words with everyone around you.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,reasoning,Why is it important to help neighbours in need?,Helping builds trust and kindness in the community.,"['Neighbours may need help sometimes.', 'Helping shows care and friendship.', 'It makes the whole neighbourhood stronger.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,What is your favourite family activity?,I like playing games or going for walks with my family.,"['Think about what makes you happy with family.', 'It can be play, meals, or outdoor time.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,Why should we be kind to everyone at home?,Kindness keeps everyone happy and peaceful.,"['Kind words and actions make others smile.', 'It avoids fights and builds love in the family.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,reasoning,How can working together make a family strong?,It builds teamwork and love between members.,"['Working together means sharing responsibilities.', 'It teaches cooperation and respect.', 'Families grow stronger when united.']"
