age_month,domain,parent_learning_goal,skill_name,why_it_matters,how_to_teach,parent_dos,parent_donts,parent_tip
0,development support,Support early hearing recognition.,Exposing baby to familiar voices,Helps baby recognize caregivers’ voices.,Speak or sing gently during feeding and diaper changes.,['Use calm tones'],['Use loud noises'],Familiar voices are comforting.
0,parent self-care,Reduce stress during early parenting.,Practicing simple stress relief,Lower stress improves parent responsiveness.,Take slow breaths or short breaks when baby is settled.,['Pause when overwhelmed'],['Ignore stress signals'],Calm parents help calm babies.
0,feeding & nutrition,Understand newborn feeding frequency.,Feeding on demand,Supports healthy growth and milk supply regulation.,Offer feeds whenever the baby shows hunger cues rather than following a strict schedule.,"['Feed responsively', 'Track cues not time']",['Delay feeds unnecessarily'],Frequent feeding is normal in the first weeks.
0,sleep & bedtime safety,Reduce sleep-related risks at night.,Room sharing without bed sharing,Allows monitoring while keeping sleep safe.,Place baby’s crib or bassinet in the same room but on a separate surface.,['Keep baby nearby'],['Share the same bed'],Close proximity improves safety and reassurance.
0,hygiene & daily care,Protect newborn skin health.,Managing diaper rash early,Prevents discomfort and skin breakdown.,Apply a thin barrier cream during diaper changes if redness appears.,['Change diapers often'],['Ignore early redness'],Early care prevents painful rashes.
0,safety & emergency awareness,Be prepared for urgent situations.,Knowing emergency contact readiness,Quick access saves critical time in emergencies.,Keep pediatrician and emergency numbers visible and saved on phones.,['Prepare contacts in advance'],['Search for numbers during crisis'],Preparation reduces panic.
0,development support,Encourage early body awareness.,Gentle full-body touch interaction,Supports sensory and emotional development.,"Use slow, gentle strokes during dressing or massage time.",['Watch baby’s comfort cues'],['Rush interactions'],Gentle touch builds trust.
0,parental teamwork,Maintain routine coordination as a couple.,Planning night-time care roles,Improves rest and reduces misunderstandings.,"Discuss who handles soothing, feeding support, or diapering overnight.",['Plan ahead'],['Assume expectations'],Clear plans reduce night-time stress.
1,feeding & nutrition,Support growing feeding appetite.,Adjusting feed volume gradually,Matches baby’s increasing nutritional needs without overfeeding.,Observe satiety cues and allow slightly longer or fuller feeds as baby grows.,"['Watch swallowing pace', 'Respond to fullness cues']",['Force finishing feeds'],Growth spurts often increase hunger temporarily.
1,feeding & nutrition,Improve feeding comfort.,Managing mild spit-up,Reduces parent anxiety and baby discomfort.,Keep baby upright for a short period after feeds.,['Hold upright after feeding'],['Lay baby flat immediately'],Spit-up is common and usually normal.
1,sleep & bedtime safety,Encourage longer calm sleep periods.,Establishing a simple bedtime cue,Helps baby associate certain actions with sleep.,Repeat a short routine like dim lights and gentle rocking before sleep.,['Keep routine consistent'],['Change routine frequently'],Simple cues work better than long routines.
1,sleep & bedtime safety,Maintain safe sleep consistency.,Using the same sleep surface,Reduces risk by keeping environment predictable.,Place baby to sleep in the same crib or bassinet for naps and night sleep.,['Use approved sleep surface'],['Switch between unsafe locations'],Consistency improves safety and comfort.
1,hygiene & daily care,Protect sensitive newborn skin.,Moisturizing dry newborn skin,Prevents cracking and irritation.,Apply fragrance-free moisturizer after baths if skin appears dry.,['Use baby-safe products'],['Apply scented lotions'],Less product is usually better.
1,hygiene & daily care,Maintain gentle bathing habits.,Transitioning to tub baths,Supports cleanliness as baby becomes more alert.,Use a shallow tub with warm water and support baby securely.,['Test water temperature'],['Leave baby unattended'],Bath time should be calm and brief.
1,emotional & social care,Strengthen early social connection.,Responding to early smiles,Reinforces social engagement and bonding.,Smile back and speak gently when baby shows brief smiles.,['Make eye contact'],['Overstimulate baby'],Small interactions build big bonds.
1,emotional & social care,Improve calming effectiveness.,Recognizing comfort preferences,Helps parents soothe baby more efficiently.,"Notice whether baby prefers rocking, holding, or gentle sounds.",['Observe patterns'],['Use one method rigidly'],Every baby has unique soothing needs.
1,development support,Encourage neck strength development.,Extending tummy time duration,Supports head control and upper body strength.,Increase tummy time gradually during awake periods.,['Stay close and encourage'],['Force long sessions'],Several short sessions work best.
1,parent self-care,Maintain energy during early parenting.,Creating short rest breaks,Prevents burnout and fatigue.,Use baby’s nap times for brief rest instead of chores when possible.,['Rest intentionally'],['Overload every nap time'],Rest improves caregiving quality.
1,feeding & nutrition,Support comfortable feeding digestion.,Adjusting burping techniques,Helps reduce gas and feeding discomfort.,Try different burping positions such as over the shoulder or seated support.,"['Be patient', 'Pause feeds if needed']",['Skip burping when baby seems unsettled'],Different positions work for different babies.
1,feeding & nutrition,Maintain feeding hygiene.,Cleaning feeding equipment thoroughly,Prevents bacterial growth in bottles and nipples.,Wash feeding items with hot water and allow them to air-dry fully.,['Clean after each use'],['Reuse unwashed bottles'],Drying is as important as washing.
1,sleep & bedtime safety,Reduce nighttime disruptions.,Keeping night feeds low-stimulation,Helps baby return to sleep more easily.,Use dim lighting and quiet voices during night feeds.,"['Move gently', 'Keep lights low']",['Play or talk loudly'],"Nighttime is for calm, not play."
1,sleep & bedtime safety,Support circadian awareness.,Exposing baby to daylight,Helps baby begin to distinguish day and night.,Place baby near natural light during daytime wake periods.,['Open curtains during day'],['Keep room dark all day'],Natural light supports sleep rhythms.
1,hygiene & daily care,Maintain oral cleanliness.,Cleaning baby’s gums,Prepares for future oral hygiene habits.,"Gently wipe gums with a clean, damp cloth once a day.",['Use clean cloth'],['Use toothpaste'],Gentle cleaning is enough.
1,hygiene & daily care,Prevent skin irritation.,Managing neck fold moisture,Reduces risk of rashes in skin folds.,Dry neck folds carefully after baths and spit-up.,['Keep folds dry'],['Leave moisture trapped'],Moisture causes most skin fold rashes.
1,safety & emergency awareness,Increase caregiver alertness.,Recognizing signs of illness,Early response prevents complications.,"Watch for changes in feeding, temperature, or alertness.",['Monitor behavior closely'],['Delay seeking advice'],Trust your instincts as a parent.
1,safety & emergency awareness,Prevent accidental falls.,Using safe surfaces for changing,Babies begin subtle movements unexpectedly.,Keep one hand on baby during diaper changes on raised surfaces.,['Stay within arm’s reach'],['Step away even briefly'],Falls happen in seconds.
1,development support,Encourage early visual engagement.,Following moving objects with eyes,Supports visual tracking development.,Move a high-contrast object slowly side to side within baby’s view.,['Move slowly'],['Move objects too fast'],Slow movement helps focus.
1,parental teamwork,Maintain balanced caregiving roles.,Rotating care shifts,Ensures both parents get rest and bonding time.,Alternate caregiving responsibilities across the day and night.,['Discuss schedules openly'],['Assume one parent handles everything'],Rotation prevents exhaustion.
1,feeding & nutrition,Support breastfeeding comfort.,Alternating feeding sides,Encourages balanced milk drainage and comfort.,Begin the next feed on the opposite side from the previous feed.,['Track last feeding side'],['Always start on the same side'],Balanced feeding supports supply.
1,sleep & bedtime safety,Encourage smoother daytime naps.,Watching wake windows,Prevents overtiredness that disrupts sleep.,Put baby down to sleep after short awake periods rather than waiting for fussiness.,['Notice early sleep cues'],['Keep baby awake too long'],Earlier sleep is often easier.
1,hygiene & daily care,Keep baby comfortable during clothing changes.,Dressing baby efficiently,Reduces stress and temperature drops.,Lay clothes out beforehand and dress baby quickly but gently.,['Prepare clothes first'],['Leave baby undressed too long'],Preparation keeps baby calm.
1,safety & emergency awareness,Reduce indoor safety risks.,Keeping hot liquids away,Prevents burns during holding or feeding.,Place hot drinks out of reach before holding the baby.,['Set drinks aside'],['Hold hot liquids near baby'],Burn prevention starts early.
1,emotional & social care,Support emotional regulation.,Using consistent calming voice,Helps baby associate voice with comfort.,Speak softly and consistently when soothing the baby.,['Use steady tone'],['Change tone abruptly'],Consistency builds trust.
1,emotional & social care,Increase positive interactions.,Engaging during alert periods,Strengthens social awareness.,"Talk, smile, or sing when baby is calm and awake.",['Follow baby’s lead'],['Interrupt rest time'],Quality matters more than length.
1,development support,Encourage early language awareness.,Repeating simple sounds,Builds foundation for language development.,Repeat coos or simple sounds the baby makes.,['Pause and respond'],['Talk continuously without pause'],Turn-taking starts early.
1,development support,Support hand awareness.,Allowing free hand movement,Helps baby discover their hands.,Provide short periods without mittens while supervised.,['Supervise closely'],['Cover hands constantly'],Hands are baby’s first toys.
1,parent self-care,Maintain emotional balance.,Sharing feelings with trusted people,Reduces isolation and stress.,Talk openly with family or friends about daily challenges.,['Seek connection'],['Bottle up emotions'],Support improves resilience.
1,parental teamwork,Coordinate caregiving decisions.,Aligning on baby routines,Provides consistency for the baby.,"Discuss and agree on feeding, sleep, and soothing approaches.",['Communicate regularly'],['Give mixed signals'],Consistency helps babies adapt.
1,feeding & nutrition,Maintain milk supply consistency.,Feeding at regular intervals,Supports stable nutrition and milk production.,Offer feeds frequently throughout the day based on baby cues.,['Follow baby’s rhythm'],['Stretch gaps unnecessarily'],Consistency supports growth.
1,sleep & bedtime safety,Reduce startle-related waking.,Swaddling safely,Limits startle reflex and improves sleep quality.,Wrap baby snugly with hips loose and always place on back.,['Leave room for hip movement'],['Swaddle too tightly'],Safe swaddling calms many babies.
1,hygiene & daily care,Maintain scalp health.,Caring for cradle cap,Prevents irritation and buildup.,Gently massage scalp with soft brush and mild baby shampoo.,['Be gentle'],['Pick flakes aggressively'],Cradle cap usually resolves over time.
1,safety & emergency awareness,Increase safety during holding.,Avoiding multitasking while carrying baby,Reduces risk of slips and accidents.,Pause other activities when carrying the baby.,['Focus fully on baby'],['Use phone while walking'],One task at a time keeps baby safe.
1,development support,Encourage sound awareness.,Responding to baby vocalizations,Reinforces early communication attempts.,"Pause, listen, and reply with gentle sounds or words.",['Wait for baby’s cue'],['Interrupt vocal attempts'],Conversation starts with listening.
1,parent self-care,Protect mental wellbeing.,Setting realistic daily expectations,Prevents frustration and overwhelm.,Limit daily goals and prioritize rest and baby care.,['Lower expectations'],['Aim for perfection'],Doing enough is doing well.
2,feeding & nutrition,Support feeding efficiency as baby grows.,Recognizing faster feeding patterns,Babies become more efficient feeders around this age.,Notice shorter but effective feeds with steady swallowing.,['Observe swallowing cues'],['Assume baby is underfed due to shorter feeds'],Efficiency improves with age.
2,feeding & nutrition,Reduce gas-related discomfort.,Adjusting feeding pace,Slower pacing reduces air intake.,Pause during feeds and allow baby to rest briefly.,['Pause during feeds'],['Rush feeding sessions'],A calm pace supports digestion.
2,sleep & bedtime safety,Encourage more predictable sleep routines.,Creating consistent pre-sleep signals,Helps baby associate cues with sleep time.,Use the same short routine before naps and bedtime.,['Repeat cues daily'],['Change routines often'],Consistency builds sleep awareness.
2,sleep & bedtime safety,Support longer nighttime sleep stretches.,Differentiating day and night environments,Helps regulate sleep–wake cycles.,"Keep nights quiet and dark, days brighter and interactive.",['Use daylight exposure'],['Treat day and night the same'],Environment teaches time cues.
2,hygiene & daily care,Maintain healthy skin folds.,Cleaning under arm and leg creases,Prevents irritation from trapped moisture.,Gently clean and dry skin folds during daily care.,['Dry thoroughly'],['Leave moisture behind'],Dry skin folds stay healthier.
2,hygiene & daily care,Maintain comfort during bathing.,Extending bath interaction time,Supports relaxation and bonding.,"Talk or sing softly during short, warm baths.",['Maintain warm water'],['Make baths too long'],"Baths should be soothing, not tiring."
2,emotional & social care,Strengthen social responsiveness.,Responding to social smiles,Reinforces emotional connection.,Smile back and speak gently when baby smiles.,['Mirror expressions'],['Ignore engagement cues'],Smiles are early communication.
2,emotional & social care,Support emotional regulation.,Recognizing overstimulation signs,Prevents fussiness and fatigue.,"Watch for turning away, fussing, or stiff movements.",['Reduce stimulation'],['Push interaction too long'],Breaks help babies reset.
2,development support,Encourage head control development.,Practicing supported sitting,Builds neck and core strength.,Support baby upright briefly while holding securely.,['Support head and torso'],['Sit baby unsupported'],Short supported practice is enough.
2,parent self-care,Sustain parental energy levels.,Planning rest around baby routines,Improves long-term caregiving capacity.,Align rest periods with baby’s longer sleep windows.,['Rest strategically'],['Ignore fatigue'],Energy management matters.
2,feeding & nutrition,Support comfortable bottle feeding.,Choosing appropriate nipple flow,Correct flow prevents choking or frustration.,Observe feeding pace and switch nipple flow if baby struggles or gulps.,['Match flow to baby'],['Use fast flow unnecessarily'],Flow rate should match feeding rhythm.
2,feeding & nutrition,Maintain feeding focus.,Reducing distractions during feeds,Helps baby feed more effectively.,"Feed in a calm, quiet space with minimal visual distractions.",['Create calm environment'],['Feed near loud screens'],Focused feeding improves intake.
2,sleep & bedtime safety,Improve nap quality.,Observing sleep cues,Prevents overtiredness.,"Look for yawning, slowed movement, or glazed eyes.",['Respond early to cues'],['Wait until crying'],Early naps are easier naps.
2,sleep & bedtime safety,Maintain safe sleep habits.,Discontinuing swaddling when rolling signs appear,Reduces risk once baby shows increased movement.,Watch for attempts to roll and transition arms-out swaddling.,['Monitor mobility'],['Ignore rolling attempts'],Safety changes as baby grows.
2,hygiene & daily care,Maintain nail safety.,Regular nail trimming schedule,Prevents accidental scratches.,Trim nails weekly using baby-safe clippers.,['Trim when baby is calm'],['Delay trimming too long'],Frequent trims are easier.
2,hygiene & daily care,Prevent drool-related rashes.,Managing drool moisture,Constant moisture irritates skin.,Gently pat chin and neck dry throughout the day.,['Keep skin dry'],['Rub skin harshly'],"Pat dry, don’t wipe."
2,safety & emergency awareness,Increase safe handling awareness.,Avoiding shaking during play,Shaking can cause serious injury.,"Use gentle, controlled movements during play and soothing.",['Move gently'],['Shake baby'],Gentle handling protects the brain.
2,safety & emergency awareness,Prepare for common health checks.,Tracking vaccination schedules,Ensures timely immunization.,Maintain a record of vaccination dates and upcoming appointments.,['Keep health records updated'],['Miss scheduled visits'],On-time vaccines protect early.
2,development support,Encourage vocal exploration.,Talking during daily routines,Supports early language development.,"Describe actions while changing, feeding, or bathing.",['Use simple words'],['Stay silent during care'],Every routine is a learning moment.
2,parental teamwork,Balance caregiving load.,Sharing night-time responsibilities,Improves rest and reduces burnout.,Alternate night duties or split responsibilities.,['Plan together'],['Assume roles silently'],Shared nights feel lighter.
2,feeding & nutrition,Support feeding satisfaction.,Recognizing fullness cues,Prevents overfeeding and discomfort.,"Watch for slowing sucking, turning head away, or relaxed hands.",['End feed when cues appear'],['Encourage finishing bottle unnecessarily'],Fullness cues matter more than quantity.
2,sleep & bedtime safety,Improve bedtime calmness.,Reducing stimulation before sleep,Helps baby settle more easily.,Lower lights and reduce noise before bedtime.,['Create calm environment'],['Play actively before sleep'],Calm transitions support better sleep.
2,hygiene & daily care,Keep ears clean safely.,Cleaning outer ears gently,Prevents buildup without injury.,Wipe only the outer ear with a damp cloth.,['Clean gently'],['Insert objects into ear canal'],Outer ear care is enough.
2,hygiene & daily care,Maintain scalp comfort.,Rinsing shampoo thoroughly,Prevents residue irritation.,Rinse scalp gently until water runs clear.,['Use mild shampoo'],['Leave product residue'],Gentle rinsing keeps scalp healthy.
2,safety & emergency awareness,Reduce fall risks at home.,Using floor play for movement,Floors are safer than elevated surfaces.,Place baby on a clean mat on the floor for play.,['Supervise closely'],['Leave baby on high surfaces'],Floor time is safest play time.
2,safety & emergency awareness,Improve caregiver readiness.,Learning basic infant first aid awareness,Prepared parents respond faster in emergencies.,Review infant first aid basics from trusted health resources.,['Learn from reliable sources'],['Rely on assumptions'],Knowledge builds confidence.
2,emotional & social care,Enhance emotional bonding.,Maintaining eye contact during interaction,Supports emotional connection and recognition.,Hold baby at eye level during calm alert times.,['Engage face-to-face'],['Look away constantly'],Eye contact builds connection.
2,emotional & social care,Support emotional security.,Responding consistently to cues,Helps baby feel predictable and safe.,"Respond in similar ways to hunger, tiredness, and discomfort cues.",['Be consistent'],['Ignore repeated cues'],Consistency builds trust.
2,development support,Encourage arm movement awareness.,Providing reaching opportunities,Supports coordination development.,Place toys just within baby’s reach during play.,['Encourage movement'],['Place toys too far'],Reaching builds control.
2,parent self-care,Maintain emotional resilience.,Acknowledging parenting challenges,Reduces guilt and stress.,Accept that challenges are part of early parenting.,['Practice self-compassion'],['Compare constantly'],Progress matters more than perfection.
2,feeding & nutrition,Support feeding comfort during growth changes.,Adjusting feeding position,Proper positioning reduces reflux and discomfort.,Hold baby at a slight incline with head higher than stomach during feeds.,['Support head and neck'],['Feed baby completely flat'],Small position changes can improve comfort.
2,sleep & bedtime safety,Encourage smoother sleep transitions.,Using consistent sleep associations,Helps baby recognize signals for sleep.,"Repeat the same calming action, such as rocking or soft humming, before sleep.",['Repeat familiar cues'],['Introduce many new methods at once'],Familiar signals bring comfort.
2,hygiene & daily care,Maintain nasal comfort.,Clearing nasal congestion safely,Improves breathing and feeding comfort.,Use saline drops and a gentle suction bulb when needed.,['Use only baby-safe products'],['Overuse suction'],Gentle care keeps airways clear.
2,safety & emergency awareness,Improve outdoor safety awareness.,Protecting baby from sun exposure,Baby skin is sensitive to sunlight.,Keep baby in shaded areas and use protective clothing when outdoors.,['Use shade and hats'],['Expose baby to direct sun'],Shade is the best protection.
2,development support,Encourage early sound recognition.,Introducing varied gentle sounds,Supports auditory development.,"Expose baby to soft music, rattles, or calm household sounds.",['Keep sounds gentle'],['Use loud noises'],Soft variety builds listening skills.
2,parental teamwork,Maintain consistent caregiving approach.,Aligning responses to baby cues,Provides predictability for the baby.,Discuss and agree on how to respond to common baby needs.,['Communicate expectations'],['Respond inconsistently'],Unified responses build security.
3,feeding & nutrition,Support efficient feeding routines.,Spacing feeds with baby cues,Helps establish more predictable feeding patterns.,Notice longer gaps between hunger cues and respond accordingly.,['Follow baby-led timing'],['Force fixed schedules'],Baby-led patterns evolve naturally.
3,feeding & nutrition,Maintain feeding engagement.,Managing distractible feeding,Babies become more alert and easily distracted.,"Feed in a calm, low-distraction environment.",['Reduce background noise'],['Feed near screens'],Focus improves feeding quality.
3,sleep & bedtime safety,Encourage longer sleep stretches.,Extending bedtime routine slightly,Helps baby wind down before night sleep.,Add a brief calm activity like a song or gentle massage.,['Keep routine calm'],['Add stimulating play'],Longer routines should stay simple.
3,sleep & bedtime safety,Support consistent nap patterns.,Offering naps at similar times,Predictability helps regulate sleep cycles.,Observe patterns and offer naps around similar times daily.,['Watch sleep cues'],['Push naps too late'],Timing matters more than length.
3,hygiene & daily care,Maintain comfort during increased drooling.,Using bibs to manage drool,Prevents skin irritation on chest and neck.,Change bibs frequently when wet.,['Keep area dry'],['Leave wet fabric on skin'],Dry skin stays healthier.
3,hygiene & daily care,Maintain ear and scalp comfort.,Drying ears after baths,Prevents moisture buildup.,Gently pat ears dry after bathing.,['Pat gently'],['Insert cotton swabs'],Surface drying is enough.
3,emotional & social care,Encourage expressive interaction.,Responding to laughter sounds,Reinforces joyful communication.,Laugh back and speak warmly when baby laughs.,['Mirror emotions'],['Ignore joyful cues'],Joy strengthens bonding.
3,emotional & social care,Support social awareness.,Introducing familiar faces gradually,Helps baby feel comfortable with others.,Allow baby to observe familiar people calmly before interaction.,['Introduce slowly'],['Pass baby around quickly'],Slow introductions build comfort.
3,development support,Encourage upper body strength.,Increasing tummy time challenges,Supports preparation for rolling.,Place toys slightly ahead during tummy time to encourage lifting.,['Encourage reaching'],['End session too quickly'],Small challenges build strength.
3,parent self-care,Maintain personal wellbeing.,Scheduling personal recharge time,Sustains long-term caregiving ability.,Plan short personal breaks when baby is cared for by another adult.,['Take breaks guilt-free'],['Neglect self entirely'],A rested parent is a better caregiver.
3,feeding & nutrition,Support comfortable digestion.,Recognizing reduced need for frequent burping,Babies may swallow less air as feeding improves.,Observe if baby settles without frequent burping pauses.,['Follow baby’s comfort cues'],['Interrupt feeds unnecessarily'],Some babies burp less as they grow.
3,feeding & nutrition,Encourage effective feeding posture.,Supporting upright feeding position,Improves swallowing control and comfort.,Hold baby slightly more upright during feeds.,['Support head and back'],['Feed while slouched'],Posture affects feeding ease.
3,sleep & bedtime safety,Maintain safe sleep transitions.,Transitioning out of swaddle when rolling begins,Rolling increases movement and safety needs.,Switch to arms-free sleepwear when baby shows rolling attempts.,['Watch movement closely'],['Continue tight swaddling'],Mobility changes sleep safety.
3,sleep & bedtime safety,Improve daytime nap success.,Using consistent nap cues,Helps baby recognize nap time.,Repeat a short calming cue before each nap.,['Repeat same cue'],['Change cues frequently'],Consistency supports sleep.
3,hygiene & daily care,Maintain skin comfort.,Preventing heat rash,Babies regulate temperature less effectively.,Dress baby lightly and keep environment cool.,['Use breathable clothing'],['Overdress baby'],Cool comfort prevents rash.
3,hygiene & daily care,Protect clothing and skin during drooling.,Rotating clean bibs,Wet fabric can irritate skin.,Change bibs as soon as they become damp.,['Keep spare bibs ready'],['Reuse wet bibs'],Dry fabric prevents irritation.
3,safety & emergency awareness,Prevent accidental injuries.,Securing baby during floor play,Babies begin rolling and moving more.,Clear floor area and supervise closely during play.,['Remove hazards'],['Leave baby unattended'],Movement increases risk.
3,safety & emergency awareness,Maintain safe outings.,Checking stroller safety,Proper restraint prevents falls.,Secure baby with harness before moving the stroller.,['Use harness every time'],['Skip restraints'],Harness use is essential.
3,development support,Encourage hand coordination.,Offering graspable toys,Supports hand-eye coordination.,Place lightweight toys in baby’s hands during play.,['Choose soft toys'],['Use heavy objects'],Simple toys are effective.
3,parental teamwork,Maintain shared caregiving approach.,Coordinating daily care routines,Consistency supports baby security.,"Align feeding, sleep, and play routines through discussion.",['Share observations'],['Work in isolation'],Coordination reduces confusion.
3,feeding & nutrition,Support hunger–satiety awareness.,Allowing pauses during feeding,Helps baby regulate intake naturally.,Pause briefly during feeds and observe if baby resumes actively.,['Watch baby’s response'],['Rush feeding continuously'],Pauses help babies self-regulate.
